"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"corridor3.jpg","Fire Extinguisher","Corridor","Public","Indoors","ig2","No","100","Inconsistent","Classroom","Notebook"
"bedroom13.jpg","Laundry Hamper","Bedroom","Private","Indoors","ig1","Yes","80","Consistent","Bedroom","Laundry Hamper"
"corridor4.jpg","Exit Sign","Corridor","Public","Indoors","ig2","No","50","Inconsistent","Dining Room","Plate"
"play12.jpg","Seesaw","Playground","Human","Outdoors","og2","No","100","Inconsistent","Open Country","Radio Tower"
"Nature14.jpg","Wild Berries","Forest","Natural","Outdoors","og2","Yes","80","Inconsistent","Suburban","Fire Hydrant"
"office4.jpg","Tape Dispenser","Office","Public","Indoors","ig2","Yes","100","Inconsistent","Kitchen","Knife"
"highway12.jpg","Motorcycle","Highway","Human","Outdoors","og2","No","80","Inconsistent","Forest","Wildflower"
"bust.jpg","TV Remote","Living Room","Private","Indoors","ig2","Yes","80","Inconsistent","Kitchen","Apron"
"farm3.jpg","Scarecrow","Farm","Natural","Outdoors","og2","No","50","Inconsistent","City Center","Historic Plaque"
"dining7.jpg","Spoon","Dining Room","Private","Indoors","ig2","No","50","Inconsistent","Bedroom","Comforter Blanket"
"suburb4.jpg","Crosswalk","Suburban","Human","Outdoors","og1","No","50","Consistent","Suburban","Crosswalk"
"tan_kitchen.png","Knife","Kitchen","Private","Indoors","ig2","No","80","Inconsistent","Conference Room","Briefcase"
"urbanstreet12.jpg","Telephone Booth","Urban Street","Human","Outdoors","og1","No","80","Consistent","Urban Street","Telephone Booth"
"play10.jpg","Picnic Table","Playground","Human","Outdoors","og2","No","100","Inconsistent","Forest","Lily Pad"
"flowers.jpg","Picture Frame","Living Room","Private","Indoors","ig1","Yes","50","Consistent","Living Room","Picture Frame"
"fire_hydrant.jpg","Flag Pole","City Center","Human","Outdoors","og2","No","80","Inconsistent","Farm","Feeding Trough"
"bathroom3.jpg","Toilet Paper","Bathroom","Private","Indoors","ig2","Yes","50","Inconsistent","Conference Room","Laptop"
"MDS201.jpg","Rock","Forest","Natural","Outdoors","og1","Yes","100","Consistent","Forest","Rock"
"glass.jpg","Toaster","Kitchen","Private","Indoors","ig1","Yes","80","Consistent","Kitchen","Toaster"
"forest1.jpg","Toadstool Mushroom","Forest","Natural","Outdoors","og2","No","80","Inconsistent","Urban Street","Crosswalk Signal"
"dining6.jpg","Tablecloth","Dining Room","Private","Indoors","ig1","No","50","Consistent","Dining Room","Tablecloth"
"farm1.jpg","Hay Bale","Farm","Natural","Outdoors","og1","No","80","Consistent","Farm","Hay Bale"
"coast7.jpg","Beach Towel","Coast","Natural","Outdoors","og2","Yes","100","Inconsistent","Open Country","Fence"
"conference3.jpg","Phone Set","Conference Room","Public","Indoors","ig1","No","100","Consistent","Conference Room","Phone Set"
"opencountry1.jpg","Fence","Open Country","Natural","Outdoors","og2","No","100","Inconsistent","Suburban","Parking Meter"
"bathroom2.jpg","Shower Head","Bathroom","Private","Indoors","ig1","Yes","50","Consistent","Bathroom","Shower Head"
"conference5.jpg","Laptop","Conference Room","Public","Indoors","ig2","No","100","Inconsistent","Kitchen","Blender"
"play3.jpg","Sandbox","Playground","Human","Outdoors","og1","No","50","Consistent","Playground","Sandbox"
"living17.jpg","Armchair Recliner","Living Room","Private","Indoors","ig1","Yes","100","Consistent","Living Room","Armchair Recliner"
