"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"forest9.jpg","Axe","Forest","Natural","Outdoors","og1","Yes","100","Consistent","Forest","Axe"
"bell.jpg","Coffee Maker","Living Room","Private","Indoors","ig2","Yes","100","Inconsistent","Corridor","Bathroom Sign"
"coast8.jpg","Lighthouse","Coast","Natural","Outdoors","og2","Yes","80","Inconsistent","Playground","Picnic Table"
"corridor1.jpg","Drinking Fountain","Corridor","Public","Indoors","ig1","No","100","Consistent","Corridor","Drinking Fountain"
"office10.jpg","Stapler","Office","Public","Indoors","ig1","No","80","Consistent","Office","Stapler"
"opencountry1.jpg","Fence","Open Country","Natural","Outdoors","og2","No","80","Inconsistent","Suburban","Parking Meter"
"corridor2.jpg","Bathroom Sign","Corridor","Public","Indoors","ig2","No","80","Inconsistent","Living Room","Vase"
"bathroom4.jpg","Razor","Bathroom","Private","Indoors","ig1","Yes","100","Consistent","Bathroom","Razor"
"farm4.jpg","Feeding Trough","Farm","Natural","Outdoors","og2","No","100","Inconsistent","Urban Street","Subway Station Sign"
"coast11.jpg","Lifeguard Tower","Coast","Natural","Outdoors","og1","No","80","Consistent","Coast","Lifeguard Tower"
"corridor4.jpg","Exit Sign","Corridor","Public","Indoors","ig2","No","100","Inconsistent","Dining Room","Plate"
"highway6.jpg","Speed Limit Sign","Highway","Human","Outdoors","og1","Yes","50","Consistent","Highway","Speed Limit Sign"
"glass.jpg","Toaster","Kitchen","Private","Indoors","ig1","Yes","50","Consistent","Kitchen","Toaster"
"play2.jpg","Swing Set","Playground","Human","Outdoors","og2","No","100","Inconsistent","Open Country","Farmhouse"
"plant_bathroom.png","Slippers","Bathroom","Private","Indoors","ig1","No","100","Consistent","Bathroom","Slippers"
"living17.jpg","Armchair Recliner","Living Room","Private","Indoors","ig1","Yes","80","Consistent","Living Room","Armchair Recliner"
"Urban_Image_08.jpg","Traffic Light","Suburban","Human","Outdoors","og1","No","100","Consistent","Suburban","Traffic Light"
"play10.jpg","Picnic Table","Playground","Human","Outdoors","og2","No","80","Inconsistent","Forest","Lily Pad"
"dining6.jpg","Tablecloth","Dining Room","Private","Indoors","ig1","No","100","Consistent","Dining Room","Tablecloth"
"kitchen15.jpg","Apron","Kitchen","Private","Indoors","ig2","Yes","100","Inconsistent","Office","Tape Dispenser"
"modern_livingroom.png","Floor Lamp","Living Room","Private","Indoors","ig2","Yes","50","Inconsistent","Kitchen","Baking Tray"
"kitchen16.jpg","Oven Mitts","Kitchen","Private","Indoors","ig2","Yes","100","Inconsistent","Living Room","TV Remote"
"highway10.jpg","Billboard","Highway","Human","Outdoors","og1","Yes","50","Consistent","Highway","Billboard"
"tan_kitchen.png","Knife","Kitchen","Private","Indoors","ig2","No","50","Inconsistent","Conference Room","Briefcase"
"child_bedroom.png","Teddy Bear","Bedroom","Private","Indoors","ig1","Yes","50","Consistent","Bedroom","Teddy Bear"
"dining3.jpg","Plate","Dining Room","Private","Indoors","ig2","No","100","Inconsistent","Bathroom","Toilet Paper"
"class9.jpg","Crayons","Classroom","Public","Indoors","ig1","Yes","80","Consistent","Classroom","Crayons"
"opencountry3.jpg","Windmill","Open Country","Natural","Outdoors","og1","No","80","Consistent","Open Country","Windmill"
"forest2.jpg","Bird Nest","Forest","Natural","Outdoors","og1","Yes","100","Consistent","Forest","Bird Nest"
"bathroom2.jpg","Shower Head","Bathroom","Private","Indoors","ig1","Yes","100","Consistent","Bathroom","Shower Head"
"corridor5.jpg","Fire Alarm","Corridor","Public","Indoors","ig1","No","100","Consistent","Corridor","Fire Alarm"
"opencountry5.jpg","Pitchfork","Open Country","Natural","Outdoors","og1","No","80","Consistent","Open Country","Pitchfork"
"conference7.jpg","Projector","Conference Room","Public","Indoors","ig2","No","80","Inconsistent","Kitchen","Oven Mitts"
"dining5.jpg","Bowl","Dining Room","Private","Indoors","ig1","No","100","Consistent","Dining Room","Bowl"
"opencountry2.jpg","Farmhouse","Open Country","Natural","Outdoors","og2","No","80","Inconsistent","Forest","Kayak"
"forest1.jpg","Toadstool Mushroom","Forest","Natural","Outdoors","og2","No","50","Inconsistent","Urban Street","Crosswalk Signal"
"briefcase.jpg","Printer","Office","Public","Indoors","ig1","Yes","50","Consistent","Office","Printer"
