"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"conference5.jpg","Laptop","Conference Room","Public","Indoors","ig2","Yes","100","Consistent","Conference Room","Laptop"
"citycenter26.jpg","Statue","City Center","Human","Outdoors","og1","No","80","Inconsistent","Forest","Log Cabin"
"bathroom4.jpg","Razor","Bathroom","Private","Indoors","ig1","No","100","Inconsistent","Conference Room","Phone Set"
"living9.jpg","Ottoman","Living Room","Private","Indoors","ig1","No","80","Inconsistent","Office","Printer"
"coast11.jpg","Lifeguard Tower","Coast","Natural","Outdoors","og1","Yes","100","Inconsistent","Urban Street","Telephone Booth"
"opencountry3.jpg","Windmill","Open Country","Natural","Outdoors","og1","Yes","100","Inconsistent","Highway","Speed Limit Sign"
"conference1.jpg","Briefcase","Conference Room","Public","Indoors","ig2","Yes","100","Consistent","Conference Room","Briefcase"
"corridor2.jpg","Bathroom Sign","Corridor","Public","Indoors","ig2","Yes","100","Consistent","Corridor","Bathroom Sign"
"class3.jpg","Notebook","Classroom","Public","Indoors","ig2","No","80","Consistent","Classroom","Notebook"
"bin.jpg","Rocking Chair","Living Room","Private","Indoors","ig2","No","50","Consistent","Living Room","Rocking Chair"
"dining7.jpg","Spoon","Dining Room","Private","Indoors","ig2","Yes","50","Consistent","Dining Room","Spoon"
"conference8.jpg","Projector Screen","Conference Room","Public","Indoors","ig1","Yes","50","Inconsistent","Bedroom","Teddy Bear"
"kitchen10.jpg","Rolling Pin","Kitchen","Private","Indoors","ig1","No","50","Inconsistent","Classroom","Pencil Case"
"play5.jpg","Soccer Ball","Playground","Human","Outdoors","og1","Yes","50","Inconsistent","Farm","Wheelbarrow"
"opencountry8.jpg","Radio Tower","Open Country","Natural","Outdoors","og2","Yes","100","Consistent","Open Country","Radio Tower"
"MDS201.jpg","Rock","Forest","Natural","Outdoors","og1","No","80","Inconsistent","Highway","Billboard"
"opencountry1.jpg","Fence","Open Country","Natural","Outdoors","og2","Yes","100","Consistent","Open Country","Fence"
"fan.jpg","Calculator","Office","Public","Indoors","ig1","Yes","80","Inconsistent","Bedroom","Nightstand"
"brick_apartment.png","Bird Bath","Suburban","Human","Outdoors","og2","No","50","Consistent","Suburban","Bird Bath"
"bedroom12.jpg","Dresser","Bedroom","Private","Indoors","ig1","No","50","Inconsistent","Corridor","Drinking Fountain"
"urbanstreet30.jpg","Bus Stop Shelter","Urban Street","Human","Outdoors","og1","Yes","80","Inconsistent","Coast","Lifeguard Tower"
"bathroom7.jpg","Soap Bar","Bathroom","Private","Indoors","ig2","No","100","Consistent","Bathroom","Soap Bar"
"forest14.jpg","Camping Tent","Forest","Natural","Outdoors","og2","Yes","80","Consistent","Forest","Camping Tent"
"bedroom13.jpg","Laundry Hamper","Bedroom","Private","Indoors","ig1","No","50","Inconsistent","Kitchen","Toaster"
"forest11.jpg","Log Cabin","Forest","Natural","Outdoors","og1","No","100","Inconsistent","Urban Street","Stop Sign"
"corridor3.jpg","Fire Extinguisher","Corridor","Public","Indoors","ig2","Yes","100","Consistent","Corridor","Fire Extinguisher"
"Nature47.jpg","Fishing Boat","Coast","Natural","Outdoors","og1","No","80","Inconsistent","Playground","Bench"
"bell.jpg","Coffee Maker","Living Room","Private","Indoors","ig2","No","100","Consistent","Living Room","Coffee Maker"
"play12.jpg","Seesaw","Playground","Human","Outdoors","og2","Yes","100","Consistent","Playground","Seesaw"
"bathroom6.jpg","Plunger","Bathroom","Private","Indoors","ig1","No","100","Inconsistent","Corridor","Fire Alarm"
"forest9.jpg","Axe","Forest","Natural","Outdoors","og1","No","100","Inconsistent","Urban Street","Bus Stop Shelter"
"urbanstreet12.jpg","Telephone Booth","Urban Street","Human","Outdoors","og1","Yes","80","Inconsistent","Open Country","Windmill"
"Urban10.jpg","Bicycle","Suburban","Human","Outdoors","og1","Yes","80","Inconsistent","Playground","Sandbox"
"living17.jpg","Armchair Recliner","Living Room","Private","Indoors","ig1","No","80","Inconsistent","Classroom","Crayons"
"opencountry5.jpg","Pitchfork","Open Country","Natural","Outdoors","og1","Yes","100","Inconsistent","Highway","Yield Sign"
"highway10.jpg","Billboard","Highway","Human","Outdoors","og1","No","50","Inconsistent","Urban Street","Newspaper Box"
"farm2.jpg","Wheelbarrow","Farm","Natural","Outdoors","og1","Yes","80","Inconsistent","Suburban","Traffic Light"
