"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"forest11.jpg","Log Cabin","Forest","Natural","Outdoors","og1","No","80","Inconsistent","Urban Street","Stop Sign"
"class11.jpg","Backpack","Classroom","Public","Indoors","ig2","No","50","Consistent","Classroom","Backpack"
"farm7.jpg","Tractor","Farm","Natural","Outdoors","og1","No","80","Inconsistent","City Center","Statue"
"office4.jpg","Tape Dispenser","Office","Public","Indoors","ig2","No","50","Consistent","Office","Tape Dispenser"
"bathroom2.jpg","Shower Head","Bathroom","Private","Indoors","ig1","No","80","Inconsistent","Living Room","Ottoman"
"corridor4.jpg","Exit Sign","Corridor","Public","Indoors","ig2","Yes","100","Consistent","Corridor","Exit Sign"
"conference7.jpg","Projector","Conference Room","Public","Indoors","ig2","Yes","80","Consistent","Conference Room","Projector"
"bedroom11.jpg","Nightstand","Bedroom","Private","Indoors","ig1","No","80","Inconsistent","Dining Room","Tablecloth"
"citycenter2.jpg","Taxi","City Center","Human","Outdoors","og1","No","50","Inconsistent","Coast","Fishing Boat"
"dining8.jpg","Fork","Dining Room","Private","Indoors","ig1","Yes","50","Inconsistent","Bathroom","Shower Head"
"farm4.jpg","Feeding Trough","Farm","Natural","Outdoors","og2","Yes","100","Consistent","Farm","Feeding Trough"
"bathroom4.jpg","Razor","Bathroom","Private","Indoors","ig1","No","80","Inconsistent","Conference Room","Phone Set"
"corridor1.jpg","Drinking Fountain","Corridor","Public","Indoors","ig1","Yes","100","Inconsistent","Dining Room","Bowl"
"highway9.jpg","Road Work Sign","Highway","Human","Outdoors","og2","No","80","Consistent","Highway","Road Work Sign"
"living9.jpg","Ottoman","Living Room","Private","Indoors","ig1","No","50","Inconsistent","Office","Printer"
"play10.jpg","Picnic Table","Playground","Human","Outdoors","og2","Yes","80","Consistent","Playground","Picnic Table"
"kitchen13.jpg","Stand Mixer","Kitchen","Private","Indoors","ig2","No","80","Consistent","Kitchen","Stand Mixer"
"corridor5.jpg","Fire Alarm","Corridor","Public","Indoors","ig1","Yes","100","Inconsistent","Dining Room","Napkin"
"dining5.jpg","Bowl","Dining Room","Private","Indoors","ig1","Yes","100","Inconsistent","Office","Stapler"
"coast7.jpg","Beach Towel","Coast","Natural","Outdoors","og2","No","50","Consistent","Coast","Beach Towel"
"living6.jpg","Vase","Living Room","Private","Indoors","ig2","No","100","Consistent","Living Room","Vase"
"suburb6.jpg","Utility Pole","Suburban","Human","Outdoors","og2","Yes","50","Consistent","Suburban","Utility Pole"
