"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"corridor4.jpg","Exit Sign","Corridor","Public","Indoors","ig2","No","50","Inconsistent","Forest","Wild Berries"
"forest1.jpg","Toadstool Mushroom","Forest","Natural","Outdoors","og2","No","80","Inconsistent","Bedroom","Comforter Blanket"
"bell.jpg","Coffee Maker","Living Room","Private","Indoors","ig2","Yes","50","Inconsistent","Suburban","Fire Hydrant"
"play5.jpg","Soccer Ball","Playground","Human","Outdoors","og1","No","50","Consistent","Playground","Soccer Ball"
"opencountry2.jpg","Farmhouse","Open Country","Natural","Outdoors","og2","No","100","Inconsistent","Living Room","TV Remote"
"elephant.jpg","Napkin","Dining Room","Private","Indoors","ig1","No","80","Consistent","Dining Room","Napkin"
"bathroom3.jpg","Toilet Paper","Bathroom","Private","Indoors","ig2","Yes","50","Inconsistent","Suburban","Mailbox"
"bedroom14.jpg","Comforter Blanket","Bedroom","Private","Indoors","ig2","Yes","50","Inconsistent","Open Country","Fence"
"office1.jpg","Pencil Holder","Office","Public","Indoors","ig1","No","100","Consistent","Office","Pencil Holder"
"class9.jpg","Crayons","Classroom","Public","Indoors","ig1","Yes","100","Consistent","Classroom","Crayons"
"plant_bathroom.png","Slippers","Bathroom","Private","Indoors","ig1","No","50","Consistent","Bathroom","Slippers"
"office9.jpg","Paper Shredder","Office","Public","Indoors","ig1","No","100","Consistent","Office","Paper Shredder"
"play12.jpg","Seesaw","Playground","Human","Outdoors","og2","No","100","Inconsistent","Living Room","Floor Lamp"
"coast3.jpg","Buoy","Coast","Natural","Outdoors","og1","No","100","Consistent","Coast","Buoy"
"kitchen15.jpg","Apron","Kitchen","Private","Indoors","ig2","Yes","50","Inconsistent","Open Country","Radio Tower"
"suburb6.jpg","Utility Pole","Suburban","Human","Outdoors","og2","No","80","Inconsistent","Living Room","DVD Player"
"bathroom6.jpg","Plunger","Bathroom","Private","Indoors","ig1","Yes","50","Consistent","Bathroom","Plunger"
"urbanstreet12.jpg","Telephone Booth","Urban Street","Human","Outdoors","og1","No","80","Consistent","Urban Street","Telephone Booth"
"play2.jpg","Swing Set","Playground","Human","Outdoors","og2","No","50","Inconsistent","Kitchen","Oven Mitts"
"corridor3.jpg","Fire Extinguisher","Corridor","Public","Indoors","ig2","No","100","Inconsistent","Open Country","Farmhouse"
"forest9.jpg","Axe","Forest","Natural","Outdoors","og1","Yes","50","Consistent","Forest","Axe"
"bedroom11.jpg","Nightstand","Bedroom","Private","Indoors","ig1","Yes","50","Consistent","Bedroom","Nightstand"
"class11.jpg","Backpack","Classroom","Public","Indoors","ig2","Yes","100","Inconsistent","Forest","Wildflower"
"corridor2.jpg","Bathroom Sign","Corridor","Public","Indoors","ig2","No","100","Inconsistent","Farm","Feeding Trough"
"MDS201.jpg","Rock","Forest","Natural","Outdoors","og1","Yes","100","Consistent","Forest","Rock"
"suburb3.jpg","Mailbox","Suburban","Human","Outdoors","og2","No","50","Inconsistent","Kitchen","Blender"
"office8.jpg","Sticky Notes","Office","Public","Indoors","ig2","Yes","100","Inconsistent","Playground","Picnic Table"
"Nature40.jpg","Kayak","Forest","Natural","Outdoors","og2","Yes","100","Inconsistent","Corridor","Bathroom Sign"
"opencountry3.jpg","Windmill","Open Country","Natural","Outdoors","og1","No","100","Consistent","Open Country","Windmill"
"dining3.jpg","Plate","Dining Room","Private","Indoors","ig2","No","50","Inconsistent","Suburban","Parking Meter"
"forest2.jpg","Bird Nest","Forest","Natural","Outdoors","og1","Yes","50","Consistent","Forest","Bird Nest"
"citycenter2.jpg","Taxi","City Center","Human","Outdoors","og1","Yes","100","Consistent","City Center","Taxi"
"farm1.jpg","Hay Bale","Farm","Natural","Outdoors","og1","No","80","Consistent","Farm","Hay Bale"
"dining7.jpg","Spoon","Dining Room","Private","Indoors","ig2","No","50","Inconsistent","Forest","Toadstool Mushroom"
"farm7.jpg","Tractor","Farm","Natural","Outdoors","og1","Yes","50","Consistent","Farm","Tractor"
"clock.jpg","Stop Sign","Urban Street","Human","Outdoors","og1","No","100","Consistent","Urban Street","Stop Sign"
"Nature36.jpg","Lily Pad","Forest","Natural","Outdoors","og2","Yes","100","Inconsistent","Corridor","Exit Sign"
"child_bedroom.png","Teddy Bear","Bedroom","Private","Indoors","ig1","Yes","80","Consistent","Bedroom","Teddy Bear"
"kitchen13.jpg","Stand Mixer","Kitchen","Private","Indoors","ig2","Yes","50","Inconsistent","City Center","Historic Plaque"
"urbanstreet28.jpg","Crosswalk Signal","Urban Street","Human","Outdoors","og2","No","80","Inconsistent","Corridor","Fire Extinguisher"
"conference8.jpg","Projector Screen","Conference Room","Public","Indoors","ig1","No","50","Consistent","Conference Room","Projector Screen"
"highway10.jpg","Billboard","Highway","Human","Outdoors","og1","Yes","80","Consistent","Highway","Billboard"
"fire_hydrant.jpg","Flag Pole","City Center","Human","Outdoors","og2","No","80","Inconsistent","Bathroom","Toilet Paper"
"urbanstreet19.jpg","Subway Station Sign","Urban Street","Human","Outdoors","og2","No","80","Inconsistent","Living Room","Vase"
"living6.jpg","Vase","Living Room","Private","Indoors","ig2","Yes","80","Inconsistent","Farm","Scarecrow"
"opencountry5.jpg","Pitchfork","Open Country","Natural","Outdoors","og1","No","100","Consistent","Open Country","Pitchfork"
"office10.jpg","Stapler","Office","Public","Indoors","ig1","No","100","Consistent","Office","Stapler"
"urbanstreet1.jpg","Newspaper Box","Urban Street","Human","Outdoors","og1","No","80","Consistent","Urban Street","Newspaper Box"
"suburb1.jpg","Lawn Mower","Suburban","Human","Outdoors","og2","No","50","Inconsistent","Dining Room","Spoon"
"farm2.jpg","Wheelbarrow","Farm","Natural","Outdoors","og1","No","80","Consistent","Farm","Wheelbarrow"
"coast10.jpg","Surfboard","Coast","Natural","Outdoors","og1","No","100","Consistent","Coast","Surfboard"
"conference5.jpg","Laptop","Conference Room","Public","Indoors","ig2","No","100","Inconsistent","Forest","Lily Pad"
"dining6.jpg","Tablecloth","Dining Room","Private","Indoors","ig1","No","50","Consistent","Dining Room","Tablecloth"
"living17.jpg","Armchair Recliner","Living Room","Private","Indoors","ig1","Yes","100","Consistent","Living Room","Armchair Recliner"
"bathroom4.jpg","Razor","Bathroom","Private","Indoors","ig1","Yes","50","Consistent","Bathroom","Razor"
"highway8.jpg","Yield Sign","Highway","Human","Outdoors","og1","Yes","80","Consistent","Highway","Yield Sign"
"citycenter10.jpg","Souvenir Stand","City Center","Human","Outdoors","og1","Yes","80","Consistent","City Center","Souvenir Stand"
"suburb4.jpg","Crosswalk","Suburban","Human","Outdoors","og1","No","50","Consistent","Suburban","Crosswalk"
"play3.jpg","Sandbox","Playground","Human","Outdoors","og1","No","50","Consistent","Playground","Sandbox"
"glass.jpg","Toaster","Kitchen","Private","Indoors","ig1","Yes","80","Consistent","Kitchen","Toaster"
"conference3.jpg","Phone Set","Conference Room","Public","Indoors","ig1","No","100","Consistent","Conference Room","Phone Set"
"brick_apartment.png","Bird Bath","Suburban","Human","Outdoors","og2","Yes","80","Inconsistent","Kitchen","Baking Tray"
"briefcase.jpg","Printer","Office","Public","Indoors","ig1","Yes","80","Consistent","Office","Printer"
"corridor5.jpg","Fire Alarm","Corridor","Public","Indoors","ig1","No","50","Consistent","Corridor","Fire Alarm"
"play10.jpg","Picnic Table","Playground","Human","Outdoors","og2","No","100","Inconsistent","Kitchen","Stand Mixer"
"living13.jpg","DVD Player","Living Room","Private","Indoors","ig2","Yes","80","Inconsistent","Suburban","Utility Pole"
"citycenter26.jpg","Statue","City Center","Human","Outdoors","og1","Yes","100","Consistent","City Center","Statue"
"highway12.jpg","Motorcycle","Highway","Human","Outdoors","og2","No","80","Inconsistent","Living Room","Rocking Chair"
"coast8.jpg","Lighthouse","Coast","Natural","Outdoors","og2","Yes","100","Inconsistent","Classroom","Backpack"
"natural_fall.png","Fishing Rod","Forest","Natural","Outdoors","og2","Yes","80","Inconsistent","Kitchen","Pan"
