"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"opencountry1.jpg","Fence","Open Country","Natural","Outdoors","og2","Yes","50","Inconsistent","Conference Room","Briefcase"
"tan_kitchen.png","Knife","Kitchen","Private","Indoors","ig2","Yes","100","Inconsistent","Forest","Camping Tent"
"citycenter10.jpg","Souvenir Stand","City Center","Human","Outdoors","og1","No","80","Consistent","City Center","Souvenir Stand"
"coast10.jpg","Surfboard","Coast","Natural","Outdoors","og1","Yes","50","Consistent","Coast","Surfboard"
"citycenter2.jpg","Taxi","City Center","Human","Outdoors","og1","No","100","Consistent","City Center","Taxi"
"play5.jpg","Soccer Ball","Playground","Human","Outdoors","og1","Yes","80","Consistent","Playground","Soccer Ball"
"bedroom14.jpg","Comforter Blanket","Bedroom","Private","Indoors","ig2","No","50","Inconsistent","Open Country","Fence"
"bell.jpg","Coffee Maker","Living Room","Private","Indoors","ig2","No","50","Inconsistent","Suburban","Fire Hydrant"
"coast3.jpg","Buoy","Coast","Natural","Outdoors","og1","Yes","50","Consistent","Coast","Buoy"
"office10.jpg","Stapler","Office","Public","Indoors","ig1","Yes","50","Consistent","Office","Stapler"
"citycenter26.jpg","Statue","City Center","Human","Outdoors","og1","No","100","Consistent","City Center","Statue"
"Nature40.jpg","Kayak","Forest","Natural","Outdoors","og2","No","100","Inconsistent","Corridor","Bathroom Sign"
"pond.png","Birdhouse","Suburban","Natural","Outdoors","og2","Yes","80","Inconsistent","Kitchen","Knife"
"plant_bathroom.png","Slippers","Bathroom","Private","Indoors","ig1","Yes","80","Consistent","Bathroom","Slippers"
"living13.jpg","DVD Player","Living Room","Private","Indoors","ig2","No","80","Inconsistent","Suburban","Utility Pole"
"opencountry5.jpg","Pitchfork","Open Country","Natural","Outdoors","og1","Yes","50","Consistent","Open Country","Pitchfork"
"highway8.jpg","Yield Sign","Highway","Human","Outdoors","og1","No","80","Consistent","Highway","Yield Sign"
"bedroom12.jpg","Dresser","Bedroom","Private","Indoors","ig1","No","80","Consistent","Bedroom","Dresser"
"forest14.jpg","Camping Tent","Forest","Natural","Outdoors","og2","Yes","100","Inconsistent","Bathroom","Soap Bar"
"bedroom13.jpg","Laundry Hamper","Bedroom","Private","Indoors","ig1","No","80","Consistent","Bedroom","Laundry Hamper"
"suburb4.jpg","Crosswalk","Suburban","Human","Outdoors","og1","Yes","80","Consistent","Suburban","Crosswalk"
"conference5.jpg","Laptop","Conference Room","Public","Indoors","ig2","Yes","50","Inconsistent","Forest","Lily Pad"
"basketball_net.jpg","Bench","Playground","Human","Outdoors","og1","No","50","Consistent","Playground","Bench"
"modern_livingroom.png","Floor Lamp","Living Room","Private","Indoors","ig2","No","80","Inconsistent","Urban Street","Subway Station Sign"
