"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"suburb6.jpg","Utility Pole","Suburban","Human","Outdoors","og2","No","100","Inconsistent","Living Room","DVD Player"
"class9.jpg","Crayons","Classroom","Public","Indoors","ig1","Yes","50","Consistent","Classroom","Crayons"
"dining7.jpg","Spoon","Dining Room","Private","Indoors","ig2","No","80","Inconsistent","Forest","Toadstool Mushroom"
"suburb1.jpg","Lawn Mower","Suburban","Human","Outdoors","og2","No","80","Inconsistent","Dining Room","Spoon"
"fruit_bowl.jpg","Blender","Kitchen","Private","Indoors","ig2","No","100","Inconsistent","Playground","Seesaw"
"opencountry1.jpg","Fence","Open Country","Natural","Outdoors","og2","No","50","Inconsistent","Conference Room","Briefcase"
"glass.jpg","Toaster","Kitchen","Private","Indoors","ig1","Yes","100","Consistent","Kitchen","Toaster"
"forest11.jpg","Log Cabin","Forest","Natural","Outdoors","og1","Yes","80","Consistent","Forest","Log Cabin"
"modern_livingroom.png","Floor Lamp","Living Room","Private","Indoors","ig2","Yes","100","Inconsistent","Urban Street","Subway Station Sign"
"farm2.jpg","Wheelbarrow","Farm","Natural","Outdoors","og1","No","100","Consistent","Farm","Wheelbarrow"
"highway9.jpg","Road Work Sign","Highway","Human","Outdoors","og2","Yes","80","Inconsistent","Classroom","Notebook"
"class11.jpg","Backpack","Classroom","Public","Indoors","ig2","Yes","50","Inconsistent","Forest","Wildflower"
"elephant.jpg","Napkin","Dining Room","Private","Indoors","ig1","No","100","Consistent","Dining Room","Napkin"
"bathroom4.jpg","Razor","Bathroom","Private","Indoors","ig1","Yes","80","Consistent","Bathroom","Razor"
"coast11.jpg","Lifeguard Tower","Coast","Natural","Outdoors","og1","No","50","Consistent","Coast","Lifeguard Tower"
"living16.jpg","Television","Living Room","Private","Indoors","ig1","Yes","50","Consistent","Living Room","Television"
"highway10.jpg","Billboard","Highway","Human","Outdoors","og1","Yes","100","Consistent","Highway","Billboard"
"urbanstreet12.jpg","Telephone Booth","Urban Street","Human","Outdoors","og1","No","100","Consistent","Urban Street","Telephone Booth"
"office8.jpg","Sticky Notes","Office","Public","Indoors","ig2","Yes","50","Inconsistent","Playground","Picnic Table"
"suburb4.jpg","Crosswalk","Suburban","Human","Outdoors","og1","No","80","Consistent","Suburban","Crosswalk"
"urbanstreet30.jpg","Bus Stop Shelter","Urban Street","Human","Outdoors","og1","No","100","Consistent","Urban Street","Bus Stop Shelter"
"citycenter26.jpg","Statue","City Center","Human","Outdoors","og1","Yes","50","Consistent","City Center","Statue"
"MDS201.jpg","Rock","Forest","Natural","Outdoors","og1","Yes","50","Consistent","Forest","Rock"
"highway8.jpg","Yield Sign","Highway","Human","Outdoors","og1","Yes","100","Consistent","Highway","Yield Sign"
"suburb2.jpg","Fire Hydrant","Suburban","Human","Outdoors","og2","No","80","Inconsistent","Office","Sticky Notes"
"forest9.jpg","Axe","Forest","Natural","Outdoors","og1","Yes","80","Consistent","Forest","Axe"
"dining8.jpg","Fork","Dining Room","Private","Indoors","ig1","No","100","Consistent","Dining Room","Fork"
"farm7.jpg","Tractor","Farm","Natural","Outdoors","og1","Yes","80","Consistent","Farm","Tractor"
"bedroom13.jpg","Laundry Hamper","Bedroom","Private","Indoors","ig1","Yes","100","Consistent","Bedroom","Laundry Hamper"
"dining3.jpg","Plate","Dining Room","Private","Indoors","ig2","No","80","Inconsistent","Suburban","Parking Meter"
"Nature22.jpg","Wildflower","Forest","Natural","Outdoors","og2","Yes","50","Inconsistent","Bedroom","Alarm Clock"
"opencountry3.jpg","Windmill","Open Country","Natural","Outdoors","og1","No","50","Consistent","Open Country","Windmill"
"living13.jpg","DVD Player","Living Room","Private","Indoors","ig2","Yes","100","Inconsistent","Suburban","Utility Pole"
"conference1.jpg","Briefcase","Conference Room","Public","Indoors","ig2","No","50","Inconsistent","Coast","Lighthouse"
"Nature14.jpg","Wild Berries","Forest","Natural","Outdoors","og2","Yes","100","Inconsistent","Dining Room","Plate"
"conference5.jpg","Laptop","Conference Room","Public","Indoors","ig2","No","50","Inconsistent","Forest","Lily Pad"
"corridor3.jpg","Fire Extinguisher","Corridor","Public","Indoors","ig2","No","50","Inconsistent","Open Country","Farmhouse"
"fire_hydrant.jpg","Flag Pole","City Center","Human","Outdoors","og2","No","100","Inconsistent","Bathroom","Toilet Paper"
"coast7.jpg","Beach Towel","Coast","Natural","Outdoors","og2","Yes","50","Inconsistent","Living Room","Coffee Maker"
"conference7.jpg","Projector","Conference Room","Public","Indoors","ig2","No","50","Inconsistent","Forest","Kayak"
"fan.jpg","Calculator","Office","Public","Indoors","ig1","No","100","Consistent","Office","Calculator"
"Urban_Image_08.jpg","Traffic Light","Suburban","Human","Outdoors","og1","No","80","Consistent","Suburban","Traffic Light"
"Nature40.jpg","Kayak","Forest","Natural","Outdoors","og2","Yes","50","Inconsistent","Corridor","Bathroom Sign"
"kitchen10.jpg","Rolling Pin","Kitchen","Private","Indoors","ig1","Yes","100","Consistent","Kitchen","Rolling Pin"
"play3.jpg","Sandbox","Playground","Human","Outdoors","og1","No","80","Consistent","Playground","Sandbox"
"citycenter11.jpg","Horse Carriage","City Center","Human","Outdoors","og1","Yes","50","Consistent","City Center","Horse Carriage"
"Nature47.jpg","Fishing Boat","Coast","Natural","Outdoors","og1","Yes","50","Consistent","Coast","Fishing Boat"
"office10.jpg","Stapler","Office","Public","Indoors","ig1","No","50","Consistent","Office","Stapler"
"play10.jpg","Picnic Table","Playground","Human","Outdoors","og2","No","50","Inconsistent","Kitchen","Stand Mixer"
"citycenter12.jpg","Historic Plaque","City Center","Human","Outdoors","og2","Yes","100","Inconsistent","Office","Tape Dispenser"
"urbanstreet28.jpg","Crosswalk Signal","Urban Street","Human","Outdoors","og2","No","100","Inconsistent","Corridor","Fire Extinguisher"
"bedroom5.jpg","Alarm Clock","Bedroom","Private","Indoors","ig2","Yes","80","Inconsistent","Highway","Motorcycle"
"bathroom7.jpg","Soap Bar","Bathroom","Private","Indoors","ig2","Yes","80","Inconsistent","City Center","Flag Pole"
"blender.jpg","Pan","Kitchen","Private","Indoors","ig2","Yes","100","Inconsistent","Suburban","Lawn Mower"
"urbanstreet1.jpg","Newspaper Box","Urban Street","Human","Outdoors","og1","No","100","Consistent","Urban Street","Newspaper Box"
"highway6.jpg","Speed Limit Sign","Highway","Human","Outdoors","og1","Yes","100","Consistent","Highway","Speed Limit Sign"
"farm3.jpg","Scarecrow","Farm","Natural","Outdoors","og2","No","80","Inconsistent","Classroom","Textbook"
"highway12.jpg","Motorcycle","Highway","Human","Outdoors","og2","No","100","Inconsistent","Living Room","Rocking Chair"
"play5.jpg","Soccer Ball","Playground","Human","Outdoors","og1","No","80","Consistent","Playground","Soccer Ball"
"natural_fall.png","Fishing Rod","Forest","Natural","Outdoors","og2","Yes","100","Inconsistent","Kitchen","Pan"
"child_bedroom.png","Teddy Bear","Bedroom","Private","Indoors","ig1","Yes","100","Consistent","Bedroom","Teddy Bear"
"farm4.jpg","Feeding Trough","Farm","Natural","Outdoors","og2","No","80","Inconsistent","Conference Room","Projector"
"dining6.jpg","Tablecloth","Dining Room","Private","Indoors","ig1","No","80","Consistent","Dining Room","Tablecloth"
"living6.jpg","Vase","Living Room","Private","Indoors","ig2","Yes","100","Inconsistent","Farm","Scarecrow"
"class8.jpg","Pencil Case","Classroom","Public","Indoors","ig1","Yes","50","Consistent","Classroom","Pencil Case"
"coast3.jpg","Buoy","Coast","Natural","Outdoors","og1","No","50","Consistent","Coast","Buoy"
"kitchen15.jpg","Apron","Kitchen","Private","Indoors","ig2","Yes","80","Inconsistent","Open Country","Radio Tower"
"urbanstreet19.jpg","Subway Station Sign","Urban Street","Human","Outdoors","og2","No","100","Inconsistent","Living Room","Vase"
"kitchen17.jpg","Baking Tray","Kitchen","Private","Indoors","ig2","Yes","80","Inconsistent","Highway","Road Work Sign"
"corridor4.jpg","Exit Sign","Corridor","Public","Indoors","ig2","No","80","Inconsistent","Forest","Wild Berries"
"citycenter10.jpg","Souvenir Stand","City Center","Human","Outdoors","og1","Yes","100","Consistent","City Center","Souvenir Stand"
"class3.jpg","Notebook","Classroom","Public","Indoors","ig2","Yes","50","Inconsistent","Forest","Fishing Rod"
"flowers.jpg","Picture Frame","Living Room","Private","Indoors","ig1","Yes","80","Consistent","Living Room","Picture Frame"
"play2.jpg","Swing Set","Playground","Human","Outdoors","og2","No","80","Inconsistent","Kitchen","Oven Mitts"
"Urban14.jpg","Parking Meter","Suburban","Human","Outdoors","og2","No","100","Inconsistent","Conference Room","Laptop"
"bathroom2.jpg","Shower Head","Bathroom","Private","Indoors","ig1","Yes","80","Consistent","Bathroom","Shower Head"
"opencountry2.jpg","Farmhouse","Open Country","Natural","Outdoors","og2","No","50","Inconsistent","Living Room","TV Remote"
"bedroom12.jpg","Dresser","Bedroom","Private","Indoors","ig1","Yes","100","Consistent","Bedroom","Dresser"
"Urban10.jpg","Bicycle","Suburban","Human","Outdoors","og1","No","100","Consistent","Suburban","Bicycle"
"bathroom6.jpg","Plunger","Bathroom","Private","Indoors","ig1","Yes","80","Consistent","Bathroom","Plunger"
"clock.jpg","Stop Sign","Urban Street","Human","Outdoors","og1","No","50","Consistent","Urban Street","Stop Sign"
"living17.jpg","Armchair Recliner","Living Room","Private","Indoors","ig1","Yes","50","Consistent","Living Room","Armchair Recliner"
"opencountry8.jpg","Radio Tower","Open Country","Natural","Outdoors","og2","No","50","Inconsistent","Kitchen","Apron"
"living9.jpg","Ottoman","Living Room","Private","Indoors","ig1","Yes","50","Consistent","Living Room","Ottoman"
"corridor1.jpg","Drinking Fountain","Corridor","Public","Indoors","ig1","No","80","Consistent","Corridor","Drinking Fountain"
"class6.jpg","Textbook","Classroom","Public","Indoors","ig2","Yes","50","Inconsistent","Suburban","Birdhouse"
"briefcase.jpg","Printer","Office","Public","Indoors","ig1","Yes","100","Consistent","Office","Printer"
"kitchen16.jpg","Oven Mitts","Kitchen","Private","Indoors","ig2","Yes","80","Inconsistent","Suburban","Bird Bath"
"plant_bathroom.png","Slippers","Bathroom","Private","Indoors","ig1","No","80","Consistent","Bathroom","Slippers"
"kitchen13.jpg","Stand Mixer","Kitchen","Private","Indoors","ig2","Yes","80","Inconsistent","City Center","Historic Plaque"
"bathroom3.jpg","Toilet Paper","Bathroom","Private","Indoors","ig2","Yes","80","Inconsistent","Suburban","Mailbox"
"conference3.jpg","Phone Set","Conference Room","Public","Indoors","ig1","No","50","Consistent","Conference Room","Phone Set"
"play12.jpg","Seesaw","Playground","Human","Outdoors","og2","No","50","Inconsistent","Living Room","Floor Lamp"
"bedroom11.jpg","Nightstand","Bedroom","Private","Indoors","ig1","Yes","80","Consistent","Bedroom","Nightstand"
"bin.jpg","Rocking Chair","Living Room","Private","Indoors","ig2","Yes","100","Inconsistent","Playground","Swing Set"
"office4.jpg","Tape Dispenser","Office","Public","Indoors","ig2","Yes","50","Inconsistent","Coast","Beach Towel"
"dining5.jpg","Bowl","Dining Room","Private","Indoors","ig1","No","80","Consistent","Dining Room","Bowl"
"forest2.jpg","Bird Nest","Forest","Natural","Outdoors","og1","Yes","80","Consistent","Forest","Bird Nest"
"wood_kitchen.png","Broom","Kitchen","Private","Indoors","ig1","No","100","Consistent","Kitchen","Broom"
"bedroom14.jpg","Comforter Blanket","Bedroom","Private","Indoors","ig2","Yes","80","Inconsistent","Open Country","Fence"
"tan_kitchen.png","Knife","Kitchen","Private","Indoors","ig2","No","100","Inconsistent","Forest","Camping Tent"
"office9.jpg","Paper Shredder","Office","Public","Indoors","ig1","No","50","Consistent","Office","Paper Shredder"
"Nature36.jpg","Lily Pad","Forest","Natural","Outdoors","og2","Yes","50","Inconsistent","Corridor","Exit Sign"
"farm1.jpg","Hay Bale","Farm","Natural","Outdoors","og1","No","100","Consistent","Farm","Hay Bale"
"coast10.jpg","Surfboard","Coast","Natural","Outdoors","og1","No","50","Consistent","Coast","Surfboard"
"basketball_net.jpg","Bench","Playground","Human","Outdoors","og1","Yes","80","Consistent","Playground","Bench"
"pond.png","Birdhouse","Suburban","Natural","Outdoors","og2","No","80","Inconsistent","Kitchen","Knife"
"opencountry5.jpg","Pitchfork","Open Country","Natural","Outdoors","og1","No","50","Consistent","Open Country","Pitchfork"
"conference8.jpg","Projector Screen","Conference Room","Public","Indoors","ig1","No","80","Consistent","Conference Room","Projector Screen"
"bust.jpg","TV Remote","Living Room","Private","Indoors","ig2","Yes","100","Inconsistent","Urban Street","Crosswalk Signal"
"citycenter2.jpg","Taxi","City Center","Human","Outdoors","og1","Yes","50","Consistent","City Center","Taxi"
"office1.jpg","Pencil Holder","Office","Public","Indoors","ig1","No","50","Consistent","Office","Pencil Holder"
