"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"urbanstreet19.jpg","Subway Station Sign","Urban Street","Human","Outdoors","og2","Yes","50","Inconsistent","Living Room","Vase"
"child_bedroom.png","Teddy Bear","Bedroom","Private","Indoors","ig1","No","100","Consistent","Bedroom","Teddy Bear"
"class8.jpg","Pencil Case","Classroom","Public","Indoors","ig1","No","50","Consistent","Classroom","Pencil Case"
"basketball_net.jpg","Bench","Playground","Human","Outdoors","og1","No","80","Consistent","Playground","Bench"
"suburb6.jpg","Utility Pole","Suburban","Human","Outdoors","og2","Yes","50","Inconsistent","Living Room","DVD Player"
"dining3.jpg","Plate","Dining Room","Private","Indoors","ig2","Yes","100","Inconsistent","Suburban","Parking Meter"
"bathroom2.jpg","Shower Head","Bathroom","Private","Indoors","ig1","No","80","Consistent","Bathroom","Shower Head"
"play3.jpg","Sandbox","Playground","Human","Outdoors","og1","Yes","100","Consistent","Playground","Sandbox"
"class3.jpg","Notebook","Classroom","Public","Indoors","ig2","No","50","Inconsistent","Forest","Fishing Rod"
"corridor3.jpg","Fire Extinguisher","Corridor","Public","Indoors","ig2","Yes","80","Inconsistent","Open Country","Farmhouse"
"bathroom6.jpg","Plunger","Bathroom","Private","Indoors","ig1","No","80","Consistent","Bathroom","Plunger"
"conference7.jpg","Projector","Conference Room","Public","Indoors","ig2","Yes","80","Inconsistent","Forest","Kayak"
"Nature47.jpg","Fishing Boat","Coast","Natural","Outdoors","og1","No","50","Consistent","Coast","Fishing Boat"
"living9.jpg","Ottoman","Living Room","Private","Indoors","ig1","No","50","Consistent","Living Room","Ottoman"
"bedroom13.jpg","Laundry Hamper","Bedroom","Private","Indoors","ig1","No","100","Consistent","Bedroom","Laundry Hamper"
"kitchen17.jpg","Baking Tray","Kitchen","Private","Indoors","ig2","No","80","Inconsistent","Highway","Road Work Sign"
"flowers.jpg","Picture Frame","Living Room","Private","Indoors","ig1","No","80","Consistent","Living Room","Picture Frame"
"brick_apartment.png","Bird Bath","Suburban","Human","Outdoors","og2","No","100","Inconsistent","Kitchen","Baking Tray"
"opencountry2.jpg","Farmhouse","Open Country","Natural","Outdoors","og2","Yes","80","Inconsistent","Living Room","TV Remote"
"Urban14.jpg","Parking Meter","Suburban","Human","Outdoors","og2","Yes","50","Inconsistent","Conference Room","Laptop"
"highway8.jpg","Yield Sign","Highway","Human","Outdoors","og1","No","100","Consistent","Highway","Yield Sign"
"dining6.jpg","Tablecloth","Dining Room","Private","Indoors","ig1","Yes","100","Consistent","Dining Room","Tablecloth"
"urbanstreet28.jpg","Crosswalk Signal","Urban Street","Human","Outdoors","og2","Yes","50","Inconsistent","Corridor","Fire Extinguisher"
