"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"citycenter10.jpg","Souvenir Stand","City Center","Human","Outdoors","og1","No","50","Inconsistent","Classroom","Pencil Case"
"kitchen13.jpg","Stand Mixer","Kitchen","Private","Indoors","ig2","No","100","Consistent","Kitchen","Stand Mixer"
"child_bedroom.png","Teddy Bear","Bedroom","Private","Indoors","ig1","No","50","Inconsistent","Coast","Lifeguard Tower"
"office10.jpg","Stapler","Office","Public","Indoors","ig1","Yes","100","Inconsistent","Playground","Bench"
"suburb3.jpg","Mailbox","Suburban","Human","Outdoors","og2","Yes","50","Consistent","Suburban","Mailbox"
"forest2.jpg","Bird Nest","Forest","Natural","Outdoors","og1","No","100","Inconsistent","Bedroom","Nightstand"
"opencountry1.jpg","Fence","Open Country","Natural","Outdoors","og2","Yes","100","Consistent","Open Country","Fence"
"Nature36.jpg","Lily Pad","Forest","Natural","Outdoors","og2","No","80","Consistent","Forest","Lily Pad"
"citycenter26.jpg","Statue","City Center","Human","Outdoors","og1","No","80","Inconsistent","Office","Paper Shredder"
"corridor4.jpg","Exit Sign","Corridor","Public","Indoors","ig2","Yes","50","Consistent","Corridor","Exit Sign"
"conference3.jpg","Phone Set","Conference Room","Public","Indoors","ig1","Yes","100","Inconsistent","Farm","Tractor"
"Urban10.jpg","Bicycle","Suburban","Human","Outdoors","og1","Yes","80","Inconsistent","Kitchen","Toaster"
"dining8.jpg","Fork","Dining Room","Private","Indoors","ig1","Yes","80","Inconsistent","Farm","Wheelbarrow"
"living17.jpg","Armchair Recliner","Living Room","Private","Indoors","ig1","No","80","Inconsistent","Coast","Fishing Boat"
"play2.jpg","Swing Set","Playground","Human","Outdoors","og2","Yes","50","Consistent","Playground","Swing Set"
"conference5.jpg","Laptop","Conference Room","Public","Indoors","ig2","Yes","100","Consistent","Conference Room","Laptop"
"highway9.jpg","Road Work Sign","Highway","Human","Outdoors","og2","No","100","Consistent","Highway","Road Work Sign"
"farm2.jpg","Wheelbarrow","Farm","Natural","Outdoors","og1","Yes","80","Inconsistent","Bathroom","Razor"
"glass.jpg","Toaster","Kitchen","Private","Indoors","ig1","No","50","Inconsistent","City Center","Statue"
"dining5.jpg","Bowl","Dining Room","Private","Indoors","ig1","Yes","50","Inconsistent","Suburban","Crosswalk"
"play5.jpg","Soccer Ball","Playground","Human","Outdoors","og1","Yes","50","Inconsistent","Living Room","Television"
"coast11.jpg","Lifeguard Tower","Coast","Natural","Outdoors","og1","Yes","100","Inconsistent","Conference Room","Projector Screen"
"office4.jpg","Tape Dispenser","Office","Public","Indoors","ig2","No","80","Consistent","Office","Tape Dispenser"
"dining6.jpg","Tablecloth","Dining Room","Private","Indoors","ig1","Yes","50","Inconsistent","Coast","Buoy"
"conference1.jpg","Briefcase","Conference Room","Public","Indoors","ig2","Yes","100","Consistent","Conference Room","Briefcase"
"bathroom3.jpg","Toilet Paper","Bathroom","Private","Indoors","ig2","No","100","Consistent","Bathroom","Toilet Paper"
"kitchen17.jpg","Baking Tray","Kitchen","Private","Indoors","ig2","No","100","Consistent","Kitchen","Baking Tray"
"Nature22.jpg","Wildflower","Forest","Natural","Outdoors","og2","No","80","Consistent","Forest","Wildflower"
"corridor1.jpg","Drinking Fountain","Corridor","Public","Indoors","ig1","Yes","50","Inconsistent","City Center","Taxi"
"highway12.jpg","Motorcycle","Highway","Human","Outdoors","og2","Yes","80","Consistent","Highway","Motorcycle"
"corridor3.jpg","Fire Extinguisher","Corridor","Public","Indoors","ig2","Yes","100","Consistent","Corridor","Fire Extinguisher"
"office1.jpg","Pencil Holder","Office","Public","Indoors","ig1","Yes","100","Inconsistent","City Center","Souvenir Stand"
"Nature14.jpg","Wild Berries","Forest","Natural","Outdoors","og2","No","50","Consistent","Forest","Wild Berries"
"basketball_net.jpg","Bench","Playground","Human","Outdoors","og1","No","100","Inconsistent","Living Room","Armchair Recliner"
"citycenter11.jpg","Horse Carriage","City Center","Human","Outdoors","og1","No","80","Inconsistent","Bedroom","Laundry Hamper"
"suburb2.jpg","Fire Hydrant","Suburban","Human","Outdoors","og2","Yes","50","Consistent","Suburban","Fire Hydrant"
"tan_kitchen.png","Knife","Kitchen","Private","Indoors","ig2","Yes","80","Consistent","Kitchen","Knife"
"highway10.jpg","Billboard","Highway","Human","Outdoors","og1","No","50","Inconsistent","Office","Pencil Holder"
"bathroom4.jpg","Razor","Bathroom","Private","Indoors","ig1","No","100","Inconsistent","Urban Street","Newspaper Box"
"forest11.jpg","Log Cabin","Forest","Natural","Outdoors","og1","No","100","Inconsistent","Living Room","Picture Frame"
"kitchen16.jpg","Oven Mitts","Kitchen","Private","Indoors","ig2","No","100","Consistent","Kitchen","Oven Mitts"
"highway8.jpg","Yield Sign","Highway","Human","Outdoors","og1","No","50","Inconsistent","Bedroom","Teddy Bear"
"citycenter2.jpg","Taxi","City Center","Human","Outdoors","og1","No","80","Inconsistent","Dining Room","Fork"
"Urban_Image_08.jpg","Traffic Light","Suburban","Human","Outdoors","og1","Yes","50","Inconsistent","Classroom","Crayons"
"urbanstreet28.jpg","Crosswalk Signal","Urban Street","Human","Outdoors","og2","Yes","80","Consistent","Urban Street","Crosswalk Signal"
"corridor5.jpg","Fire Alarm","Corridor","Public","Indoors","ig1","Yes","50","Inconsistent","City Center","Horse Carriage"
"forest9.jpg","Axe","Forest","Natural","Outdoors","og1","No","100","Inconsistent","Kitchen","Broom"
"bedroom5.jpg","Alarm Clock","Bedroom","Private","Indoors","ig2","No","100","Consistent","Bedroom","Alarm Clock"
"class8.jpg","Pencil Case","Classroom","Public","Indoors","ig1","No","80","Inconsistent","Playground","Sandbox"
"coast8.jpg","Lighthouse","Coast","Natural","Outdoors","og2","No","80","Consistent","Coast","Lighthouse"
"forest14.jpg","Camping Tent","Forest","Natural","Outdoors","og2","Yes","80","Consistent","Forest","Camping Tent"
"office9.jpg","Paper Shredder","Office","Public","Indoors","ig1","Yes","100","Inconsistent","Playground","Soccer Ball"
"flowers.jpg","Picture Frame","Living Room","Private","Indoors","ig1","No","100","Inconsistent","Farm","Hay Bale"
"opencountry2.jpg","Farmhouse","Open Country","Natural","Outdoors","og2","Yes","100","Consistent","Open Country","Farmhouse"
"clock.jpg","Stop Sign","Urban Street","Human","Outdoors","og1","Yes","100","Inconsistent","Dining Room","Tablecloth"
"living16.jpg","Television","Living Room","Private","Indoors","ig1","No","80","Inconsistent","Highway","Speed Limit Sign"
"office8.jpg","Sticky Notes","Office","Public","Indoors","ig2","No","80","Consistent","Office","Sticky Notes"
"dining3.jpg","Plate","Dining Room","Private","Indoors","ig2","Yes","50","Consistent","Dining Room","Plate"
"pond.png","Birdhouse","Suburban","Natural","Outdoors","og2","Yes","50","Consistent","Suburban","Birdhouse"
"bedroom13.jpg","Laundry Hamper","Bedroom","Private","Indoors","ig1","No","50","Inconsistent","Forest","Rock"
"conference7.jpg","Projector","Conference Room","Public","Indoors","ig2","Yes","100","Consistent","Conference Room","Projector"
"coast7.jpg","Beach Towel","Coast","Natural","Outdoors","og2","No","80","Consistent","Coast","Beach Towel"
"suburb1.jpg","Lawn Mower","Suburban","Human","Outdoors","og2","Yes","50","Consistent","Suburban","Lawn Mower"
"class6.jpg","Textbook","Classroom","Public","Indoors","ig2","No","80","Consistent","Classroom","Textbook"
"urbanstreet1.jpg","Newspaper Box","Urban Street","Human","Outdoors","og1","Yes","80","Inconsistent","Kitchen","Rolling Pin"
"highway6.jpg","Speed Limit Sign","Highway","Human","Outdoors","og1","No","50","Inconsistent","Dining Room","Bowl"
"opencountry8.jpg","Radio Tower","Open Country","Natural","Outdoors","og2","Yes","100","Consistent","Open Country","Radio Tower"
"play3.jpg","Sandbox","Playground","Human","Outdoors","og1","Yes","50","Inconsistent","Bathroom","Plunger"
"bell.jpg","Coffee Maker","Living Room","Private","Indoors","ig2","No","100","Consistent","Living Room","Coffee Maker"
"opencountry5.jpg","Pitchfork","Open Country","Natural","Outdoors","og1","Yes","100","Inconsistent","Corridor","Fire Alarm"
"kitchen15.jpg","Apron","Kitchen","Private","Indoors","ig2","No","100","Consistent","Kitchen","Apron"
"farm4.jpg","Feeding Trough","Farm","Natural","Outdoors","og2","Yes","50","Consistent","Farm","Feeding Trough"
"coast3.jpg","Buoy","Coast","Natural","Outdoors","og1","Yes","100","Inconsistent","Dining Room","Napkin"
"suburb4.jpg","Crosswalk","Suburban","Human","Outdoors","og1","Yes","50","Inconsistent","Conference Room","Phone Set"
"fruit_bowl.jpg","Blender","Kitchen","Private","Indoors","ig2","Yes","80","Consistent","Kitchen","Blender"
"conference8.jpg","Projector Screen","Conference Room","Public","Indoors","ig1","Yes","50","Inconsistent","Forest","Log Cabin"
"kitchen10.jpg","Rolling Pin","Kitchen","Private","Indoors","ig1","No","50","Inconsistent","Suburban","Traffic Light"
"plant_bathroom.png","Slippers","Bathroom","Private","Indoors","ig1","Yes","50","Inconsistent","Highway","Yield Sign"
"Nature40.jpg","Kayak","Forest","Natural","Outdoors","og2","No","80","Consistent","Forest","Kayak"
"farm1.jpg","Hay Bale","Farm","Natural","Outdoors","og1","Yes","80","Inconsistent","Bathroom","Shower Head"
"Nature47.jpg","Fishing Boat","Coast","Natural","Outdoors","og1","No","80","Inconsistent","Corridor","Drinking Fountain"
"elephant.jpg","Napkin","Dining Room","Private","Indoors","ig1","Yes","80","Inconsistent","Urban Street","Telephone Booth"
"living13.jpg","DVD Player","Living Room","Private","Indoors","ig2","No","50","Consistent","Living Room","DVD Player"
"fire_hydrant.jpg","Flag Pole","City Center","Human","Outdoors","og2","Yes","80","Consistent","City Center","Flag Pole"
"play12.jpg","Seesaw","Playground","Human","Outdoors","og2","Yes","100","Consistent","Playground","Seesaw"
"citycenter12.jpg","Historic Plaque","City Center","Human","Outdoors","og2","No","50","Consistent","City Center","Historic Plaque"
"class9.jpg","Crayons","Classroom","Public","Indoors","ig1","No","80","Inconsistent","Forest","Axe"
"play10.jpg","Picnic Table","Playground","Human","Outdoors","og2","Yes","100","Consistent","Playground","Picnic Table"
"bathroom2.jpg","Shower Head","Bathroom","Private","Indoors","ig1","No","100","Inconsistent","Suburban","Bicycle"
"class3.jpg","Notebook","Classroom","Public","Indoors","ig2","No","80","Consistent","Classroom","Notebook"
"bedroom12.jpg","Dresser","Bedroom","Private","Indoors","ig1","No","50","Inconsistent","Urban Street","Bus Stop Shelter"
"bust.jpg","TV Remote","Living Room","Private","Indoors","ig2","No","50","Consistent","Living Room","TV Remote"
"natural_fall.png","Fishing Rod","Forest","Natural","Outdoors","og2","No","50","Consistent","Forest","Fishing Rod"
"urbanstreet30.jpg","Bus Stop Shelter","Urban Street","Human","Outdoors","og1","Yes","80","Inconsistent","Bathroom","Slippers"
"opencountry3.jpg","Windmill","Open Country","Natural","Outdoors","og1","Yes","100","Inconsistent","Office","Printer"
"corridor2.jpg","Bathroom Sign","Corridor","Public","Indoors","ig2","Yes","100","Consistent","Corridor","Bathroom Sign"
"living9.jpg","Ottoman","Living Room","Private","Indoors","ig1","No","80","Inconsistent","Open Country","Windmill"
"coast10.jpg","Surfboard","Coast","Natural","Outdoors","og1","Yes","100","Inconsistent","Living Room","Ottoman"
"bathroom6.jpg","Plunger","Bathroom","Private","Indoors","ig1","No","100","Inconsistent","Coast","Surfboard"
"briefcase.jpg","Printer","Office","Public","Indoors","ig1","No","50","Inconsistent","Open Country","Pitchfork"
"bathroom7.jpg","Soap Bar","Bathroom","Private","Indoors","ig2","No","100","Consistent","Bathroom","Soap Bar"
"farm7.jpg","Tractor","Farm","Natural","Outdoors","og1","No","100","Inconsistent","Bedroom","Dresser"
"MDS201.jpg","Rock","Forest","Natural","Outdoors","og1","No","80","Inconsistent","Office","Stapler"
"bin.jpg","Rocking Chair","Living Room","Private","Indoors","ig2","No","50","Consistent","Living Room","Rocking Chair"
"dining7.jpg","Spoon","Dining Room","Private","Indoors","ig2","Yes","50","Consistent","Dining Room","Spoon"
"bedroom14.jpg","Comforter Blanket","Bedroom","Private","Indoors","ig2","No","100","Consistent","Bedroom","Comforter Blanket"
"Urban14.jpg","Parking Meter","Suburban","Human","Outdoors","og2","Yes","80","Consistent","Suburban","Parking Meter"
"fan.jpg","Calculator","Office","Public","Indoors","ig1","Yes","80","Inconsistent","Forest","Bird Nest"
"suburb6.jpg","Utility Pole","Suburban","Human","Outdoors","og2","Yes","80","Consistent","Suburban","Utility Pole"
"bedroom11.jpg","Nightstand","Bedroom","Private","Indoors","ig1","No","100","Inconsistent","Urban Street","Stop Sign"
"modern_livingroom.png","Floor Lamp","Living Room","Private","Indoors","ig2","No","50","Consistent","Living Room","Floor Lamp"
"blender.jpg","Pan","Kitchen","Private","Indoors","ig2","No","50","Consistent","Kitchen","Pan"
"urbanstreet19.jpg","Subway Station Sign","Urban Street","Human","Outdoors","og2","Yes","80","Consistent","Urban Street","Subway Station Sign"
"brick_apartment.png","Bird Bath","Suburban","Human","Outdoors","og2","No","50","Consistent","Suburban","Bird Bath"
