"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"brick_apartment.png","Bird Bath","Suburban","Human","Outdoors","og2","No","100","Consistent","Suburban","Bird Bath"
"corridor2.jpg","Bathroom Sign","Corridor","Public","Indoors","ig2","Yes","80","Consistent","Corridor","Bathroom Sign"
"urbanstreet30.jpg","Bus Stop Shelter","Urban Street","Human","Outdoors","og1","Yes","50","Inconsistent","Bathroom","Slippers"
"pond.png","Birdhouse","Suburban","Natural","Outdoors","og2","Yes","100","Consistent","Suburban","Birdhouse"
"play3.jpg","Sandbox","Playground","Human","Outdoors","og1","Yes","100","Inconsistent","Bathroom","Plunger"
"bell.jpg","Coffee Maker","Living Room","Private","Indoors","ig2","No","80","Consistent","Living Room","Coffee Maker"
"bathroom6.jpg","Plunger","Bathroom","Private","Indoors","ig1","No","80","Inconsistent","Coast","Surfboard"
"citycenter26.jpg","Statue","City Center","Human","Outdoors","og1","No","50","Inconsistent","Office","Paper Shredder"
"dining8.jpg","Fork","Dining Room","Private","Indoors","ig1","Yes","50","Inconsistent","Farm","Wheelbarrow"
"forest11.jpg","Log Cabin","Forest","Natural","Outdoors","og1","No","80","Inconsistent","Living Room","Picture Frame"
"farm3.jpg","Scarecrow","Farm","Natural","Outdoors","og2","Yes","100","Consistent","Farm","Scarecrow"
"highway8.jpg","Yield Sign","Highway","Human","Outdoors","og1","No","100","Inconsistent","Bedroom","Teddy Bear"
"opencountry2.jpg","Farmhouse","Open Country","Natural","Outdoors","og2","Yes","80","Consistent","Open Country","Farmhouse"
"living13.jpg","DVD Player","Living Room","Private","Indoors","ig2","No","100","Consistent","Living Room","DVD Player"
"class9.jpg","Crayons","Classroom","Public","Indoors","ig1","No","50","Inconsistent","Forest","Axe"
"corridor1.jpg","Drinking Fountain","Corridor","Public","Indoors","ig1","Yes","100","Inconsistent","City Center","Taxi"
"urbanstreet19.jpg","Subway Station Sign","Urban Street","Human","Outdoors","og2","Yes","50","Consistent","Urban Street","Subway Station Sign"
"forest1.jpg","Toadstool Mushroom","Forest","Natural","Outdoors","og2","Yes","50","Consistent","Forest","Toadstool Mushroom"
"play12.jpg","Seesaw","Playground","Human","Outdoors","og2","Yes","80","Consistent","Playground","Seesaw"
"corridor5.jpg","Fire Alarm","Corridor","Public","Indoors","ig1","Yes","100","Inconsistent","City Center","Horse Carriage"
"bedroom5.jpg","Alarm Clock","Bedroom","Private","Indoors","ig2","No","80","Consistent","Bedroom","Alarm Clock"
"fan.jpg","Calculator","Office","Public","Indoors","ig1","Yes","50","Inconsistent","Forest","Bird Nest"
"urbanstreet12.jpg","Telephone Booth","Urban Street","Human","Outdoors","og1","Yes","50","Inconsistent","Office","Calculator"
"coast7.jpg","Beach Towel","Coast","Natural","Outdoors","og2","No","50","Consistent","Coast","Beach Towel"
"basketball_net.jpg","Bench","Playground","Human","Outdoors","og1","No","80","Inconsistent","Living Room","Armchair Recliner"
"conference8.jpg","Projector Screen","Conference Room","Public","Indoors","ig1","Yes","100","Inconsistent","Forest","Log Cabin"
"coast11.jpg","Lifeguard Tower","Coast","Natural","Outdoors","og1","Yes","80","Inconsistent","Conference Room","Projector Screen"
"child_bedroom.png","Teddy Bear","Bedroom","Private","Indoors","ig1","No","100","Inconsistent","Coast","Lifeguard Tower"
"dining5.jpg","Bowl","Dining Room","Private","Indoors","ig1","Yes","100","Inconsistent","Suburban","Crosswalk"
"Nature47.jpg","Fishing Boat","Coast","Natural","Outdoors","og1","No","50","Inconsistent","Corridor","Drinking Fountain"
"dining6.jpg","Tablecloth","Dining Room","Private","Indoors","ig1","Yes","100","Inconsistent","Coast","Buoy"
"class6.jpg","Textbook","Classroom","Public","Indoors","ig2","No","50","Consistent","Classroom","Textbook"
"suburb3.jpg","Mailbox","Suburban","Human","Outdoors","og2","Yes","100","Consistent","Suburban","Mailbox"
"office10.jpg","Stapler","Office","Public","Indoors","ig1","Yes","80","Inconsistent","Playground","Bench"
"suburb2.jpg","Fire Hydrant","Suburban","Human","Outdoors","og2","Yes","100","Consistent","Suburban","Fire Hydrant"
"dining7.jpg","Spoon","Dining Room","Private","Indoors","ig2","Yes","100","Consistent","Dining Room","Spoon"
"office9.jpg","Paper Shredder","Office","Public","Indoors","ig1","Yes","80","Inconsistent","Playground","Soccer Ball"
"glass.jpg","Toaster","Kitchen","Private","Indoors","ig1","No","100","Inconsistent","City Center","Statue"
"conference5.jpg","Laptop","Conference Room","Public","Indoors","ig2","Yes","80","Consistent","Conference Room","Laptop"
"urbanstreet28.jpg","Crosswalk Signal","Urban Street","Human","Outdoors","og2","Yes","50","Consistent","Urban Street","Crosswalk Signal"
"opencountry5.jpg","Pitchfork","Open Country","Natural","Outdoors","og1","Yes","80","Inconsistent","Corridor","Fire Alarm"
"bathroom3.jpg","Toilet Paper","Bathroom","Private","Indoors","ig2","No","80","Consistent","Bathroom","Toilet Paper"
"corridor4.jpg","Exit Sign","Corridor","Public","Indoors","ig2","Yes","100","Consistent","Corridor","Exit Sign"
"citycenter12.jpg","Historic Plaque","City Center","Human","Outdoors","og2","No","100","Consistent","City Center","Historic Plaque"
"clock.jpg","Stop Sign","Urban Street","Human","Outdoors","og1","Yes","80","Inconsistent","Dining Room","Tablecloth"
"forest2.jpg","Bird Nest","Forest","Natural","Outdoors","og1","No","80","Inconsistent","Bedroom","Nightstand"
"opencountry8.jpg","Radio Tower","Open Country","Natural","Outdoors","og2","Yes","80","Consistent","Open Country","Radio Tower"
"natural_fall.png","Fishing Rod","Forest","Natural","Outdoors","og2","No","100","Consistent","Forest","Fishing Rod"
"highway10.jpg","Billboard","Highway","Human","Outdoors","og1","No","100","Inconsistent","Office","Pencil Holder"
"bin.jpg","Rocking Chair","Living Room","Private","Indoors","ig2","No","100","Consistent","Living Room","Rocking Chair"
"citycenter2.jpg","Taxi","City Center","Human","Outdoors","og1","No","50","Inconsistent","Dining Room","Fork"
