"SceneImage","consist_obj","Basic","Superordinate","InOut","group_labels","Inverted","Duration","Consistent","probe_cat","probe"
"highway12.jpg","Motorcycle","Highway","Human","Outdoors","og2","No","50","Consistent","Highway","Motorcycle"
"forest14.jpg","Camping Tent","Forest","Natural","Outdoors","og2","No","50","Consistent","Forest","Camping Tent"
"bedroom11.jpg","Nightstand","Bedroom","Private","Indoors","ig1","Yes","100","Inconsistent","Urban Street","Stop Sign"
"suburb2.jpg","Fire Hydrant","Suburban","Human","Outdoors","og2","No","100","Consistent","Suburban","Fire Hydrant"
"play2.jpg","Swing Set","Playground","Human","Outdoors","og2","No","100","Consistent","Playground","Swing Set"
"suburb6.jpg","Utility Pole","Suburban","Human","Outdoors","og2","No","50","Consistent","Suburban","Utility Pole"
"office9.jpg","Paper Shredder","Office","Public","Indoors","ig1","No","80","Inconsistent","Playground","Soccer Ball"
"bathroom3.jpg","Toilet Paper","Bathroom","Private","Indoors","ig2","Yes","100","Consistent","Bathroom","Toilet Paper"
"clock.jpg","Stop Sign","Urban Street","Human","Outdoors","og1","No","80","Inconsistent","Dining Room","Tablecloth"
"forest9.jpg","Axe","Forest","Natural","Outdoors","og1","Yes","100","Inconsistent","Kitchen","Broom"
"bedroom12.jpg","Dresser","Bedroom","Private","Indoors","ig1","Yes","50","Inconsistent","Urban Street","Bus Stop Shelter"
"briefcase.jpg","Printer","Office","Public","Indoors","ig1","Yes","50","Inconsistent","Open Country","Pitchfork"
"forest11.jpg","Log Cabin","Forest","Natural","Outdoors","og1","Yes","100","Inconsistent","Living Room","Picture Frame"
"corridor5.jpg","Fire Alarm","Corridor","Public","Indoors","ig1","No","100","Inconsistent","City Center","Horse Carriage"
"conference7.jpg","Projector","Conference Room","Public","Indoors","ig2","No","80","Consistent","Conference Room","Projector"
"coast8.jpg","Lighthouse","Coast","Natural","Outdoors","og2","Yes","80","Consistent","Coast","Lighthouse"
"fire_hydrant.jpg","Flag Pole","City Center","Human","Outdoors","og2","No","50","Consistent","City Center","Flag Pole"
"class6.jpg","Textbook","Classroom","Public","Indoors","ig2","Yes","80","Consistent","Classroom","Textbook"
"citycenter26.jpg","Statue","City Center","Human","Outdoors","og1","Yes","80","Inconsistent","Office","Paper Shredder"
"kitchen17.jpg","Baking Tray","Kitchen","Private","Indoors","ig2","Yes","100","Consistent","Kitchen","Baking Tray"
"pond.png","Birdhouse","Suburban","Natural","Outdoors","og2","No","100","Consistent","Suburban","Birdhouse"
"play5.jpg","Soccer Ball","Playground","Human","Outdoors","og1","No","100","Inconsistent","Living Room","Television"
"farm4.jpg","Feeding Trough","Farm","Natural","Outdoors","og2","No","100","Consistent","Farm","Feeding Trough"
"Urban_Image_08.jpg","Traffic Light","Suburban","Human","Outdoors","og1","No","100","Inconsistent","Classroom","Crayons"
"bathroom4.jpg","Razor","Bathroom","Private","Indoors","ig1","Yes","100","Inconsistent","Urban Street","Newspaper Box"
"living9.jpg","Ottoman","Living Room","Private","Indoors","ig1","Yes","80","Inconsistent","Open Country","Windmill"
"coast10.jpg","Surfboard","Coast","Natural","Outdoors","og1","No","80","Inconsistent","Living Room","Ottoman"
"forest1.jpg","Toadstool Mushroom","Forest","Natural","Outdoors","og2","No","50","Consistent","Forest","Toadstool Mushroom"
"play12.jpg","Seesaw","Playground","Human","Outdoors","og2","No","80","Consistent","Playground","Seesaw"
"kitchen16.jpg","Oven Mitts","Kitchen","Private","Indoors","ig2","Yes","100","Consistent","Kitchen","Oven Mitts"
"class8.jpg","Pencil Case","Classroom","Public","Indoors","ig1","Yes","80","Inconsistent","Playground","Sandbox"
"coast7.jpg","Beach Towel","Coast","Natural","Outdoors","og2","Yes","80","Consistent","Coast","Beach Towel"
"urbanstreet30.jpg","Bus Stop Shelter","Urban Street","Human","Outdoors","og1","No","50","Inconsistent","Bathroom","Slippers"
"office1.jpg","Pencil Holder","Office","Public","Indoors","ig1","No","80","Inconsistent","City Center","Souvenir Stand"
"dining3.jpg","Plate","Dining Room","Private","Indoors","ig2","No","100","Consistent","Dining Room","Plate"
"Urban14.jpg","Parking Meter","Suburban","Human","Outdoors","og2","No","50","Consistent","Suburban","Parking Meter"
"bedroom14.jpg","Comforter Blanket","Bedroom","Private","Indoors","ig2","Yes","100","Consistent","Bedroom","Comforter Blanket"
"living6.jpg","Vase","Living Room","Private","Indoors","ig2","Yes","50","Consistent","Living Room","Vase"
"elephant.jpg","Napkin","Dining Room","Private","Indoors","ig1","No","50","Inconsistent","Urban Street","Telephone Booth"
"conference5.jpg","Laptop","Conference Room","Public","Indoors","ig2","No","80","Consistent","Conference Room","Laptop"
"farm1.jpg","Hay Bale","Farm","Natural","Outdoors","og1","No","50","Inconsistent","Bathroom","Shower Head"
"living17.jpg","Armchair Recliner","Living Room","Private","Indoors","ig1","Yes","80","Inconsistent","Coast","Fishing Boat"
"forest2.jpg","Bird Nest","Forest","Natural","Outdoors","og1","Yes","100","Inconsistent","Bedroom","Nightstand"
"fruit_bowl.jpg","Blender","Kitchen","Private","Indoors","ig2","No","50","Consistent","Kitchen","Blender"
"bathroom6.jpg","Plunger","Bathroom","Private","Indoors","ig1","Yes","100","Inconsistent","Coast","Surfboard"
"bell.jpg","Coffee Maker","Living Room","Private","Indoors","ig2","Yes","100","Consistent","Living Room","Coffee Maker"
"brick_apartment.png","Bird Bath","Suburban","Human","Outdoors","og2","Yes","50","Consistent","Suburban","Bird Bath"
"living16.jpg","Television","Living Room","Private","Indoors","ig1","Yes","80","Inconsistent","Highway","Speed Limit Sign"
"kitchen13.jpg","Stand Mixer","Kitchen","Private","Indoors","ig2","Yes","100","Consistent","Kitchen","Stand Mixer"
"play3.jpg","Sandbox","Playground","Human","Outdoors","og1","No","100","Inconsistent","Bathroom","Plunger"
"bedroom13.jpg","Laundry Hamper","Bedroom","Private","Indoors","ig1","Yes","50","Inconsistent","Forest","Rock"
"suburb3.jpg","Mailbox","Suburban","Human","Outdoors","og2","No","100","Consistent","Suburban","Mailbox"
"farm7.jpg","Tractor","Farm","Natural","Outdoors","og1","Yes","100","Inconsistent","Bedroom","Dresser"
"class11.jpg","Backpack","Classroom","Public","Indoors","ig2","Yes","80","Consistent","Classroom","Backpack"
"bathroom2.jpg","Shower Head","Bathroom","Private","Indoors","ig1","Yes","100","Inconsistent","Suburban","Bicycle"
"corridor4.jpg","Exit Sign","Corridor","Public","Indoors","ig2","No","100","Consistent","Corridor","Exit Sign"
"urbanstreet12.jpg","Telephone Booth","Urban Street","Human","Outdoors","og1","No","50","Inconsistent","Office","Calculator"
"dining7.jpg","Spoon","Dining Room","Private","Indoors","ig2","No","100","Consistent","Dining Room","Spoon"
"farm2.jpg","Wheelbarrow","Farm","Natural","Outdoors","og1","No","50","Inconsistent","Bathroom","Razor"
"suburb1.jpg","Lawn Mower","Suburban","Human","Outdoors","og2","No","100","Consistent","Suburban","Lawn Mower"
"highway10.jpg","Billboard","Highway","Human","Outdoors","og1","Yes","50","Inconsistent","Office","Pencil Holder"
"conference1.jpg","Briefcase","Conference Room","Public","Indoors","ig2","No","80","Consistent","Conference Room","Briefcase"
"glass.jpg","Toaster","Kitchen","Private","Indoors","ig1","Yes","50","Inconsistent","City Center","Statue"
"farm3.jpg","Scarecrow","Farm","Natural","Outdoors","og2","No","100","Consistent","Farm","Scarecrow"
"office4.jpg","Tape Dispenser","Office","Public","Indoors","ig2","Yes","80","Consistent","Office","Tape Dispenser"
"coast3.jpg","Buoy","Coast","Natural","Outdoors","og1","No","80","Inconsistent","Dining Room","Napkin"
"bathroom7.jpg","Soap Bar","Bathroom","Private","Indoors","ig2","Yes","100","Consistent","Bathroom","Soap Bar"
"citycenter2.jpg","Taxi","City Center","Human","Outdoors","og1","Yes","80","Inconsistent","Dining Room","Fork"
"kitchen10.jpg","Rolling Pin","Kitchen","Private","Indoors","ig1","Yes","50","Inconsistent","Suburban","Traffic Light"
