"","SceneImage","Object","Basic","Superordinate","Supersuperordinate","consistency_category","Consistent","Inverted","Duration"
"80","coast7.jpg","Beach Towel","Coast","Natural","Outdoors","consistent","Consistent","Yes","150"
"49","corridor3.jpg","Textbook","Corridor","Public","Indoors","basic","Inconsistent","No","150"
"23","Nature40.jpg","Kayak","Forest","Natural","Outdoors","consistent","Consistent","Yes","100"
"93","highway8.jpg","Beach Towel","Highway","Human","Outdoors","basic","Inconsistent","No","50"
"92","highway6.jpg","Road Work Sign","Highway","Human","Outdoors","consistent","Consistent","No","50"
"115","class6.jpg","Textbook","Classroom","Public","Indoors","consistent","Consistent","Yes","50"
"108","urbanstreet19.jpg","Subway Station Sign","Urban Street","Human","Outdoors","consistent","Consistent","No","50"
"5","bust.jpg","TV Remote","Living Room","Private","Indoors","consistent","Consistent","No","100"
"63","kitchen6.jpg","TV Remote","Kitchen","Private","Indoors","basic","Inconsistent","No","150"
"3","bin.jpg","Napkin","Living Room","Private","Indoors","basic","Inconsistent","Yes","50"
"9","elephant.jpg","Napkin","Dining Room","Private","Indoors","consistent","Consistent","No","150"
"42","conference1.jpg","Fire Alarm","Conference Room","Public","Indoors","basic","Inconsistent","Yes","150"
"51","corridor5.jpg","Fire Alarm","Corridor","Public","Indoors","consistent","Consistent","Yes","100"
"109","urbanstreet30.jpg","Bus Stop Shelter","Urban Street","Human","Outdoors","consistent","Consistent","Yes","150"
"86","farm7.jpg","Spoon","Farm","Natural","Outdoors","super","Inconsistent","No","50"
"107","urbanstreet1.jpg","Razor","Urban Street","Human","Outdoors","super","Inconsistent","Yes","150"
"28","Urban_Image_08.jpg","Kayak","Suburban","Human","Outdoors","basic","Inconsistent","No","100"
"74","citycenter11.jpg","Bench","City Center","Human","Outdoors","consistent","Consistent","Yes","100"
"60","dining7.jpg","Spoon","Dining Room","Private","Indoors","consistent","Consistent","No","150"
"89","forest9.jpg","Woodpecker","Forest","Natural","Outdoors","consistent","Consistent","Yes","150"
"39","bedroom4.jpg","Road Work Sign","Bedroom","Private","Indoors","super","Inconsistent","No","150"
"82","farm1.jpg","Soap","Farm","Natural","Outdoors","super","Inconsistent","Yes","50"
"95","highway10.jpg","Billboard","Highway","Human","Outdoors","consistent","Consistent","Yes","50"
"118","suburb2.jpg","Trash Bags","Suburban","Human","Outdoors","consistent","Consistent","No","150"
"17","MDS201.jpg","Rock","Forest","Natural","Outdoors","consistent","Consistent","Yes","150"
"34","bathroom4.jpg","Razor","Bathroom","Private","Indoors","consistent","Consistent","Yes","150"
"121","suburb6.jpg","Utility Pole","Suburban","Human","Outdoors","consistent","Consistent","Yes","50"
"36","bathroom7.jpg","Soap","Bathroom","Private","Indoors","consistent","Consistent","No","150"
"4","blender.jpg","Bowl","Kitchen","Private","Indoors","basic","Inconsistent","Yes","100"
"30","Urban14.jpg","Subway Station Sign","Suburban","Human","Outdoors","basic","Inconsistent","Yes","100"
"14","glass.jpg","Fork","Kitchen","Private","Indoors","basic","Inconsistent","No","100"
"12","flowers.jpg","Cutting Board","Living Room","Private","Indoors","basic","Inconsistent","Yes","50"
"73","citycenter10.jpg","Ladle","City Center","Human","Outdoors","super","Inconsistent","No","100"
"120","suburb4.jpg","Bus Stop Shelter","Suburban","Human","Outdoors","basic","Inconsistent","No","150"
"119","suburb3.jpg","Bench","Suburban","Human","Outdoors","basic","Inconsistent","Yes","100"
"8","coffeemaker.jpg","Cutting Board","Kitchen","Private","Indoors","consistent","Consistent","Yes","150"
"22","Nature36.jpg","Turtle","Forest","Natural","Outdoors","consistent","Consistent","No","150"
"79","coast4.jpg","Lifeguard Tower","Coast","Natural","Outdoors","consistent","Consistent","No","50"
"94","highway9.jpg","Traffic Exit Sign","Highway","Human","Outdoors","consistent","Consistent","No","50"
"10","fan.jpg","Woodpecker","Office","Public","Indoors","super","Inconsistent","Yes","150"
"58","dining5.jpg","Bowl","Dining Room","Private","Indoors","consistent","Consistent","No","50"
"87","forest1.jpg","Towel","Forest","Natural","Outdoors","super","Inconsistent","No","150"
"61","dining8.jpg","Fork","Dining Room","Private","Indoors","consistent","Consistent","No","100"
"117","suburb1.jpg","No Parking Sign","Suburban","Human","Outdoors","consistent","Consistent","Yes","100"
"2","bell.jpg","Billboard","Living Room","Private","Indoors","super","Inconsistent","No","50"
"83","farm2.jpg","Chicken Coop","Farm","Natural","Outdoors","consistent","Consistent","Yes","100"
"29","Urban10.jpg","Rock","Suburban","Human","Outdoors","basic","Inconsistent","No","150"
"62","kitchen2.jpg","Ladle","Kitchen","Private","Indoors","consistent","Consistent","No","50"
"77","coast1.jpg","Phone Set","Coast","Natural","Outdoors","super","Inconsistent","No","150"
"114","class4.jpg","Plate","Classroom","Public","Indoors","basic","Inconsistent","No","100"
"41","bedroom7.jpg","Trash Bags","Bedroom","Private","Indoors","super","Inconsistent","No","100"
"15","briefcase.jpg","Utility Pole","Office","Public","Indoors","super","Inconsistent","Yes","50"
"13","fruit_bowl.jpg","Turtle","Kitchen","Private","Indoors","super","Inconsistent","Yes","100"
"101","opencountry8.jpg","Lifeguard Tower","Open Country","Natural","Outdoors","basic","Inconsistent","Yes","100"
"32","bathroom2.jpg","Towel","Bathroom","Private","Indoors","consistent","Consistent","Yes","150"
"21","Nature22.jpg","Teddy Bear","Forest","Natural","Outdoors","super","Inconsistent","No","150"
"52","living2.jpg","Traffic Exit Sign","Living Room","Private","Indoors","super","Inconsistent","Yes","50"
"81","coast8.jpg","No Parking Sign","Coast","Natural","Outdoors","basic","Inconsistent","Yes","50"
"46","conference7.jpg","Phone Set","Conference Room","Public","Indoors","consistent","Consistent","No","50"
"57","dining3.jpg","Plate","Dining Room","Private","Indoors","consistent","Consistent","Yes","100"
"38","bedroom2.jpg","Tape Dispenser","Bedroom","Private","Indoors","basic","Inconsistent","No","100"
"16","child_bedroom.png","Teddy Bear","Bedroom","Private","Indoors","consistent","Consistent","Yes","50"
"70","office9.jpg","Tape Dispenser","Office","Public","Indoors","consistent","Consistent","Yes","100"
"113","class3.jpg","Notebook","Classroom","Public","Indoors","consistent","Consistent","No","150"
"97","opencountry1.jpg","Fence","Open Country","Natural","Outdoors","consistent","Consistent","No","50"
"71","office10.jpg","Chicken Coop","Office","Public","Indoors","super","Inconsistent","No","100"
"53","living6.jpg","Fence","Living Room","Private","Indoors","super","Inconsistent","Yes","100"
"24","Nature47.jpg","Boat","Coast","Natural","Outdoors","consistent","Consistent","Yes","100"
"98","opencountry2.jpg","Farmhouse","Open Country","Natural","Outdoors","consistent","Consistent","Yes","100"
"50","corridor4.jpg","Notebook","Corridor","Public","Indoors","basic","Inconsistent","No","50"
"84","farm3.jpg","Pencil Case","Farm","Natural","Outdoors","super","Inconsistent","Yes","50"
"44","conference4.jpg","Boat","Conference Room","Public","Indoors","super","Inconsistent","No","150"
"6","cap.jpg","Drinking Fountain","Indeterminate","Indeterminate","Outdoors","super","Inconsistent","No","50"
