"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Bench","consistent","Consistent","No","100"
"2","bathroom2.jpg","Tractor","super","Inconsistent","Yes","100"
"3","bathroom3.jpg","Notebook","basic","Inconsistent","Yes","100"
"4","bathroom4.jpg","Razor","consistent","Consistent","No","50"
"5","bathroom6.jpg","Plunger","consistent","Consistent","Yes","100"
"6","bathroom7.jpg","Parking Meter","super","Inconsistent","No","150"
"7","bedroom11.jpg","Camping Tent","super","Inconsistent","No","100"
"8","bedroom12.jpg","Dresser","consistent","Consistent","No","100"
"9","bedroom13.jpg","Laundry Hamper","consistent","Consistent","Yes","150"
"10","bedroom14.jpg","Comforter Blanket","consistent","Consistent","No","100"
"11","bedroom5.jpg","Alarm Clock","consistent","Consistent","Yes","100"
"12","bell.jpg","Plunger","basic","Inconsistent","Yes","150"
"13","bin.jpg","Rocking Chair","consistent","Consistent","No","150"
"14","blender.jpg","Pan","consistent","Consistent","No","100"
"15","brick_apartment.png","Bird Bath","consistent","Consistent","No","50"
"16","briefcase.jpg","Printer","consistent","Consistent","No","150"
"17","bust.jpg","Projector Screen","basic","Inconsistent","Yes","50"
"18","child_bedroom.png","Teddy Bear","consistent","Consistent","No","50"
"19","citycenter10.jpg","Souvenir Stand","consistent","Consistent","No","100"
"20","citycenter11.jpg","Axe","basic","Inconsistent","No","50"
"21","citycenter12.jpg","Historic Plaque","consistent","Consistent","No","50"
"22","citycenter2.jpg","Taxi","consistent","Consistent","No","50"
"23","citycenter26.jpg","Television","super","Inconsistent","No","50"
"24","class11.jpg","Backpack","consistent","Consistent","Yes","100"
"25","class3.jpg","Notebook","consistent","Consistent","No","150"
"26","class6.jpg","Textbook","consistent","Consistent","Yes","150"
"27","class8.jpg","Subway Station Sign","super","Inconsistent","No","50"
"28","class9.jpg","Crayons","consistent","Consistent","No","150"
"29","clock.jpg","Fire Hydrant","basic","Inconsistent","Yes","150"
"30","coast10.jpg","Sticky Notes","super","Inconsistent","No","150"
"31","coast11.jpg","Pencil Holder","super","Inconsistent","No","100"
"32","coast3.jpg","Lighthouse","consistent","Consistent","No","100"
"33","coast7.jpg","Beach Towel","consistent","Consistent","Yes","50"
"34","coast8.jpg","Seesaw","basic","Inconsistent","Yes","50"
"35","conference1.jpg","Bowl","basic","Inconsistent","Yes","100"
"36","conference3.jpg","Phone Set","consistent","Consistent","Yes","150"
"37","conference5.jpg","Exit Sign","basic","Inconsistent","No","50"
"38","conference7.jpg","Rocking Chair","basic","Inconsistent","No","100"
"39","conference8.jpg","Projector Screen","consistent","Consistent","No","150"
"40","corridor1.jpg","Drinking Fountain","consistent","Consistent","No","50"
"41","corridor2.jpg","Alarm Clock","basic","Inconsistent","Yes","150"
"42","corridor3.jpg","Fire Extinguisher","consistent","Consistent","Yes","150"
"43","corridor4.jpg","Exit Sign","consistent","Consistent","No","50"
"44","corridor5.jpg","Fire Alarm","consistent","Consistent","No","100"
"45","dining3.jpg","Plate","consistent","Consistent","No","50"
"46","dining5.jpg","Bowl","consistent","Consistent","Yes","100"
"47","dining6.jpg","Razor","basic","Inconsistent","Yes","50"
"48","dining7.jpg","Historic Plaque","super","Inconsistent","No","50"
"49","dining8.jpg","Souvenir Stand","super","Inconsistent","No","150"
"50","elephant.jpg","Bird Bath","super","Inconsistent","No","150"
"51","fan.jpg","Hay Bale","super","Inconsistent","No","100"
"52","farm1.jpg","Hay Bale","consistent","Consistent","No","150"
"53","farm2.jpg","Wheelbarrow","consistent","Consistent","No","50"
"54","farm3.jpg","Baking Tray","super","Inconsistent","No","50"
"55","farm4.jpg","Feeding Trough","consistent","Consistent","Yes","150"
"56","farm7.jpg","Tractor","consistent","Consistent","Yes","100"
"57","fire_hydrant.jpg","Billboard","basic","Inconsistent","No","150"
"58","flowers.jpg","Tape Dispenser","basic","Inconsistent","Yes","150"
"59","forest1.jpg","Teddy Bear","super","Inconsistent","Yes","50"
"60","forest11.jpg","Log Cabin","consistent","Consistent","Yes","50"
"61","forest14.jpg","Camping Tent","consistent","Consistent","Yes","50"
"62","forest2.jpg","Knife","super","Inconsistent","Yes","100"
"63","forest9.jpg","Axe","consistent","Consistent","No","50"
"64","fruit_bowl.jpg","Wildflower","super","Inconsistent","Yes","100"
"65","glass.jpg","Plate","basic","Inconsistent","Yes","50"
"66","highway10.jpg","Billboard","consistent","Consistent","Yes","150"
"67","highway12.jpg","Wheelbarrow","basic","Inconsistent","No","100"
"68","highway6.jpg","Lighthouse","basic","Inconsistent","No","100"
"69","highway8.jpg","Bench","basic","Inconsistent","No","100"
"70","highway9.jpg","Phone Set","super","Inconsistent","Yes","100"
"71","kitchen10.jpg","Rolling Pin","consistent","Consistent","Yes","50"
"72","kitchen13.jpg","Fire Extinguisher","basic","Inconsistent","No","150"
"73","kitchen15.jpg","Printer","basic","Inconsistent","Yes","50"
"74","kitchen16.jpg","Newspaper Box","super","Inconsistent","Yes","50"
"75","kitchen17.jpg","Baking Tray","consistent","Consistent","No","150"
"76","living13.jpg","Fire Alarm","basic","Inconsistent","No","150"
"77","living16.jpg","Television","consistent","Consistent","Yes","50"
"78","living17.jpg","Radio Tower","super","Inconsistent","Yes","100"
"79","living6.jpg","Vase","consistent","Consistent","Yes","100"
"80","living9.jpg","Ottoman","consistent","Consistent","No","150"
"81","MDS201.jpg","Farmhouse","basic","Inconsistent","No","50"
"82","modern_livingroom.png","Floor Lamp","consistent","Consistent","No","100"
"83","natural_fall.png","Feeding Trough","basic","Inconsistent","Yes","100"
"84","Nature14.jpg","Textbook","super","Inconsistent","Yes","150"
"85","Nature22.jpg","Wildflower","consistent","Consistent","Yes","100"
"86","Nature36.jpg","Dresser","super","Inconsistent","Yes","50"
"87","Nature40.jpg","Picnic Table","basic","Inconsistent","Yes","150"
"88","Nature47.jpg","Bus Stop Shelter","basic","Inconsistent","No","150"
"89","office1.jpg","Pencil Holder","consistent","Consistent","Yes","50"
"90","office10.jpg","Traffic Light","super","Inconsistent","No","50"
"91","office4.jpg","Tape Dispenser","consistent","Consistent","Yes","50"
"92","office8.jpg","Sticky Notes","consistent","Consistent","No","150"
"93","office9.jpg","Backpack","basic","Inconsistent","No","100"
"94","opencountry1.jpg","Pan","super","Inconsistent","Yes","150"
"95","opencountry2.jpg","Farmhouse","consistent","Consistent","Yes","150"
"96","opencountry3.jpg","Comforter Blanket","super","Inconsistent","No","100"
"97","opencountry5.jpg","Pitchfork","consistent","Consistent","Yes","50"
"98","opencountry8.jpg","Radio Tower","consistent","Consistent","No","150"
"99","plant_bathroom.png","Ottoman","basic","Inconsistent","Yes","100"
"100","play10.jpg","Picnic Table","consistent","Consistent","Yes","50"
"101","play12.jpg","Seesaw","consistent","Consistent","Yes","100"
