"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Bench","consistent","Consistent","No","100"
"2","bathroom2.jpg","Shower Head","consistent","Consistent","Yes","100"
"3","bathroom3.jpg","Log Cabin","super","Inconsistent","Yes","100"
"4","bathroom4.jpg","Armchair Recliner","basic","Inconsistent","Yes","100"
"5","bathroom6.jpg","Plunger","consistent","Consistent","Yes","100"
"6","bathroom7.jpg","Soap Bar","consistent","Consistent","No","150"
"7","bedroom11.jpg","Nightstand","consistent","Consistent","No","100"
"8","bedroom12.jpg","Broom","basic","Inconsistent","Yes","150"
"9","bedroom13.jpg","Laundry Hamper","consistent","Consistent","Yes","150"
"10","bedroom14.jpg","Calculator","basic","Inconsistent","Yes","150"
"11","bedroom5.jpg","Seesaw","super","Inconsistent","No","100"
"12","bell.jpg","Parking Meter","super","Inconsistent","Yes","150"
"13","bin.jpg","Crayons","basic","Inconsistent","Yes","50"
"14","blender.jpg","Pan","consistent","Consistent","No","100"
"15","brick_apartment.png","Bird Bath","consistent","Consistent","No","50"
"16","briefcase.jpg","Shower Head","basic","Inconsistent","Yes","50"
"17","bust.jpg","Camping Tent","super","Inconsistent","Yes","50"
"18","child_bedroom.png","Teddy Bear","consistent","Consistent","No","50"
"19","citycenter10.jpg","Souvenir Stand","consistent","Consistent","No","100"
"20","citycenter11.jpg","Newspaper Box","basic","Inconsistent","No","50"
"21","citycenter12.jpg","Windmill","basic","Inconsistent","Yes","100"
"22","citycenter2.jpg","Bird Bath","basic","Inconsistent","Yes","100"
"23","citycenter26.jpg","Sculpture","consistent","Consistent","No","50"
"24","class11.jpg","Backpack","consistent","Consistent","Yes","100"
"25","class3.jpg","Axe","super","Inconsistent","Yes","50"
"26","class6.jpg","Soap Bar","basic","Inconsistent","No","150"
"27","class8.jpg","Souvenir Stand","super","Inconsistent","No","50"
"28","class9.jpg","Crayons","consistent","Consistent","No","150"
"29","clock.jpg","Pan","super","Inconsistent","Yes","150"
"30","coast10.jpg","Surfboard","consistent","Consistent","No","150"
"31","coast11.jpg","Lifeguard Tower","consistent","Consistent","No","100"
"32","coast3.jpg","Lighthouse","consistent","Consistent","No","100"
"33","coast7.jpg","Beach Towel","consistent","Consistent","Yes","50"
"34","coast8.jpg","Sticky Notes","super","Inconsistent","Yes","50"
"35","conference1.jpg","Lighthouse","super","Inconsistent","Yes","100"
