"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Bench","consistent","Consistent","Yes","150"
"2","bathroom2.jpg","Shower Head","consistent","Consistent","No","100"
"3","bathroom3.jpg","Wildflower","super","Inconsistent","No","100"
"4","bathroom4.jpg","Sticky Notes","basic","Inconsistent","No","100"
"5","bathroom6.jpg","Plunger","consistent","Consistent","No","100"
"6","bathroom7.jpg","Soap Bar","consistent","Consistent","Yes","50"
"7","bedroom11.jpg","Nightstand","consistent","Consistent","Yes","150"
"8","bedroom12.jpg","Pencil Holder","basic","Inconsistent","No","150"
"9","bedroom13.jpg","Laundry Hamper","consistent","Consistent","No","150"
"10","bedroom14.jpg","Armchair Recliner","basic","Inconsistent","No","150"
"11","bedroom5.jpg","Fork","basic","Inconsistent","Yes","150"
"12","bell.jpg","Seesaw","super","Inconsistent","No","150"
"13","bin.jpg","Phone Set","basic","Inconsistent","No","50"
"14","blender.jpg","Pan","consistent","Consistent","Yes","150"
"15","brick_apartment.png","Bird Bath","consistent","Consistent","Yes","100"
"16","briefcase.jpg","Crayons","basic","Inconsistent","No","50"
"17","bust.jpg","Bicycle","super","Inconsistent","No","50"
"18","child_bedroom.png","Teddy Bear","consistent","Consistent","Yes","100"
"19","citycenter10.jpg","Souvenir Stand","consistent","Consistent","Yes","150"
"20","citycenter11.jpg","Log Cabin","basic","Inconsistent","Yes","100"
"21","citycenter12.jpg","Lily Pad","basic","Inconsistent","No","100"
"22","citycenter2.jpg","Billboard","basic","Inconsistent","No","100"
"23","citycenter26.jpg","Sculpture","consistent","Consistent","Yes","100"
"24","class11.jpg","Backpack","consistent","Consistent","No","100"
"25","class3.jpg","Newspaper Box","super","Inconsistent","No","50"
"26","class6.jpg","Blender","basic","Inconsistent","Yes","50"
"27","class8.jpg","Crosswalk","super","Inconsistent","Yes","100"
"28","class9.jpg","Crayons","consistent","Consistent","Yes","50"
"29","clock.jpg","Plate","super","Inconsistent","No","150"
"30","coast10.jpg","Surfboard","consistent","Consistent","Yes","50"
"31","coast11.jpg","Lifeguard Tower","consistent","Consistent","Yes","150"
"32","coast3.jpg","Lighthouse","consistent","Consistent","Yes","150"
"33","coast7.jpg","Beach Towel","consistent","Consistent","No","50"
"34","coast8.jpg","Crosswalk Signal","basic","Inconsistent","No","50"
"35","conference1.jpg","Road Work Sign","super","Inconsistent","No","100"
"36","conference3.jpg","Phone Set","consistent","Consistent","No","150"
"37","conference5.jpg","Swing Set","super","Inconsistent","Yes","100"
"38","conference7.jpg","Sculpture","super","Inconsistent","Yes","150"
"39","conference8.jpg","Spoon","basic","Inconsistent","No","50"
"40","corridor1.jpg","Calculator","basic","Inconsistent","No","100"
"41","corridor2.jpg","Wheelbarrow","super","Inconsistent","No","150"
"42","corridor3.jpg","Tape Dispenser","basic","Inconsistent","Yes","50"
"43","corridor4.jpg","Nightstand","basic","Inconsistent","No","100"
"44","corridor5.jpg","Surfboard","super","Inconsistent","No","150"
"45","dining3.jpg","Plate","consistent","Consistent","Yes","100"
"46","dining5.jpg","Ottoman","basic","Inconsistent","Yes","150"
"47","dining6.jpg","Lifeguard Tower","super","Inconsistent","No","50"
"48","dining7.jpg","Spoon","consistent","Consistent","Yes","100"
"49","dining8.jpg","Fork","consistent","Consistent","Yes","50"
"50","elephant.jpg","Napkin","consistent","Consistent","Yes","50"
"51","fan.jpg","Calculator","consistent","Consistent","Yes","150"
"52","farm1.jpg","Hay Bale","consistent","Consistent","Yes","50"
"53","farm2.jpg","Wheelbarrow","consistent","Consistent","Yes","100"
"54","farm3.jpg","Scarecrow","consistent","Consistent","Yes","100"
"55","farm4.jpg","Windmill","basic","Inconsistent","Yes","50"
"56","farm7.jpg","Parking Meter","basic","Inconsistent","Yes","150"
"57","fire_hydrant.jpg","Broom","super","Inconsistent","Yes","50"
"58","flowers.jpg","Fence","super","Inconsistent","No","150"
"59","forest1.jpg","Toadstool Mushroom","consistent","Consistent","No","50"
"60","forest11.jpg","Log Cabin","consistent","Consistent","No","50"
"61","forest14.jpg","Camping Tent","consistent","Consistent","No","50"
"62","forest2.jpg","Bird Nest","consistent","Consistent","No","100"
"63","forest9.jpg","Axe","consistent","Consistent","Yes","100"
"64","fruit_bowl.jpg","Blender","consistent","Consistent","No","100"
"65","glass.jpg","Beach Towel","super","Inconsistent","No","50"
"66","highway10.jpg","Billboard","consistent","Consistent","No","150"
"67","highway12.jpg","Shower Head","super","Inconsistent","Yes","150"
"68","highway6.jpg","Baking Tray","super","Inconsistent","Yes","150"
"69","highway8.jpg","Soap Bar","super","Inconsistent","Yes","150"
"70","highway9.jpg","Road Work Sign","consistent","Consistent","No","100"
"71","kitchen10.jpg","Bench","super","Inconsistent","Yes","100"
"72","kitchen13.jpg","Bird Nest","super","Inconsistent","Yes","50"
"73","kitchen15.jpg","Soccer Ball","super","Inconsistent","No","50"
"74","kitchen16.jpg","Oven Mitts","consistent","Consistent","No","50"
"75","kitchen17.jpg","Baking Tray","consistent","Consistent","Yes","50"
"76","living13.jpg","Hay Bale","super","Inconsistent","Yes","50"
"77","living16.jpg","Telephone Booth","super","Inconsistent","Yes","100"
"78","living17.jpg","Armchair Recliner","consistent","Consistent","No","100"
"79","living6.jpg","Stapler","basic","Inconsistent","Yes","150"
