"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Knife","super","Inconsistent","No","150"
"2","bathroom2.jpg","Projector","basic","Inconsistent","Yes","150"
"3","bathroom3.jpg","Toilet Paper","consistent","Consistent","No","100"
"4","bathroom4.jpg","Razor","consistent","Consistent","No","100"
"5","bathroom6.jpg","Stop Sign","super","Inconsistent","Yes","150"
"6","bathroom7.jpg","Fire Extinguisher","basic","Inconsistent","No","50"
"7","bedroom11.jpg","Stand Mixer","basic","Inconsistent","No","150"
"8","bedroom12.jpg","Dresser","consistent","Consistent","No","150"
"9","bedroom13.jpg","Lawn Mower","super","Inconsistent","Yes","50"
"10","bedroom14.jpg","Comforter Blanket","consistent","Consistent","No","150"
"11","bedroom5.jpg","Alarm Clock","consistent","Consistent","Yes","150"
"12","bell.jpg","Coffee Maker","consistent","Consistent","No","150"
"13","bin.jpg","Rocking Chair","consistent","Consistent","No","50"
"14","blender.jpg","Vacuum Cleaner","basic","Inconsistent","No","150"
"15","brick_apartment.png","Television","super","Inconsistent","No","100"
"16","briefcase.jpg","Printer","consistent","Consistent","No","50"
"17","bust.jpg","TV Remote","consistent","Consistent","No","50"
"18","child_bedroom.png","Speed Limit Sign","super","Inconsistent","No","100"
"19","citycenter10.jpg","TV Remote","super","Inconsistent","No","150"
"20","citycenter11.jpg","Horse Carriage","consistent","Consistent","Yes","100"
"21","citycenter12.jpg","Historic Plaque","consistent","Consistent","No","100"
"22","citycenter2.jpg","Taxi","consistent","Consistent","No","100"
"23","citycenter26.jpg","Picnic Table","basic","Inconsistent","No","100"
"24","class11.jpg","Tractor","super","Inconsistent","Yes","150"
"25","class3.jpg","Notebook","consistent","Consistent","No","50"
"26","class6.jpg","Textbook","consistent","Consistent","Yes","50"
"27","class8.jpg","Pencil Case","consistent","Consistent","Yes","100"
"28","class9.jpg","Pitchfork","super","Inconsistent","No","50"
"29","clock.jpg","Stop Sign","consistent","Consistent","No","150"
"30","coast10.jpg","Fire Hydrant","basic","Inconsistent","No","50"
"31","coast11.jpg","Yield Sign","basic","Inconsistent","No","150"
"32","coast3.jpg","Exit Sign","super","Inconsistent","No","150"
"33","coast7.jpg","Paper Shredder","super","Inconsistent","Yes","100"
"34","coast8.jpg","Buoy","consistent","Consistent","No","50"
"35","conference1.jpg","Briefcase","consistent","Consistent","No","100"
"36","conference3.jpg","Apron","basic","Inconsistent","Yes","50"
"37","conference5.jpg","Laptop","consistent","Consistent","Yes","100"
"38","conference7.jpg","Projector","consistent","Consistent","Yes","150"
"39","conference8.jpg","Projector Screen","consistent","Consistent","No","50"
"40","corridor1.jpg","Drinking Fountain","consistent","Consistent","No","100"
"41","corridor2.jpg","Bathroom Sign","consistent","Consistent","No","150"
"42","corridor3.jpg","Fire Extinguisher","consistent","Consistent","Yes","50"
"43","corridor4.jpg","Exit Sign","consistent","Consistent","No","100"
"44","corridor5.jpg","Fire Alarm","consistent","Consistent","No","150"
"45","dining3.jpg","Utility Pole","super","Inconsistent","No","100"
"46","dining5.jpg","Bowl","consistent","Consistent","Yes","150"
"47","dining6.jpg","Tablecloth","consistent","Consistent","No","50"
"48","dining7.jpg","Alarm Clock","basic","Inconsistent","No","100"
"49","dining8.jpg","Rocking Chair","basic","Inconsistent","No","50"
"50","elephant.jpg","Comforter Blanket","basic","Inconsistent","No","50"
"51","fan.jpg","Picture Frame","basic","Inconsistent","No","150"
"52","farm1.jpg","Pencil Case","super","Inconsistent","No","50"
"53","farm2.jpg","Fire Alarm","super","Inconsistent","No","100"
"54","farm3.jpg","Historic Plaque","basic","Inconsistent","No","100"
"55","farm4.jpg","Feeding Trough","consistent","Consistent","Yes","50"
"56","farm7.jpg","Tractor","consistent","Consistent","Yes","150"
"57","fire_hydrant.jpg","Flag Pole","consistent","Consistent","Yes","50"
"58","flowers.jpg","Picture Frame","consistent","Consistent","No","150"
"59","forest1.jpg","Horse Carriage","basic","Inconsistent","Yes","100"
"60","forest11.jpg","Tablecloth","super","Inconsistent","Yes","100"
"61","forest14.jpg","Vase","super","Inconsistent","Yes","100"
"62","forest2.jpg","Motorcycle","basic","Inconsistent","Yes","150"
"63","forest9.jpg","Laptop","super","Inconsistent","No","100"
"64","fruit_bowl.jpg","Coffee Maker","basic","Inconsistent","Yes","150"
"65","glass.jpg","Toaster","consistent","Consistent","No","50"
"66","highway10.jpg","Printer","super","Inconsistent","Yes","50"
"67","highway12.jpg","Motorcycle","consistent","Consistent","Yes","150"
"68","highway6.jpg","Speed Limit Sign","consistent","Consistent","Yes","150"
"69","highway8.jpg","Yield Sign","consistent","Consistent","Yes","150"
"70","highway9.jpg","Feeding Trough","basic","Inconsistent","Yes","150"
"71","kitchen10.jpg","Rolling Pin","consistent","Consistent","Yes","100"
"72","kitchen13.jpg","Stand Mixer","consistent","Consistent","Yes","50"
"73","kitchen15.jpg","Apron","consistent","Consistent","No","50"
"74","kitchen16.jpg","Dresser","basic","Inconsistent","Yes","100"
"75","kitchen17.jpg","Flag Pole","super","Inconsistent","No","50"
"76","living13.jpg","Vacuum Cleaner","consistent","Consistent","Yes","50"
"77","living16.jpg","Television","consistent","Consistent","Yes","100"
"78","living17.jpg","Briefcase","basic","Inconsistent","Yes","150"
"79","living6.jpg","Vase","consistent","Consistent","Yes","150"
"80","living9.jpg","Bus Stop Shelter","super","Inconsistent","No","50"
"81","MDS201.jpg","Rock","consistent","Consistent","Yes","100"
"82","modern_livingroom.png","Floor Lamp","consistent","Consistent","No","150"
"83","natural_fall.png","Fishing Rod","consistent","Consistent","No","100"
"84","Nature14.jpg","Buoy","basic","Inconsistent","Yes","50"
"85","Nature22.jpg","Floor Lamp","super","Inconsistent","Yes","150"
"86","Nature36.jpg","Toilet Paper","super","Inconsistent","Yes","100"
"87","Nature40.jpg","Kayak","consistent","Consistent","No","150"
"88","Nature47.jpg","Fishing Boat","consistent","Consistent","Yes","50"
"89","office1.jpg","Fishing Boat","super","Inconsistent","Yes","100"
"90","office10.jpg","Bathroom Sign","basic","Inconsistent","No","100"
"91","office4.jpg","Kayak","super","Inconsistent","Yes","100"
"92","office8.jpg","Projector Screen","basic","Inconsistent","No","50"
"93","office9.jpg","Paper Shredder","consistent","Consistent","Yes","150"
"94","opencountry1.jpg","Razor","super","Inconsistent","Yes","50"
"95","opencountry2.jpg","Farmhouse","consistent","Consistent","Yes","50"
"96","opencountry3.jpg","Subway Station Sign","basic","Inconsistent","No","150"
"97","opencountry5.jpg","Pitchfork","consistent","Consistent","Yes","100"
"98","opencountry8.jpg","Radio Tower","consistent","Consistent","No","50"
"99","plant_bathroom.png","Toothpaste","consistent","Consistent","No","100"
"100","play10.jpg","Picnic Table","consistent","Consistent","Yes","100"
"101","play12.jpg","Textbook","super","Inconsistent","Yes","150"
"102","play2.jpg","Fishing Rod","basic","Inconsistent","Yes","50"
"103","play3.jpg","Radio Tower","basic","Inconsistent","Yes","50"
"104","play5.jpg","Birdhouse","basic","Inconsistent","Yes","50"
"105","pond.png","Birdhouse","consistent","Consistent","No","100"
"106","suburb1.jpg","Lawn Mower","consistent","Consistent","Yes","50"
"107","suburb2.jpg","Fire Hydrant","consistent","Consistent","Yes","50"
"108","suburb3.jpg","Farmhouse","basic","Inconsistent","No","150"
"109","suburb4.jpg","Rock","basic","Inconsistent","Yes","100"
"110","suburb6.jpg","Utility Pole","consistent","Consistent","Yes","100"
"111","tan_kitchen.png","Knife","consistent","Consistent","Yes","100"
"112","Urban_Image_08.jpg","Drinking Fountain","super","Inconsistent","Yes","50"
"113","Urban10.jpg","Taxi","basic","Inconsistent","No","100"
"114","Urban14.jpg","Toaster","super","Inconsistent","Yes","50"
"115","urbanstreet1.jpg","Bowl","super","Inconsistent","No","150"
"116","urbanstreet12.jpg","Notebook","super","Inconsistent","Yes","150"
"117","urbanstreet19.jpg","Subway Station Sign","consistent","Consistent","No","150"
"118","urbanstreet28.jpg","Rolling Pin","super","Inconsistent","No","50"
"119","urbanstreet30.jpg","Bus Stop Shelter","consistent","Consistent","Yes","150"
"120","wood_kitchen.png","Toothpaste","basic","Inconsistent","Yes","100"
