"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Fire Extinguisher","super","Inconsistent","Yes","50"
"2","bathroom2.jpg","Textbook","basic","Inconsistent","No","150"
"3","bathroom3.jpg","Toilet Paper","consistent","Consistent","Yes","150"
"4","bathroom4.jpg","Razor","consistent","Consistent","Yes","150"
"5","bathroom6.jpg","Projector","basic","Inconsistent","No","150"
"6","bathroom7.jpg","Fire Alarm","basic","Inconsistent","Yes","100"
"7","bedroom11.jpg","Knife","basic","Inconsistent","Yes","50"
"8","bedroom12.jpg","Dresser","consistent","Consistent","Yes","50"
"9","bedroom13.jpg","Birdhouse","super","Inconsistent","No","50"
"10","bedroom14.jpg","Comforter Blanket","consistent","Consistent","Yes","50"
"11","bedroom5.jpg","Alarm Clock","consistent","Consistent","No","150"
"12","bell.jpg","Coffee Maker","consistent","Consistent","Yes","50"
"13","bin.jpg","Rocking Chair","consistent","Consistent","Yes","100"
"14","blender.jpg","Flag Pole","super","Inconsistent","Yes","50"
"15","brick_apartment.png","Notebook","super","Inconsistent","Yes","150"
"16","briefcase.jpg","Printer","consistent","Consistent","Yes","100"
"17","bust.jpg","TV Remote","consistent","Consistent","Yes","100"
"18","child_bedroom.png","Utility Pole","super","Inconsistent","Yes","150"
"19","citycenter10.jpg","Television","super","Inconsistent","Yes","50"
"20","citycenter11.jpg","Horse Carriage","consistent","Consistent","No","100"
"21","citycenter12.jpg","Historic Plaque","consistent","Consistent","Yes","150"
"22","citycenter2.jpg","Taxi","consistent","Consistent","Yes","150"
"23","citycenter26.jpg","Fire Hydrant","basic","Inconsistent","Yes","150"
"24","class11.jpg","Fishing Rod","super","Inconsistent","No","150"
"25","class3.jpg","Notebook","consistent","Consistent","Yes","100"
"26","class6.jpg","Textbook","consistent","Consistent","No","50"
"27","class8.jpg","Pencil Case","consistent","Consistent","No","100"
"28","class9.jpg","Dresser","basic","Inconsistent","Yes","100"
"29","clock.jpg","Stop Sign","consistent","Consistent","Yes","50"
"30","coast10.jpg","Historic Plaque","basic","Inconsistent","Yes","100"
"31","coast11.jpg","Farmhouse","basic","Inconsistent","Yes","50"
"32","coast3.jpg","Coffee Maker","super","Inconsistent","Yes","50"
"33","coast7.jpg","Tablecloth","super","Inconsistent","No","100"
"34","coast8.jpg","Buoy","consistent","Consistent","Yes","100"
"35","conference1.jpg","Briefcase","consistent","Consistent","Yes","150"
"36","conference3.jpg","Buoy","super","Inconsistent","No","50"
"37","conference5.jpg","Laptop","consistent","Consistent","No","100"
"38","conference7.jpg","Projector","consistent","Consistent","No","150"
"39","conference8.jpg","Projector Screen","consistent","Consistent","Yes","100"
"40","corridor1.jpg","Drinking Fountain","consistent","Consistent","Yes","150"
"41","corridor2.jpg","Bathroom Sign","consistent","Consistent","Yes","50"
"42","corridor3.jpg","Fire Extinguisher","consistent","Consistent","No","50"
"43","corridor4.jpg","Exit Sign","consistent","Consistent","Yes","150"
"44","corridor5.jpg","Fire Alarm","consistent","Consistent","Yes","50"
"45","dining3.jpg","Feeding Trough","super","Inconsistent","Yes","150"
"46","dining5.jpg","Bowl","consistent","Consistent","No","150"
"47","dining6.jpg","Tablecloth","consistent","Consistent","Yes","100"
"48","dining7.jpg","Toilet Paper","basic","Inconsistent","Yes","150"
"49","dining8.jpg","Toaster","basic","Inconsistent","Yes","100"
"50","elephant.jpg","Drinking Fountain","basic","Inconsistent","Yes","100"
"51","fan.jpg","Exit Sign","basic","Inconsistent","Yes","50"
"52","farm1.jpg","Floor Lamp","super","Inconsistent","Yes","100"
"53","farm2.jpg","Stand Mixer","super","Inconsistent","Yes","150"
"54","farm3.jpg","Rock","basic","Inconsistent","Yes","150"
"55","farm4.jpg","Feeding Trough","consistent","Consistent","No","50"
"56","farm7.jpg","Tractor","consistent","Consistent","No","150"
"57","fire_hydrant.jpg","Flag Pole","consistent","Consistent","No","50"
"58","flowers.jpg","Picture Frame","consistent","Consistent","Yes","50"
"59","forest1.jpg","Alarm Clock","super","Inconsistent","No","100"
"60","forest11.jpg","Printer","super","Inconsistent","No","100"
"61","forest14.jpg","Toothpaste","super","Inconsistent","No","100"
"62","forest2.jpg","Motorcycle","basic","Inconsistent","No","150"
"63","forest9.jpg","Bathroom Sign","super","Inconsistent","Yes","150"
"64","fruit_bowl.jpg","Vacuum Cleaner","basic","Inconsistent","No","150"
"65","glass.jpg","Toaster","consistent","Consistent","Yes","100"
"66","highway10.jpg","Rolling Pin","super","Inconsistent","No","50"
"67","highway12.jpg","Motorcycle","consistent","Consistent","No","150"
"68","highway6.jpg","Speed Limit Sign","consistent","Consistent","No","150"
"69","highway8.jpg","Yield Sign","consistent","Consistent","No","150"
"70","highway9.jpg","Taxi","basic","Inconsistent","No","150"
"71","kitchen10.jpg","Rolling Pin","consistent","Consistent","No","100"
"72","kitchen13.jpg","Stand Mixer","consistent","Consistent","No","50"
"73","kitchen15.jpg","Apron","consistent","Consistent","Yes","100"
"74","kitchen16.jpg","Bowl","basic","Inconsistent","No","100"
"75","kitchen17.jpg","Horse Carriage","super","Inconsistent","Yes","100"
"76","living13.jpg","Vacuum Cleaner","consistent","Consistent","No","50"
"77","living16.jpg","Television","consistent","Consistent","No","100"
"78","living17.jpg","Briefcase","basic","Inconsistent","No","150"
"79","living6.jpg","Vase","consistent","Consistent","No","150"
"80","living9.jpg","Picnic Table","super","Inconsistent","Yes","100"
"81","MDS201.jpg","Rock","consistent","Consistent","No","100"
"82","modern_livingroom.png","Floor Lamp","consistent","Consistent","Yes","50"
"83","natural_fall.png","Fishing Rod","consistent","Consistent","Yes","150"
"84","Nature14.jpg","Radio Tower","basic","Inconsistent","No","50"
"85","Nature22.jpg","Pencil Case","super","Inconsistent","No","150"
"86","Nature36.jpg","Bus Stop Shelter","basic","Inconsistent","No","100"
"87","Nature40.jpg","Kayak","consistent","Consistent","Yes","50"
"88","Nature47.jpg","Fishing Boat","consistent","Consistent","No","50"
"89","office1.jpg","Speed Limit Sign","super","Inconsistent","No","100"
"90","office10.jpg","Picture Frame","basic","Inconsistent","Yes","150"
"91","office4.jpg","Laptop","basic","Inconsistent","No","100"
"92","office8.jpg","Stop Sign","super","Inconsistent","Yes","100"
"93","office9.jpg","Paper Shredder","consistent","Consistent","No","150"
"94","opencountry1.jpg","Subway Station Sign","basic","Inconsistent","No","50"
"95","opencountry2.jpg","Farmhouse","consistent","Consistent","No","50"
"96","opencountry3.jpg","Kayak","basic","Inconsistent","Yes","50"
"97","opencountry5.jpg","Pitchfork","consistent","Consistent","No","100"
"98","opencountry8.jpg","Radio Tower","consistent","Consistent","Yes","100"
"99","plant_bathroom.png","Toothpaste","consistent","Consistent","Yes","150"
"100","play10.jpg","Picnic Table","consistent","Consistent","No","100"
"101","play12.jpg","Rocking Chair","super","Inconsistent","No","150"
"102","play2.jpg","Pitchfork","basic","Inconsistent","No","50"
