,SceneImage,Object,consistency_category,Consistent,Inverted,Duration
1,basketball_net.jpg,Windmill,basic,Inconsistent,Yes,100
2,bathroom2.jpg,Shower Head,consistent,Consistent,Yes,50
3,bathroom3.jpg,Toilet Paper,consistent,Consistent,Yes,50
4,bathroom4.jpg,Lawn Mower,super,Inconsistent,Yes,50
5,bathroom6.jpg,Armchair Recliner,basic,Inconsistent,No,50
6,bathroom7.jpg,Soap Bar,consistent,Consistent,No,100
7,bedroom11.jpg,Nightstand,consistent,Consistent,No,50
8,bedroom12.jpg,Fence,super,Inconsistent,Yes,100
9,bedroom13.jpg,Tablecloth,basic,Inconsistent,No,100
10,bedroom14.jpg,Stop Sign,super,Inconsistent,Yes,100
11,bedroom5.jpg,Coffee Maker,basic,Inconsistent,No,50
12,bell.jpg,Coffee Maker,consistent,Consistent,Yes,100
13,bin.jpg,Bathroom Sign,basic,Inconsistent,Yes,150
14,blender.jpg,Toothpaste,basic,Inconsistent,Yes,100
15,brick_apartment.png,Fishing Rod,basic,Inconsistent,Yes,50
16,briefcase.jpg,Crosswalk,super,Inconsistent,Yes,150
17,bust.jpg,TV Remote,consistent,Consistent,Yes,150
18,child_bedroom.png,Blender,basic,Inconsistent,Yes,50
19,citycenter10.jpg,Scarecrow,basic,Inconsistent,Yes,100
20,citycenter11.jpg,Horse Carriage,consistent,Consistent,No,150
21,citycenter12.jpg,Broom,super,Inconsistent,Yes,50
22,citycenter2.jpg,Picture Frame,super,Inconsistent,Yes,50
23,citycenter26.jpg,Sculpture,consistent,Consistent,No,150
24,class11.jpg,Shower Head,basic,Inconsistent,No,50
25,class3.jpg,Motorcycle,super,Inconsistent,Yes,150
26,class6.jpg,Horse Carriage,super,Inconsistent,No,100
27,class8.jpg,Pencil Case,consistent,Consistent,No,150
28,class9.jpg,Fork,basic,Inconsistent,Yes,150
29,clock.jpg,Stop Sign,consistent,Consistent,Yes,100
30,coast10.jpg,Surfboard,consistent,Consistent,No,100
31,coast11.jpg,Lifeguard Tower,consistent,Consistent,No,50
32,coast3.jpg,Soccer Ball,basic,Inconsistent,Yes,100
33,coast7.jpg,Yield Sign,basic,Inconsistent,No,150
34,coast8.jpg,Buoy,consistent,Consistent,Yes,150
35,conference1.jpg,Briefcase,consistent,Consistent,Yes,50
36,conference3.jpg,Oven Mitts,basic,Inconsistent,No,100
37,conference5.jpg,Laptop,consistent,Consistent,No,150
38,conference7.jpg,Projector,consistent,Consistent,No,50
39,conference8.jpg,Swing Set,super,Inconsistent,Yes,150
40,corridor1.jpg,Utility Pole,super,Inconsistent,Yes,50
41,corridor2.jpg,Bathroom Sign,consistent,Consistent,Yes,100
42,corridor3.jpg,Wild Berries,super,Inconsistent,No,100
43,corridor4.jpg,Rock,super,Inconsistent,Yes,50
44,corridor5.jpg,Birdhouse,super,Inconsistent,Yes,100
45,dining3.jpg,Paper Shredder,basic,Inconsistent,Yes,50
46,dining5.jpg,Speed Limit Sign,super,Inconsistent,No,50
47,dining6.jpg,Tablecloth,consistent,Consistent,Yes,150
48,dining7.jpg,Spoon,consistent,Consistent,No,150
49,dining8.jpg,Fork,consistent,Consistent,No,100
50,elephant.jpg,Napkin,consistent,Consistent,No,100
51,fan.jpg,Calculator,consistent,Consistent,No,50
52,farm1.jpg,Road Work Sign,basic,Inconsistent,Yes,150
53,farm2.jpg,Vacuum Cleaner,super,Inconsistent,Yes,50
54,farm3.jpg,Scarecrow,consistent,Consistent,No,150
55,farm4.jpg,Briefcase,super,Inconsistent,No,100
56,farm7.jpg,Apron,super,Inconsistent,No,50
57,fire_hydrant.jpg,Flag Pole,consistent,Consistent,No,100
58,flowers.jpg,Picture Frame,consistent,Consistent,Yes,100
59,forest1.jpg,Toadstool Mushroom,consistent,Consistent,Yes,150
60,forest11.jpg,Mailbox,basic,Inconsistent,No,150
61,forest14.jpg,Sculpture,basic,Inconsistent,No,150
62,forest2.jpg,Bird Nest,consistent,Consistent,Yes,50
63,forest9.jpg,Flag Pole,basic,Inconsistent,Yes,50
64,fruit_bowl.jpg,Blender,consistent,Consistent,Yes,50
65,glass.jpg,Toaster,consistent,Consistent,Yes,150
66,highway10.jpg,TV Remote,super,Inconsistent,No,100
67,highway12.jpg,Motorcycle,consistent,Consistent,No,50
68,highway6.jpg,Speed Limit Sign,consistent,Consistent,No,50
69,highway8.jpg,Yield Sign,consistent,Consistent,No,50
70,highway9.jpg,Road Work Sign,consistent,Consistent,Yes,50
71,kitchen10.jpg,Toadstool Mushroom,super,Inconsistent,No,150
72,kitchen13.jpg,Stand Mixer,consistent,Consistent,No,100
73,kitchen15.jpg,Apron,consistent,Consistent,Yes,150
74,kitchen16.jpg,Oven Mitts,consistent,Consistent,Yes,150
75,kitchen17.jpg,Projector,basic,Inconsistent,Yes,150
76,living13.jpg,Vacuum Cleaner,consistent,Consistent,No,100
77,living16.jpg,Sandbox,super,Inconsistent,No,150
78,living17.jpg,Armchair Recliner,consistent,Consistent,Yes,50
79,living6.jpg,Bicycle,super,Inconsistent,No,50
80,living9.jpg,Toilet Paper,basic,Inconsistent,Yes,150
81,MDS201.jpg,Rock,consistent,Consistent,No,150
82,modern_livingroom.png,Buoy,super,Inconsistent,Yes,100
83,natural_fall.png,Fishing Rod,consistent,Consistent,Yes,50
84,Nature14.jpg,Wild Berries,consistent,Consistent,Yes,100
85,Nature22.jpg,Crosswalk Signal,basic,Inconsistent,No,50
86,Nature36.jpg,Lily Pad,consistent,Consistent,Yes,150
87,Nature40.jpg,Kayak,consistent,Consistent,Yes,100
88,Nature47.jpg,Fishing Boat,consistent,Consistent,No,100
89,office1.jpg,Soap Bar,basic,Inconsistent,No,150
90,office10.jpg,Stapler,consistent,Consistent,No,150
91,office4.jpg,Stand Mixer,basic,Inconsistent,No,150
92,office8.jpg,Toaster,basic,Inconsistent,Yes,150
93,office9.jpg,Paper Shredder,consistent,Consistent,No,50
94,opencountry1.jpg,Fence,consistent,Consistent,Yes,100
95,opencountry2.jpg,Nightstand,super,Inconsistent,No,100
96,opencountry3.jpg,Windmill,consistent,Consistent,No,50
97,opencountry5.jpg,Laptop,super,Inconsistent,No,150
98,opencountry8.jpg,Stapler,super,Inconsistent,Yes,150
99,plant_bathroom.png,Toothpaste,consistent,Consistent,Yes,50
100,play10.jpg,Napkin,super,Inconsistent,No,150
101,play12.jpg,Surfboard,basic,Inconsistent,No,50
102,play2.jpg,Swing Set,consistent,Consistent,Yes,100
103,play3.jpg,Sandbox,consistent,Consistent,Yes,100
104,play5.jpg,Soccer Ball,consistent,Consistent,Yes,100
105,pond.png,Birdhouse,consistent,Consistent,Yes,50
106,suburb1.jpg,Lawn Mower,consistent,Consistent,No,100
107,suburb2.jpg,Calculator,super,Inconsistent,No,100
108,suburb3.jpg,Mailbox,consistent,Consistent,No,50
109,suburb4.jpg,Crosswalk,consistent,Consistent,Yes,150
110,suburb6.jpg,Utility Pole,consistent,Consistent,No,150
111,tan_kitchen.png,Bird Nest,super,Inconsistent,No,150
112,Urban_Image_08.jpg,Kayak,basic,Inconsistent,No,100
113,Urban10.jpg,Bicycle,consistent,Consistent,No,150
114,Urban14.jpg,Lifeguard Tower,basic,Inconsistent,No,100
115,urbanstreet1.jpg,Fishing Boat,basic,Inconsistent,Yes,100
116,urbanstreet12.jpg,Lily Pad,basic,Inconsistent,No,50
