"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Sculpture","basic","Inconsistent","No","100"
"2","bathroom2.jpg","Shower Head","consistent","Consistent","No","150"
"3","bathroom3.jpg","Toilet Paper","consistent","Consistent","Yes","150"
"4","bathroom4.jpg","Razor","consistent","Consistent","Yes","100"
"5","bathroom6.jpg","Building Exit Sign","basic","Inconsistent","Yes","150"
"6","bathroom7.jpg","Soap Bar","consistent","Consistent","No","50"
"7","bedroom11.jpg","Nightstand","consistent","Consistent","Yes","150"
"8","bedroom12.jpg","Armchair Recliner","basic","Inconsistent","Yes","100"
"9","bedroom13.jpg","Vase","basic","Inconsistent","No","100"
"10","bedroom5.jpg","Rocking Chair","basic","Inconsistent","Yes","50"
"11","bedroom9.jpg","Bicycle","super","Inconsistent","No","100"
"12","bell.jpg","Coffee Maker","consistent","Consistent","No","50"
"13","bin.jpg","Rocking Chair","consistent","Consistent","No","150"
"14","blender.jpg","Frying Pan","consistent","Consistent","No","50"
"15","brick_apartment.png","Colander","super","Inconsistent","No","50"
"16","briefcase.jpg","Road Work Sign","super","Inconsistent","Yes","150"
"17","bust.jpg","Sandbox","super","Inconsistent","Yes","50"
"18","child_bedroom.png","Teddy Bear","consistent","Consistent","Yes","150"
"19","citycenter10.jpg","Traffic Light","basic","Inconsistent","Yes","50"
"20","citycenter11.jpg","Bench","consistent","Consistent","Yes","150"
"21","citycenter12.jpg","Historical Plaque","consistent","Consistent","Yes","50"
"22","citycenter2.jpg","Taxi","consistent","Consistent","No","50"
"23","citycenter26.jpg","Sculpture","consistent","Consistent","Yes","100"
"24","class11.jpg","Backpack","consistent","Consistent","Yes","100"
"25","class3.jpg","Notebook","consistent","Consistent","No","100"
"26","class6.jpg","Textbook","consistent","Consistent","No","150"
"27","class8.jpg","Pencil Case","consistent","Consistent","Yes","150"
"28","class9.jpg","Subway Station Sign","super","Inconsistent","Yes","50"
"29","clock.jpg","Parking Meter","basic","Inconsistent","No","150"
"30","coast10.jpg","Surfboard","consistent","Consistent","No","100"
"31","coast11.jpg","Hay Bale","basic","Inconsistent","No","50"
"32","coast3.jpg","Lighthouse","consistent","Consistent","No","150"
