"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Bench","consistent","Consistent","Yes","150"
"2","bathroom2.jpg","Shower Head","consistent","Consistent","No","100"
"3","bathroom3.jpg","Toilet Paper","consistent","Consistent","No","150"
"4","bathroom4.jpg","Lighthouse","super","Inconsistent","Yes","100"
"5","bathroom6.jpg","Fork","basic","Inconsistent","No","50"
"6","bathroom7.jpg","Laundry Hamper","basic","Inconsistent","No","150"
"7","bedroom11.jpg","Nightstand","consistent","Consistent","Yes","100"
"8","bedroom12.jpg","Toilet Paper","basic","Inconsistent","Yes","50"
"9","bedroom13.jpg","Laundry Hamper","consistent","Consistent","Yes","150"
"10","bedroom14.jpg","Comforter Blanket","consistent","Consistent","No","100"
"11","bedroom5.jpg","Alarm Clock","consistent","Consistent","Yes","50"
"12","bell.jpg","Coffee Maker","consistent","Consistent","Yes","150"
"13","bin.jpg","Rocking Chair","consistent","Consistent","No","150"
"14","blender.jpg","Pan","consistent","Consistent","Yes","50"
"15","brick_apartment.png","Axe","basic","Inconsistent","No","150"
"16","briefcase.jpg","Vacuum Cleaner","basic","Inconsistent","No","150"
"17","bust.jpg","Fire Extinguisher","basic","Inconsistent","No","100"
"18","child_bedroom.png","Tape Dispenser","basic","Inconsistent","No","150"
"19","citycenter10.jpg","Souvenir Stand","consistent","Consistent","No","50"
"20","citycenter11.jpg","Horse Carriage","consistent","Consistent","Yes","100"
"21","citycenter12.jpg","Stapler","super","Inconsistent","Yes","100"
"22","citycenter2.jpg","Lily Pad","basic","Inconsistent","Yes","100"
"23","citycenter26.jpg","Baking Tray","super","Inconsistent","Yes","150"
"24","class11.jpg","Backpack","consistent","Consistent","No","150"
"25","class3.jpg","Notebook","consistent","Consistent","Yes","150"
"26","class6.jpg","Billboard","super","Inconsistent","Yes","150"
"27","class8.jpg","Seesaw","super","Inconsistent","No","100"
"28","class9.jpg","Soccer Ball","super","Inconsistent","Yes","150"
"29","clock.jpg","Backpack","super","Inconsistent","Yes","50"
"30","coast10.jpg","Pencil Holder","super","Inconsistent","No","150"
"31","coast11.jpg","Projector Screen","super","Inconsistent","Yes","100"
"32","coast3.jpg","Lighthouse","consistent","Consistent","Yes","100"
"33","coast7.jpg","Beach Towel","consistent","Consistent","Yes","50"
"34","coast8.jpg","Bowl","super","Inconsistent","No","100"
"35","conference1.jpg","Briefcase","consistent","Consistent","No","150"
"36","conference3.jpg","Phone Set","consistent","Consistent","No","100"
"37","conference5.jpg","Laptop","consistent","Consistent","Yes","100"
"38","conference7.jpg","Horse Carriage","super","Inconsistent","No","50"
"39","conference8.jpg","Projector Screen","consistent","Consistent","No","150"
"40","corridor1.jpg","Wild Berries","super","Inconsistent","No","100"
"41","corridor2.jpg","Comforter Blanket","basic","Inconsistent","Yes","50"
"42","corridor3.jpg","Fire Extinguisher","consistent","Consistent","Yes","150"
"43","corridor4.jpg","Motorcycle","super","Inconsistent","Yes","100"
"44","corridor5.jpg","Fire Alarm","consistent","Consistent","Yes","50"
"45","dining3.jpg","Plate","consistent","Consistent","Yes","100"
"46","dining5.jpg","Bowl","consistent","Consistent","No","150"
"47","dining6.jpg","Blender","basic","Inconsistent","No","100"
"48","dining7.jpg","Shower Head","basic","Inconsistent","Yes","150"
"49","dining8.jpg","Fork","consistent","Consistent","No","100"
"50","elephant.jpg","Ottoman","basic","Inconsistent","Yes","100"
"51","fan.jpg","Laptop","basic","Inconsistent","No","150"
"52","farm1.jpg","Souvenir Stand","basic","Inconsistent","Yes","50"
"53","farm2.jpg","Wheelbarrow","consistent","Consistent","No","50"
"54","farm3.jpg","Rocking Chair","super","Inconsistent","No","100"
"55","farm4.jpg","Feeding Trough","consistent","Consistent","No","150"
"56","farm7.jpg","Telephone Booth","basic","Inconsistent","No","50"
"57","fire_hydrant.jpg","Birdhouse","basic","Inconsistent","Yes","100"
"58","flowers.jpg","Picture Frame","consistent","Consistent","No","50"
"59","forest1.jpg","Vase","super","Inconsistent","No","150"
"60","forest11.jpg","Beach Towel","basic","Inconsistent","No","100"
"61","forest14.jpg","Camping Tent","consistent","Consistent","No","150"
"62","forest2.jpg","Bird Nest","consistent","Consistent","Yes","50"
"63","forest9.jpg","Axe","consistent","Consistent","No","100"
"64","fruit_bowl.jpg","Blender","consistent","Consistent","No","150"
"65","glass.jpg","Fire Alarm","basic","Inconsistent","No","100"
"66","highway10.jpg","Billboard","consistent","Consistent","Yes","50"
"67","highway12.jpg","Motorcycle","consistent","Consistent","No","100"
"68","highway6.jpg","Windmill","basic","Inconsistent","Yes","150"
"69","highway8.jpg","Yield Sign","consistent","Consistent","No","150"
"70","highway9.jpg","Camping Tent","basic","Inconsistent","Yes","50"
"71","kitchen10.jpg","Phone Set","basic","Inconsistent","Yes","150"
"72","kitchen13.jpg","Sticky Notes","basic","Inconsistent","Yes","150"
"73","kitchen15.jpg","Bird Nest","super","Inconsistent","Yes","100"
"74","kitchen16.jpg","Alarm Clock","basic","Inconsistent","No","100"
"75","kitchen17.jpg","Baking Tray","consistent","Consistent","No","50"
"76","living13.jpg","Vacuum Cleaner","consistent","Consistent","Yes","100"
"77","living16.jpg","Television","consistent","Consistent","Yes","50"
"78","living17.jpg","Armchair Recliner","consistent","Consistent","No","50"
