"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Bench","consistent","Consistent","Yes","150"
"2","bathroom2.jpg","Plate","basic","Inconsistent","Yes","150"
"3","bathroom3.jpg","Bench","super","Inconsistent","Yes","50"
"4","bathroom4.jpg","Razor","consistent","Consistent","Yes","100"
"5","bathroom6.jpg","Bicycle","super","Inconsistent","No","50"
"6","bathroom7.jpg","Soap Bar","consistent","Consistent","No","150"
"7","bedroom11.jpg","Nightstand","consistent","Consistent","Yes","100"
"8","bedroom12.jpg","Birdhouse","super","Inconsistent","Yes","50"
"9","bedroom13.jpg","Exit Sign","basic","Inconsistent","No","150"
"10","bedroom14.jpg","Comforter Blanket","consistent","Consistent","No","100"
"11","bedroom5.jpg","Alarm Clock","consistent","Consistent","Yes","50"
"12","bell.jpg","Coffee Maker","consistent","Consistent","Yes","150"
"13","bin.jpg","Rocking Chair","consistent","Consistent","No","150"
"14","blender.jpg","Floor Lamp","basic","Inconsistent","No","50"
"15","brick_apartment.png","Fire Extinguisher","super","Inconsistent","No","150"
"16","briefcase.jpg","Axe","super","Inconsistent","No","150"
"17","bust.jpg","Crosswalk Signal","super","Inconsistent","No","100"
"18","child_bedroom.png","Utility Pole","super","Inconsistent","No","150"
"19","citycenter10.jpg","Rock","basic","Inconsistent","Yes","100"
"20","citycenter11.jpg","Parking Meter","basic","Inconsistent","No","100"
"21","citycenter12.jpg","Pencil Holder","super","Inconsistent","Yes","100"
"22","citycenter2.jpg","Blender","super","Inconsistent","Yes","100"
"23","citycenter26.jpg","Sculpture","consistent","Consistent","Yes","150"
"24","class11.jpg","Backpack","consistent","Consistent","No","150"
"25","class3.jpg","Laptop","basic","Inconsistent","No","150"
"26","class6.jpg","Textbook","consistent","Consistent","Yes","150"
"27","class8.jpg","Pencil Case","consistent","Consistent","No","100"
"28","class9.jpg","Crayons","consistent","Consistent","Yes","150"
"29","clock.jpg","Stop Sign","consistent","Consistent","Yes","50"
"30","coast10.jpg","Surfboard","consistent","Consistent","No","150"
"31","coast11.jpg","Yield Sign","basic","Inconsistent","Yes","100"
"32","coast3.jpg","Radio Tower","basic","Inconsistent","No","100"
"33","coast7.jpg","Soccer Ball","basic","Inconsistent","No","50"
"34","coast8.jpg","Buoy","consistent","Consistent","No","100"
"35","conference1.jpg","Drinking Fountain","basic","Inconsistent","Yes","50"
"36","conference3.jpg","Phone Set","consistent","Consistent","No","100"
"37","conference5.jpg","Laptop","consistent","Consistent","Yes","100"
"38","conference7.jpg","Projector","consistent","Consistent","No","50"
"39","conference8.jpg","Soap Bar","basic","Inconsistent","Yes","50"
"40","corridor1.jpg","Drinking Fountain","consistent","Consistent","No","100"
"41","corridor2.jpg","Bathroom Sign","consistent","Consistent","Yes","50"
"42","corridor3.jpg","Fire Extinguisher","consistent","Consistent","Yes","150"
"43","corridor4.jpg","Exit Sign","consistent","Consistent","Yes","100"
"44","corridor5.jpg","Fire Alarm","consistent","Consistent","Yes","50"
"45","dining3.jpg","Plate","consistent","Consistent","Yes","100"
"46","dining5.jpg","Fire Alarm","basic","Inconsistent","Yes","50"
"47","dining6.jpg","Camping Tent","super","Inconsistent","No","100"
"48","dining7.jpg","Bird Nest","super","Inconsistent","Yes","150"
"49","dining8.jpg","Phone Set","basic","Inconsistent","Yes","150"
"50","elephant.jpg","Sculpture","super","Inconsistent","Yes","100"
"51","fan.jpg","Calculator","consistent","Consistent","No","150"
"52","farm1.jpg","Razor","super","Inconsistent","Yes","50"
"53","farm2.jpg","Wheelbarrow","consistent","Consistent","No","50"
"54","farm3.jpg","Armchair Recliner","super","Inconsistent","No","100"
"55","farm4.jpg","Fishing Rod","basic","Inconsistent","Yes","50"
"56","farm7.jpg","Coffee Maker","super","Inconsistent","No","50"
"57","fire_hydrant.jpg","Vacuum Cleaner","super","Inconsistent","Yes","100"
"58","flowers.jpg","Projector","basic","Inconsistent","Yes","100"
"59","forest1.jpg","Toadstool Mushroom","consistent","Consistent","No","150"
"60","forest11.jpg","Fire Hydrant","basic","Inconsistent","No","100"
"61","forest14.jpg","Camping Tent","consistent","Consistent","No","150"
"62","forest2.jpg","Bird Nest","consistent","Consistent","Yes","50"
"63","forest9.jpg","Axe","consistent","Consistent","No","100"
"64","fruit_bowl.jpg","Blender","consistent","Consistent","No","150"
"65","glass.jpg","Toaster","consistent","Consistent","No","100"
"66","highway10.jpg","Billboard","consistent","Consistent","Yes","50"
"67","highway12.jpg","Motorcycle","consistent","Consistent","No","100"
"68","highway6.jpg","Nightstand","super","Inconsistent","Yes","150"
"69","highway8.jpg","Yield Sign","consistent","Consistent","No","150"
"70","highway9.jpg","Comforter Blanket","super","Inconsistent","Yes","50"
"71","kitchen10.jpg","Buoy","super","Inconsistent","Yes","150"
"72","kitchen13.jpg","Stop Sign","super","Inconsistent","Yes","150"
"73","kitchen15.jpg","Apron","consistent","Consistent","Yes","100"
"74","kitchen16.jpg","Seesaw","super","Inconsistent","No","100"
"75","kitchen17.jpg","Calculator","basic","Inconsistent","Yes","100"
"76","living13.jpg","Vacuum Cleaner","consistent","Consistent","Yes","100"
"77","living16.jpg","Knife","basic","Inconsistent","No","50"
"78","living17.jpg","Armchair Recliner","consistent","Consistent","No","50"
"79","living6.jpg","Surfboard","super","Inconsistent","No","150"
"80","living9.jpg","Bathroom Sign","basic","Inconsistent","Yes","150"
"81","MDS201.jpg","Rock","consistent","Consistent","No","50"
"82","modern_livingroom.png","Floor Lamp","consistent","Consistent","No","50"
"83","natural_fall.png","Fishing Rod","consistent","Consistent","Yes","150"
"84","Nature14.jpg","Farmhouse","basic","Inconsistent","Yes","150"
"85","Nature22.jpg","Wildflower","consistent","Consistent","No","50"
"86","Nature36.jpg","Fishing Boat","basic","Inconsistent","No","100"
"87","Nature40.jpg","Swing Set","basic","Inconsistent","No","50"
"88","Nature47.jpg","Fishing Boat","consistent","Consistent","No","150"
"89","office1.jpg","Pencil Holder","consistent","Consistent","Yes","150"
"90","office10.jpg","Billboard","super","Inconsistent","No","150"
"91","office4.jpg","Pencil Case","basic","Inconsistent","Yes","100"
