"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Bicycle","basic","Inconsistent","No","150"
"2","bathroom2.jpg","Scarecrow","super","Inconsistent","Yes","150"
"3","bathroom3.jpg","Subway Station Sign","super","Inconsistent","Yes","50"
"4","bathroom4.jpg","Razor","consistent","Consistent","Yes","100"
"5","bathroom6.jpg","Plunger","consistent","Consistent","No","50"
"6","bathroom7.jpg","Soap Bar","consistent","Consistent","No","150"
"7","bedroom11.jpg","Napkin","basic","Inconsistent","No","100"
"8","bedroom12.jpg","Dresser","consistent","Consistent","Yes","50"
"9","bedroom13.jpg","Fishing Boat","super","Inconsistent","No","150"
"10","bedroom14.jpg","Projector","basic","Inconsistent","Yes","150"
"11","bedroom5.jpg","Exit Sign","basic","Inconsistent","No","50"
"12","bell.jpg","Crayons","basic","Inconsistent","No","150"
"13","bin.jpg","Plunger","basic","Inconsistent","Yes","50"
"14","blender.jpg","Sculpture","super","Inconsistent","No","50"
"15","brick_apartment.png","Bird Bath","consistent","Consistent","No","150"
"16","briefcase.jpg","Printer","consistent","Consistent","No","150"
"17","bust.jpg","TV Remote","consistent","Consistent","No","100"
"18","child_bedroom.png","Teddy Bear","consistent","Consistent","No","150"
"19","citycenter10.jpg","Utility Pole","basic","Inconsistent","Yes","100"
"20","citycenter11.jpg","Printer","super","Inconsistent","No","100"
"21","citycenter12.jpg","Historic Plaque","consistent","Consistent","Yes","100"
"22","citycenter2.jpg","Taxi","consistent","Consistent","Yes","100"
"23","citycenter26.jpg","Sculpture","consistent","Consistent","Yes","150"
"24","class11.jpg","Spoon","basic","Inconsistent","Yes","50"
"25","class3.jpg","Swing Set","super","Inconsistent","No","150"
"26","class6.jpg","Textbook","consistent","Consistent","Yes","150"
"27","class8.jpg","Pencil Case","consistent","Consistent","No","100"
"28","class9.jpg","Crayons","consistent","Consistent","Yes","150"
"29","clock.jpg","Stop Sign","consistent","Consistent","Yes","50"
"30","coast10.jpg","Surfboard","consistent","Consistent","No","150"
"31","coast11.jpg","Lifeguard Tower","consistent","Consistent","Yes","100"
"32","coast3.jpg","Soap Bar","super","Inconsistent","No","100"
"33","coast7.jpg","Paper Shredder","super","Inconsistent","No","50"
"34","coast8.jpg","Buoy","consistent","Consistent","No","100"
"35","conference1.jpg","Historic Plaque","super","Inconsistent","Yes","50"
"36","conference3.jpg","Candle","basic","Inconsistent","Yes","150"
"37","conference5.jpg","Bathroom Sign","basic","Inconsistent","No","100"
"38","conference7.jpg","Projector","consistent","Consistent","No","50"
"39","conference8.jpg","Log Cabin","super","Inconsistent","Yes","50"
"40","corridor1.jpg","Drinking Fountain","consistent","Consistent","No","100"
"41","corridor2.jpg","Bathroom Sign","consistent","Consistent","Yes","50"
"42","corridor3.jpg","Calculator","basic","Inconsistent","No","150"
"43","corridor4.jpg","Exit Sign","consistent","Consistent","Yes","100"
"44","corridor5.jpg","Broom","basic","Inconsistent","No","50"
"45","dining3.jpg","Pencil Case","basic","Inconsistent","No","100"
"46","dining5.jpg","Tractor","super","Inconsistent","Yes","50"
