"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Bus","basic","Inconsistent","Yes","150"
"2","bathroom2.jpg","Shower Head","consistent","Consistent","Yes","50"
"3","bathroom3.jpg","Toilet Paper","consistent","Consistent","No","150"
"4","bathroom4.jpg","Razor","consistent","Consistent","No","100"
"5","bathroom6.jpg","Baking Tray","basic","Inconsistent","No","150"
"6","bathroom7.jpg","Soap Bar","consistent","Consistent","Yes","100"
"7","bedroom11.jpg","Nightstand","consistent","Consistent","No","150"
"8","bedroom12.jpg","Vacuum Cleaner","basic","Inconsistent","No","100"
"9","bedroom13.jpg","Fire Alarm","basic","Inconsistent","Yes","150"
"10","bedroom5.jpg","Picture Frame","basic","Inconsistent","No","50"
"11","bedroom9.jpg","Highway Exit Sign","super","Inconsistent","Yes","150"
"12","bell.jpg","Coffee Maker","consistent","Consistent","Yes","100"
"13","bin.jpg","Rocking Chair","consistent","Consistent","Yes","50"
"14","blender.jpg","Frying Pan","consistent","Consistent","Yes","100"
"15","brick_apartment.png","Vase","super","Inconsistent","Yes","100"
"16","briefcase.jpg","Beach Towel","super","Inconsistent","No","150"
"17","bust.jpg","Sandbox","super","Inconsistent","No","50"
"18","child_bedroom.png","Teddy Bear","consistent","Consistent","No","150"
"19","citycenter10.jpg","Billboard","basic","Inconsistent","No","50"
"20","citycenter11.jpg","Bench","consistent","Consistent","No","150"
"21","citycenter12.jpg","Historical Plaque","consistent","Consistent","No","50"
"22","citycenter2.jpg","Taxi","consistent","Consistent","Yes","100"
"23","citycenter26.jpg","Sculpture","consistent","Consistent","No","100"
"24","class11.jpg","Backpack","consistent","Consistent","No","100"
"25","class3.jpg","Notebook","consistent","Consistent","Yes","150"
"26","class6.jpg","Textbook","consistent","Consistent","Yes","50"
"27","class8.jpg","Pencil Case","consistent","Consistent","No","150"
"28","class9.jpg","Hay Bale","super","Inconsistent","No","50"
"29","clock.jpg","Historical Plaque","basic","Inconsistent","Yes","50"
"30","coast10.jpg","Surfboard","consistent","Consistent","Yes","150"
"31","coast11.jpg","Lawn Mower","basic","Inconsistent","Yes","100"
"32","coast3.jpg","Lighthouse","consistent","Consistent","Yes","50"
"33","coast7.jpg","Beach Towel","consistent","Consistent","No","50"
"34","coast8.jpg","Textbook","super","Inconsistent","Yes","100"
"35","conference1.jpg","Notebook","basic","Inconsistent","No","100"
"36","conference3.jpg","Taxi","super","Inconsistent","Yes","50"
"37","conference4.jpg","Projector Screen","consistent","Consistent","No","150"
"38","conference5.jpg","Wood-Splitting Axe","super","Inconsistent","No","100"
"39","conference7.jpg","Projector","consistent","Consistent","Yes","150"
"40","corridor1.jpg","Drinking Fountain","consistent","Consistent","Yes","100"
"41","corridor2.jpg","Sculpture","super","Inconsistent","Yes","150"
"42","corridor3.jpg","Bicycle","super","Inconsistent","Yes","150"
"43","corridor4.jpg","Building Exit Sign","consistent","Consistent","No","50"
"44","corridor5.jpg","Fire Alarm","consistent","Consistent","Yes","150"
"45","dining3.jpg","Frying Pan","basic","Inconsistent","No","150"
"46","dining5.jpg","Soap Bar","basic","Inconsistent","Yes","100"
"47","dining6.jpg","Candle","consistent","Consistent","Yes","50"
"48","dining7.jpg","Trash Bags","super","Inconsistent","No","150"
"49","dining8.jpg","Surfboard","super","Inconsistent","Yes","150"
"50","elephant.jpg","Napkin","consistent","Consistent","Yes","50"
"51","fan.jpg","Pitchfork","super","Inconsistent","Yes","150"
"52","farm1.jpg","Hay Bale","consistent","Consistent","No","50"
"53","farm2.jpg","Wheelbarrow","consistent","Consistent","No","100"
"54","farm3.jpg","Fishing Boat","basic","Inconsistent","Yes","100"
"55","farm4.jpg","Seesaw","basic","Inconsistent","Yes","150"
"56","farm7.jpg","Soccer Ball","basic","Inconsistent","Yes","100"
"57","fire_hydrant.jpg","Ladle","super","Inconsistent","Yes","50"
"58","flowers.jpg","Picture Frame","consistent","Consistent","No","100"
"59","forest1.jpg","Lighthouse","basic","Inconsistent","No","50"
"60","forest11.jpg","Coffee Maker","super","Inconsistent","No","150"
"61","forest14.jpg","Camping Tent","consistent","Consistent","Yes","50"
