"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Public Trash Can","consistent","Consistent","Yes","150"
"2","bathroom2.jpg","Spatula","basic","Inconsistent","No","50"
"3","bathroom3.jpg","Toadstool Mushroom","super","Inconsistent","Yes","50"
"4","bathroom4.jpg","Tape Dispenser","basic","Inconsistent","Yes","150"
"5","bathroom6.jpg","Plunger","consistent","Consistent","No","150"
"6","bathroom7.jpg","Plate","basic","Inconsistent","No","100"
"7","bedroom11.jpg","Fork","basic","Inconsistent","Yes","50"
"8","bedroom12.jpg","Drawer","consistent","Consistent","No","100"
"9","bedroom13.jpg","Bedside Table Lamp","consistent","Consistent","Yes","150"
"10","bedroom5.jpg","Alarm Clock","consistent","Consistent","No","50"
"11","bedroom9.jpg","Laundry Hamper","consistent","Consistent","Yes","150"
"12","bell.jpg","Farmhouse","super","Inconsistent","No","100"
"13","bin.jpg","Pedestrian Crosswalk Signal","super","Inconsistent","No","50"
"14","blender.jpg","Birdhouse","super","Inconsistent","No","100"
"15","brick_apartment.png","Bird Bath","consistent","Consistent","Yes","100"
"16","briefcase.jpg","Printer","consistent","Consistent","No","150"
"17","bust.jpg","TV Remote","consistent","Consistent","No","50"
"18","child_bedroom.png","Tractor","super","Inconsistent","Yes","50"
"19","citycenter10.jpg","City Fountain","consistent","Consistent","No","50"
"20","citycenter11.jpg","Wild Berries","basic","Inconsistent","Yes","50"
"21","citycenter12.jpg","Paper Shredder","super","Inconsistent","Yes","100"
"22","citycenter2.jpg","Ottoman","super","Inconsistent","No","100"
"23","citycenter26.jpg","Drawer","super","Inconsistent","Yes","150"
"24","class11.jpg","Scarecrow","super","Inconsistent","Yes","150"
"25","class3.jpg","Printer","basic","Inconsistent","No","150"
"26","class6.jpg","Spoon","basic","Inconsistent","No","50"
"27","class8.jpg","Crosswalk","super","Inconsistent","Yes","50"
"28","class9.jpg","Crayons","consistent","Consistent","No","50"
"29","clock.jpg","Stop Sign","consistent","Consistent","Yes","50"
"30","coast10.jpg","Stapler","super","Inconsistent","No","150"
"31","coast11.jpg","Lifeguard Tower","consistent","Consistent","Yes","100"
