"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Surfboard","basic","Inconsistent","Yes","50"
"2","bathroom2.jpg","Flag Pole","super","Inconsistent","No","150"
"3","bathroom3.jpg","Fishing Boat","super","Inconsistent","No","50"
"4","bathroom4.jpg","Razor","consistent","Consistent","No","100"
"5","bathroom6.jpg","Plunger","consistent","Consistent","Yes","100"
"6","bathroom7.jpg","Soap Bar","consistent","Consistent","Yes","50"
"7","bedroom11.jpg","Spoon","basic","Inconsistent","Yes","150"
"8","bedroom12.jpg","Dresser","consistent","Consistent","No","50"
"9","bedroom13.jpg","Rock","super","Inconsistent","Yes","50"
"10","bedroom14.jpg","Paper Shredder","basic","Inconsistent","No","150"
"11","bedroom5.jpg","Crayons","basic","Inconsistent","Yes","100"
"12","bell.jpg","Razor","basic","Inconsistent","Yes","50"
"13","bin.jpg","Exit Sign","basic","Inconsistent","No","50"
"14","blender.jpg","Log Cabin","super","Inconsistent","Yes","100"
"15","brick_apartment.png","Bird Bath","consistent","Consistent","Yes","50"
"16","briefcase.jpg","Printer","consistent","Consistent","Yes","50"
"17","bust.jpg","TV Remote","consistent","Consistent","Yes","150"
"18","child_bedroom.png","Teddy Bear","consistent","Consistent","Yes","50"
"19","citycenter10.jpg","Candle","super","Inconsistent","No","100"
"20","citycenter11.jpg","TV Remote","super","Inconsistent","Yes","150"
"21","citycenter12.jpg","Historic Plaque","consistent","Consistent","No","100"
"22","citycenter2.jpg","Taxi","consistent","Consistent","No","100"
"23","citycenter26.jpg","Sculpture","consistent","Consistent","No","150"
"24","class11.jpg","Floor Lamp","basic","Inconsistent","No","50"
"25","class3.jpg","Picnic Table","super","Inconsistent","Yes","50"
"26","class6.jpg","Textbook","consistent","Consistent","No","150"
"27","class8.jpg","Pencil Case","consistent","Consistent","Yes","150"
"28","class9.jpg","Crayons","consistent","Consistent","No","150"
"29","clock.jpg","Stop Sign","consistent","Consistent","No","50"
