"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Textbook","super","Inconsistent","Yes","150"
"2","bathroom2.jpg","Pencil Case","basic","Inconsistent","No","100"
"3","bathroom3.jpg","Toilet Paper","consistent","Consistent","Yes","100"
"4","bathroom4.jpg","Razor","consistent","Consistent","Yes","100"
"5","bathroom6.jpg","Projector","basic","Inconsistent","No","100"
"6","bathroom7.jpg","Apron","basic","Inconsistent","Yes","50"
"7","bedroom11.jpg","Briefcase","basic","Inconsistent","Yes","150"
"8","bedroom12.jpg","Dresser","consistent","Consistent","Yes","150"
"9","bedroom13.jpg","Picnic Table","super","Inconsistent","No","150"
"10","bedroom14.jpg","Comforter Blanket","consistent","Consistent","Yes","150"
"11","bedroom5.jpg","Alarm Clock","consistent","Consistent","No","100"
"12","bell.jpg","Coffee Maker","consistent","Consistent","Yes","150"
"13","bin.jpg","Rocking Chair","consistent","Consistent","Yes","50"
"14","blender.jpg","Television","basic","Inconsistent","Yes","150"
"15","brick_apartment.png","TV Remote","super","Inconsistent","Yes","100"
"16","briefcase.jpg","Printer","consistent","Consistent","Yes","50"
"17","bust.jpg","TV Remote","consistent","Consistent","Yes","50"
"18","child_bedroom.png","Stop Sign","super","Inconsistent","Yes","100"
"19","citycenter10.jpg","Notebook","super","Inconsistent","Yes","150"
"20","citycenter11.jpg","Horse Carriage","consistent","Consistent","No","50"
"21","citycenter12.jpg","Historic Plaque","consistent","Consistent","Yes","100"
"22","citycenter2.jpg","Taxi","consistent","Consistent","Yes","100"
"23","citycenter26.jpg","Utility Pole","basic","Inconsistent","Yes","100"
"24","class11.jpg","Taxi","super","Inconsistent","No","100"
"25","class3.jpg","Notebook","consistent","Consistent","Yes","50"
"26","class6.jpg","Textbook","consistent","Consistent","No","150"
"27","class8.jpg","Pencil Case","consistent","Consistent","No","50"
"28","class9.jpg","Farmhouse","super","Inconsistent","Yes","50"
"29","clock.jpg","Stop Sign","consistent","Consistent","Yes","150"
"30","coast10.jpg","Bus Stop Shelter","basic","Inconsistent","Yes","50"
"31","coast11.jpg","Speed Limit Sign","basic","Inconsistent","Yes","150"
"32","coast3.jpg","Fire Extinguisher","super","Inconsistent","Yes","150"
"33","coast7.jpg","Vase","super","Inconsistent","No","50"
"34","coast8.jpg","Buoy","consistent","Consistent","Yes","50"
"35","conference1.jpg","Briefcase","consistent","Consistent","Yes","100"
"36","conference3.jpg","Motorcycle","super","Inconsistent","No","150"
"37","conference5.jpg","Laptop","consistent","Consistent","No","50"
"38","conference7.jpg","Projector","consistent","Consistent","No","100"
"39","conference8.jpg","Projector Screen","consistent","Consistent","Yes","50"
"40","corridor1.jpg","Drinking Fountain","consistent","Consistent","Yes","100"
"41","corridor2.jpg","Bathroom Sign","consistent","Consistent","Yes","150"
"42","corridor3.jpg","Fire Extinguisher","consistent","Consistent","No","150"
"43","corridor4.jpg","Exit Sign","consistent","Consistent","Yes","100"
"44","corridor5.jpg","Fire Alarm","consistent","Consistent","Yes","150"
"45","dining3.jpg","Buoy","super","Inconsistent","Yes","100"
"46","dining5.jpg","Bowl","consistent","Consistent","No","100"
"47","dining6.jpg","Tablecloth","consistent","Consistent","Yes","50"
"48","dining7.jpg","Coffee Maker","basic","Inconsistent","Yes","100"
"49","dining8.jpg","Vacuum Cleaner","basic","Inconsistent","Yes","50"
"50","elephant.jpg","Rolling Pin","basic","Inconsistent","Yes","50"
"51","fan.jpg","Toilet Paper","basic","Inconsistent","Yes","150"
"52","farm1.jpg","Razor","super","Inconsistent","Yes","50"
"53","farm2.jpg","Fire Alarm","super","Inconsistent","Yes","100"
"54","farm3.jpg","Fishing Rod","basic","Inconsistent","Yes","100"
"55","farm4.jpg","Feeding Trough","consistent","Consistent","No","150"
"56","farm7.jpg","Tractor","consistent","Consistent","No","100"
"57","fire_hydrant.jpg","Flag Pole","consistent","Consistent","No","150"
"58","flowers.jpg","Picture Frame","consistent","Consistent","Yes","150"
"59","forest1.jpg","Printer","super","Inconsistent","No","50"
"60","forest11.jpg","Stand Mixer","super","Inconsistent","No","50"
"61","forest14.jpg","Alarm Clock","super","Inconsistent","No","50"
"62","forest2.jpg","Birdhouse","basic","Inconsistent","No","100"
"63","forest9.jpg","Bowl","super","Inconsistent","Yes","100"
"64","fruit_bowl.jpg","Bathroom Sign","basic","Inconsistent","No","100"
"65","glass.jpg","Toaster","consistent","Consistent","Yes","50"
"66","highway10.jpg","Projector Screen","super","Inconsistent","No","150"
"67","highway12.jpg","Motorcycle","consistent","Consistent","No","100"
"68","highway6.jpg","Speed Limit Sign","consistent","Consistent","No","100"
"69","highway8.jpg","Yield Sign","consistent","Consistent","No","100"
"70","highway9.jpg","Lawn Mower","basic","Inconsistent","No","100"
"71","kitchen10.jpg","Rolling Pin","consistent","Consistent","No","50"
"72","kitchen13.jpg","Stand Mixer","consistent","Consistent","No","150"
"73","kitchen15.jpg","Apron","consistent","Consistent","Yes","50"
"74","kitchen16.jpg","Dresser","basic","Inconsistent","No","50"
"75","kitchen17.jpg","Fishing Boat","super","Inconsistent","Yes","50"
"76","living13.jpg","Vacuum Cleaner","consistent","Consistent","No","150"
"77","living16.jpg","Television","consistent","Consistent","No","50"
"78","living17.jpg","Laptop","basic","Inconsistent","No","100"
"79","living6.jpg","Vase","consistent","Consistent","No","100"
"80","living9.jpg","Pitchfork","super","Inconsistent","Yes","50"
"81","MDS201.jpg","Rock","consistent","Consistent","No","50"
"82","modern_livingroom.png","Floor Lamp","consistent","Consistent","Yes","150"
"83","natural_fall.png","Fishing Rod","consistent","Consistent","Yes","100"
"84","Nature14.jpg","Toothpaste","super","Inconsistent","No","150"
"85","Nature22.jpg","Floor Lamp","super","Inconsistent","No","100"
"86","Nature36.jpg","Subway Station Sign","basic","Inconsistent","No","50"
"87","Nature40.jpg","Kayak","consistent","Consistent","Yes","150"
"88","Nature47.jpg","Fishing Boat","consistent","Consistent","No","150"
"89","office1.jpg","Flag Pole","super","Inconsistent","No","50"
