"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Stand Mixer","super","Inconsistent","No","150"
"2","bathroom2.jpg","Fire Alarm","basic","Inconsistent","Yes","100"
"3","bathroom3.jpg","Laundry Hamper","basic","Inconsistent","No","50"
"4","bathroom4.jpg","Calculator","basic","Inconsistent","No","150"
"5","bathroom6.jpg","Road Work Sign","super","Inconsistent","Yes","50"
"6","bathroom7.jpg","Soap Bar","consistent","Consistent","No","100"
"7","bedroom11.jpg","Nightstand","consistent","Consistent","Yes","50"
"8","bedroom12.jpg","Trash Bags","super","Inconsistent","Yes","150"
"9","bedroom13.jpg","Historical Plaque","super","Inconsistent","No","150"
"10","bedroom5.jpg","Wildflower","super","Inconsistent","Yes","100"
"11","bedroom9.jpg","Laundry Hamper","consistent","Consistent","No","150"
"12","bell.jpg","Crayons","basic","Inconsistent","Yes","150"
"13","bin.jpg","Bathroom Sign","basic","Inconsistent","Yes","100"
"14","blender.jpg","Floor Lamp","basic","Inconsistent","Yes","150"
"15","brick_apartment.png","Bird Bath","consistent","Consistent","No","100"
"16","briefcase.jpg","Printer","consistent","Consistent","Yes","50"
"17","bust.jpg","TV Remote","consistent","Consistent","Yes","100"
"18","child_bedroom.png","Speed Limit Sign","super","Inconsistent","No","50"
"19","citycenter10.jpg","Traffic Light","basic","Inconsistent","Yes","100"
"20","citycenter11.jpg","Bench","consistent","Consistent","Yes","50"
"21","citycenter12.jpg","Historical Plaque","consistent","Consistent","Yes","100"
"22","citycenter2.jpg","Taxi","consistent","Consistent","No","100"
"23","citycenter26.jpg","Wild Berries","basic","Inconsistent","No","150"
"24","class11.jpg","Birdhouse","super","Inconsistent","No","150"
"25","class3.jpg","Rock","super","Inconsistent","Yes","50"
"26","class6.jpg","Textbook","consistent","Consistent","No","50"
"27","class8.jpg","Knife","basic","Inconsistent","No","50"
"28","class9.jpg","Crayons","consistent","Consistent","Yes","100"
"29","clock.jpg","Ladle","super","Inconsistent","No","50"
"30","coast10.jpg","Bench","basic","Inconsistent","Yes","50"
"31","coast11.jpg","Wheelbarrow","basic","Inconsistent","No","100"
"32","coast3.jpg","Pedestrian Crosswalk Signal","basic","Inconsistent","Yes","100"
"33","coast7.jpg","Beach Towel","consistent","Consistent","Yes","100"
"34","coast8.jpg","Buoy","consistent","Consistent","No","100"
"35","conference1.jpg","Bus Stop Shelter","super","Inconsistent","Yes","150"
"36","conference3.jpg","Phone Set","consistent","Consistent","No","50"
"37","conference4.jpg","Projector Screen","consistent","Consistent","Yes","50"
"38","conference5.jpg","Laptop","consistent","Consistent","Yes","150"
"39","conference7.jpg","Bird Bath","super","Inconsistent","Yes","50"
"40","corridor1.jpg","Highway Exit Sign","super","Inconsistent","Yes","150"
"41","corridor2.jpg","Bathroom Sign","consistent","Consistent","No","150"
"42","corridor3.jpg","Parking Meter","super","Inconsistent","No","150"
"43","corridor4.jpg","Soap Bar","basic","Inconsistent","No","100"
"44","corridor5.jpg","Fire Alarm","consistent","Consistent","No","150"
"45","dining3.jpg","Swing Set","super","Inconsistent","Yes","50"
"46","dining5.jpg","Farmhouse","super","Inconsistent","No","100"
"47","dining6.jpg","Candle","consistent","Consistent","No","50"
"48","dining7.jpg","Spoon","consistent","Consistent","Yes","50"
"49","dining8.jpg","Fork","consistent","Consistent","No","150"
"50","elephant.jpg","Napkin","consistent","Consistent","No","50"
"51","fan.jpg","Calculator","consistent","Consistent","No","150"
"52","farm1.jpg","Soccer Ball","basic","Inconsistent","No","100"
"53","farm2.jpg","Wheelbarrow","consistent","Consistent","Yes","150"
"54","farm3.jpg","Spoon","super","Inconsistent","No","100"
"55","farm4.jpg","Bird Nest","basic","Inconsistent","No","150"
"56","farm7.jpg","Napkin","super","Inconsistent","No","100"
"57","fire_hydrant.jpg","Flag Pole","consistent","Consistent","No","50"
"58","flowers.jpg","Subway Station Sign","super","Inconsistent","No","150"
"59","forest1.jpg","Radio Tower","basic","Inconsistent","Yes","100"
"60","forest11.jpg","Log Cabin","consistent","Consistent","Yes","50"
"61","forest14.jpg","Pitchfork","basic","Inconsistent","Yes","100"
"62","forest2.jpg","Bird Nest","consistent","Consistent","Yes","150"
"63","forest9.jpg","Wood-Splitting Axe","consistent","Consistent","No","150"
"64","fruit_bowl.jpg","Wood-Splitting Axe","super","Inconsistent","Yes","50"
"65","glass.jpg","Seesaw","super","Inconsistent","Yes","150"
"66","highway10.jpg","Bicycle","basic","Inconsistent","No","100"
"67","highway12.jpg","Mail Collection Box","basic","Inconsistent","Yes","50"
