"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Lifeguard Tower","basic","Inconsistent","Yes","50"
"2","bathroom2.jpg","Fishing Boat","super","Inconsistent","No","150"
"3","bathroom3.jpg","Toilet Paper","consistent","Consistent","No","50"
"4","bathroom4.jpg","Razor","consistent","Consistent","No","50"
"5","bathroom6.jpg","Plunger","consistent","Consistent","No","50"
"6","bathroom7.jpg","Soap Bar","consistent","Consistent","Yes","50"
"7","bedroom11.jpg","Nightstand","consistent","Consistent","Yes","100"
"8","bedroom12.jpg","Apron","basic","Inconsistent","No","100"
"9","bedroom13.jpg","Picnic Table","super","Inconsistent","No","100"
"10","bedroom5.jpg","Oven Mitts","basic","Inconsistent","Yes","100"
"11","bedroom9.jpg","Laundry Hamper","consistent","Consistent","No","150"
"12","bell.jpg","Kayak","super","Inconsistent","Yes","50"
"13","bin.jpg","Radio Tower","super","Inconsistent","No","50"
"14","blender.jpg","Pan","consistent","Consistent","Yes","100"
"15","brick_apartment.png","Bird Bath","consistent","Consistent","No","100"
"16","briefcase.jpg","Seesaw","super","Inconsistent","Yes","100"
"17","bust.jpg","Tape Dispenser","basic","Inconsistent","Yes","150"
"18","child_bedroom.png","Teddy Bear","consistent","Consistent","No","50"
"19","citycenter10.jpg","City Fountain","consistent","Consistent","Yes","50"
"20","citycenter11.jpg","Lawn Mower","basic","Inconsistent","No","100"
"21","citycenter12.jpg","Historical Plaque","consistent","Consistent","No","150"
"22","citycenter2.jpg","Teddy Bear","super","Inconsistent","Yes","100"
"23","citycenter26.jpg","Broom","super","Inconsistent","Yes","150"
"24","class11.jpg","Backpack","consistent","Consistent","Yes","100"
"25","class3.jpg","Notebook","consistent","Consistent","Yes","150"
"26","class6.jpg","Road Work Sign","super","Inconsistent","No","150"
"27","class8.jpg","Drinking Fountain","basic","Inconsistent","Yes","50"
"28","class9.jpg","Picture Frame","basic","Inconsistent","No","100"
"29","clock.jpg","Stop Sign","consistent","Consistent","No","50"
"30","coast10.jpg","Surfboard","consistent","Consistent","Yes","100"
"31","coast11.jpg","Lifeguard Tower","consistent","Consistent","Yes","150"
"32","coast3.jpg","Notebook","super","Inconsistent","Yes","100"
"33","coast7.jpg","Beach Towel","consistent","Consistent","Yes","150"
"34","coast8.jpg","Fishing Rod","basic","Inconsistent","No","50"
"35","conference1.jpg","Nightstand","basic","Inconsistent","Yes","100"
"36","conference3.jpg","Phone Set","consistent","Consistent","No","100"
"37","conference5.jpg","Subway Station Sign","super","Inconsistent","No","150"
"38","conference7.jpg","Projector","consistent","Consistent","No","150"
"39","conference8.jpg","Projector Screen","consistent","Consistent","Yes","100"
"40","corridor1.jpg","Drinking Fountain","consistent","Consistent","No","100"
"41","corridor2.jpg","Bathroom Sign","consistent","Consistent","Yes","150"
"42","corridor3.jpg","Laundry Hamper","basic","Inconsistent","Yes","50"
"43","corridor4.jpg","Phone Set","basic","Inconsistent","Yes","150"
"44","corridor5.jpg","Flag Pole","super","Inconsistent","Yes","50"
"45","dining3.jpg","Feeding Trough","super","Inconsistent","No","150"
"46","dining5.jpg","Pedestrian Crosswalk Signal","super","Inconsistent","No","50"
"47","dining6.jpg","Vase","basic","Inconsistent","No","150"
"48","dining7.jpg","Bird Bath","super","Inconsistent","No","50"
"49","dining8.jpg","Razor","basic","Inconsistent","No","150"
"50","elephant.jpg","Log Cabin","super","Inconsistent","No","150"
"51","fan.jpg","Calculator","consistent","Consistent","No","150"
"52","farm1.jpg","Hay Bale","consistent","Consistent","Yes","150"
"53","farm2.jpg","City Fountain","basic","Inconsistent","Yes","100"
"54","farm3.jpg","Toothpaste","super","Inconsistent","Yes","150"
"55","farm4.jpg","Feeding Trough","consistent","Consistent","Yes","50"
"56","farm7.jpg","Beach Towel","basic","Inconsistent","No","150"
"57","fire_hydrant.jpg","Flag Pole","consistent","Consistent","Yes","100"
"58","flowers.jpg","Picture Frame","consistent","Consistent","No","100"
"59","forest1.jpg","Calculator","super","Inconsistent","Yes","50"
"60","forest11.jpg","Log Cabin","consistent","Consistent","No","150"
"61","forest14.jpg","Camping Tent","consistent","Consistent","No","50"
"62","forest2.jpg","Bird Nest","consistent","Consistent","Yes","150"
"63","forest9.jpg","Wood-Splitting Axe","consistent","Consistent","No","100"
"64","fruit_bowl.jpg","Soap Bar","basic","Inconsistent","Yes","100"
"65","glass.jpg","Birdhouse","super","Inconsistent","Yes","150"
"66","highway10.jpg","Projector","super","Inconsistent","No","150"
"67","highway12.jpg","Bus","consistent","Consistent","No","50"
"68","highway6.jpg","Road Work Sign","consistent","Consistent","No","150"
"69","highway8.jpg","Pan","super","Inconsistent","Yes","150"
"70","highway9.jpg","Highway Exit Sign","consistent","Consistent","No","100"
"71","kitchen10.jpg","Historical Plaque","super","Inconsistent","Yes","150"
"72","kitchen13.jpg","Stand Mixer","consistent","Consistent","No","50"
"73","kitchen15.jpg","Apron","consistent","Consistent","Yes","150"
"74","kitchen16.jpg","Oven Mitts","consistent","Consistent","No","50"
"75","kitchen17.jpg","Paper Shredder","basic","Inconsistent","Yes","150"
"76","living13.jpg","Bus Stop Shelter","super","Inconsistent","Yes","50"
"77","living16.jpg","Mail Collection Box","super","Inconsistent","No","50"
"78","living17.jpg","Bird Nest","super","Inconsistent","No","50"
"79","living6.jpg","Vase","consistent","Consistent","Yes","100"
"80","living9.jpg","Ottoman","consistent","Consistent","Yes","100"
"81","MDS201.jpg","Toilet Paper","super","Inconsistent","No","50"
"82","modern_livingroom.png","Camping Tent","super","Inconsistent","No","100"
"83","natural_fall.png","Fishing Rod","consistent","Consistent","No","100"
"84","Nature14.jpg","Bus","basic","Inconsistent","Yes","100"
"85","Nature22.jpg","Wildflower","consistent","Consistent","No","50"
"86","Nature36.jpg","Lily Pad","consistent","Consistent","Yes","150"
"87","Nature40.jpg","Kayak","consistent","Consistent","Yes","100"
"88","Nature47.jpg","Fishing Boat","consistent","Consistent","No","100"
"89","office1.jpg","Backpack","basic","Inconsistent","No","100"
"90","office10.jpg","Stand Mixer","basic","Inconsistent","No","50"
"91","office4.jpg","Tape Dispenser","consistent","Consistent","Yes","150"
"92","office8.jpg","Ottoman","basic","Inconsistent","Yes","150"
"93","office9.jpg","Paper Shredder","consistent","Consistent","No","100"
"94","opencountry1.jpg","Fire Hydrant","basic","Inconsistent","Yes","50"
"95","opencountry2.jpg","Projector Screen","super","Inconsistent","No","100"
"96","opencountry3.jpg","Trash Bags","basic","Inconsistent","Yes","150"
"97","opencountry5.jpg","Bathroom Sign","super","Inconsistent","No","100"
"98","opencountry8.jpg","Radio Tower","consistent","Consistent","Yes","50"
"99","plant_bathroom.png","Toothpaste","consistent","Consistent","No","100"
"100","play10.jpg","Picnic Table","consistent","Consistent","Yes","50"
"101","play12.jpg","Seesaw","consistent","Consistent","No","150"
"102","play2.jpg","Crosswalk","basic","Inconsistent","No","150"
"103","play3.jpg","Lily Pad","basic","Inconsistent","No","100"
"104","play5.jpg","Hay Bale","basic","Inconsistent","No","50"
"105","pond.png","Birdhouse","consistent","Consistent","Yes","150"
"106","suburb1.jpg","Lawn Mower","consistent","Consistent","No","150"
"107","suburb2.jpg","Trash Bags","consistent","Consistent","No","150"
"108","suburb3.jpg","Fire Hydrant","consistent","Consistent","Yes","50"
"109","suburb4.jpg","Crosswalk","consistent","Consistent","No","150"
"110","suburb6.jpg","Surfboard","basic","Inconsistent","Yes","50"
"111","tan_kitchen.png","Stop Sign","super","Inconsistent","Yes","100"
