"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Pan","super","Inconsistent","No","50"
"2","bathroom2.jpg","Shower Head","consistent","Consistent","Yes","50"
"3","bathroom3.jpg","Toilet Paper","consistent","Consistent","Yes","100"
"4","bathroom4.jpg","Teddy Bear","basic","Inconsistent","No","150"
"5","bathroom6.jpg","Plunger","consistent","Consistent","No","100"
"6","bathroom7.jpg","TV Remote","basic","Inconsistent","Yes","100"
"7","bedroom11.jpg","Trash Bags","super","Inconsistent","No","150"
"8","bedroom12.jpg","Dresser","consistent","Consistent","Yes","100"
"9","bedroom13.jpg","Laundry Hamper","consistent","Consistent","No","50"
"10","bedroom14.jpg","Flag Pole","super","Inconsistent","Yes","50"
"11","bedroom5.jpg","Bus Stop Shelter","super","Inconsistent","No","100"
"12","bell.jpg","Lighthouse","super","Inconsistent","No","50"
"13","bin.jpg","Traffic Light","super","Inconsistent","Yes","100"
"14","blender.jpg","Pan","consistent","Consistent","No","100"
"15","brick_apartment.png","Bird Bath","consistent","Consistent","No","50"
"16","briefcase.jpg","Printer","consistent","Consistent","No","50"
"17","bust.jpg","TV Remote","consistent","Consistent","No","150"
"18","child_bedroom.png","Teddy Bear","consistent","Consistent","No","50"
"19","citycenter10.jpg","Souvenir Stand","consistent","Consistent","Yes","150"
"20","citycenter11.jpg","Horse Carriage","consistent","Consistent","No","150"
"21","citycenter12.jpg","Historic Plaque","consistent","Consistent","Yes","150"
"22","citycenter2.jpg","Taxi","consistent","Consistent","Yes","150"
"23","citycenter26.jpg","Lifeguard Tower","basic","Inconsistent","No","50"
"24","class11.jpg","Historic Plaque","super","Inconsistent","Yes","100"
"25","class3.jpg","Notebook","consistent","Consistent","No","50"
"26","class6.jpg","Toilet Paper","basic","Inconsistent","No","50"
"27","class8.jpg","Plunger","basic","Inconsistent","Yes","50"
"28","class9.jpg","Ottoman","basic","Inconsistent","No","50"
"29","clock.jpg","Taxi","basic","Inconsistent","No","100"
"30","coast10.jpg","Newspaper Box","basic","Inconsistent","Yes","100"
"31","coast11.jpg","Lifeguard Tower","consistent","Consistent","Yes","150"
"32","coast3.jpg","Lighthouse","consistent","Consistent","No","150"
"33","coast7.jpg","Beach Towel","consistent","Consistent","No","100"
"34","coast8.jpg","Horse Carriage","basic","Inconsistent","Yes","50"
"35","conference1.jpg","Briefcase","consistent","Consistent","Yes","100"
"36","conference3.jpg","Road Work Sign","super","Inconsistent","Yes","50"
"37","conference5.jpg","Lily Pad","super","Inconsistent","No","150"
"38","conference7.jpg","Sticky Notes","basic","Inconsistent","Yes","150"
"39","conference8.jpg","Projector Screen","consistent","Consistent","Yes","100"
"40","corridor1.jpg","Rolling Pin","basic","Inconsistent","Yes","50"
"41","corridor2.jpg","Stand Mixer","basic","Inconsistent","No","100"
"42","corridor3.jpg","Windmill","super","Inconsistent","No","50"
"43","corridor4.jpg","Tape Dispenser","basic","Inconsistent","No","150"
"44","corridor5.jpg","Scarecrow","super","Inconsistent","No","100"
"45","dining3.jpg","Speed Limit Sign","super","Inconsistent","No","150"
