"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Public Trash Can","consistent","Consistent","Yes","50"
"2","bathroom2.jpg","Shower Head","consistent","Consistent","No","150"
"3","bathroom3.jpg","Napkin","basic","Inconsistent","Yes","100"
"4","bathroom4.jpg","Pencil Holder","basic","Inconsistent","Yes","100"
"5","bathroom6.jpg","Spoon","basic","Inconsistent","Yes","100"
"6","bathroom7.jpg","Scarecrow","super","Inconsistent","No","50"
"7","bedroom11.jpg","Floor Lamp","basic","Inconsistent","No","100"
"8","bedroom12.jpg","Drawer","consistent","Consistent","No","100"
"9","bedroom13.jpg","Bedside Table Lamp","consistent","Consistent","No","100"
"10","bedroom5.jpg","Alarm Clock","consistent","Consistent","Yes","100"
"11","bedroom9.jpg","TV Remote","basic","Inconsistent","Yes","50"
"12","bell.jpg","Coffee Maker","consistent","Consistent","Yes","50"
"13","bin.jpg","Rocking Chair","consistent","Consistent","No","50"
"14","blender.jpg","Windmill","super","Inconsistent","No","100"
"15","brick_apartment.png","Wheelbarrow","basic","Inconsistent","Yes","150"
"16","briefcase.jpg","Printer","consistent","Consistent","Yes","100"
"17","bust.jpg","TV Remote","consistent","Consistent","Yes","150"
"18","child_bedroom.png","Parking Meter","super","Inconsistent","Yes","100"
"19","citycenter10.jpg","Fork","super","Inconsistent","No","50"
"20","citycenter11.jpg","Bench","consistent","Consistent","No","100"
"21","citycenter12.jpg","Bowl","super","Inconsistent","Yes","50"
"22","citycenter2.jpg","Taxi","consistent","Consistent","Yes","100"
"23","citycenter26.jpg","Sculpture","consistent","Consistent","Yes","150"
"24","class11.jpg","Speed Limit Sign","super","Inconsistent","No","100"
"25","class3.jpg","Television","basic","Inconsistent","No","150"
"26","class6.jpg","Textbook","consistent","Consistent","No","150"
"27","class8.jpg","Pencil Case","consistent","Consistent","Yes","50"
"28","class9.jpg","Crayons","consistent","Consistent","No","100"
"29","clock.jpg","Bicycle","basic","Inconsistent","Yes","100"
"30","coast10.jpg","Utility Pole","basic","Inconsistent","No","100"
"31","coast11.jpg","Fire Extinguisher","super","Inconsistent","No","150"
"32","coast3.jpg","Lighthouse","consistent","Consistent","Yes","100"
"33","coast7.jpg","Swing Set","basic","Inconsistent","No","150"
"34","coast8.jpg","Buoy","consistent","Consistent","No","50"
"35","conference1.jpg","Briefcase","consistent","Consistent","Yes","100"
"36","conference3.jpg","Building Exit Sign","basic","Inconsistent","Yes","150"
"37","conference5.jpg","Laptop","consistent","Consistent","No","150"
"38","conference7.jpg","Stapler","basic","Inconsistent","Yes","50"
"39","conference8.jpg","Sticky Notes","basic","Inconsistent","No","100"
"40","corridor1.jpg","Candle","basic","Inconsistent","Yes","150"
"41","corridor2.jpg","Coffee Maker","basic","Inconsistent","No","150"
"42","corridor3.jpg","Fire Extinguisher","consistent","Consistent","Yes","50"
"43","corridor4.jpg","Building Exit Sign","consistent","Consistent","Yes","150"
"44","corridor5.jpg","Fire Alarm","consistent","Consistent","Yes","50"
"45","dining3.jpg","Plate","consistent","Consistent","No","150"
"46","dining5.jpg","Bowl","consistent","Consistent","No","50"
"47","dining6.jpg","Candle","consistent","Consistent","No","150"
"48","dining7.jpg","Spoon","consistent","Consistent","No","50"
"49","dining8.jpg","Fork","consistent","Consistent","No","150"
"50","elephant.jpg","Napkin","consistent","Consistent","No","150"
"51","fan.jpg","Blender","basic","Inconsistent","Yes","50"
"52","farm1.jpg","Billboard","basic","Inconsistent","No","150"
"53","farm2.jpg","Wheelbarrow","consistent","Consistent","Yes","100"
"54","farm3.jpg","Scarecrow","consistent","Consistent","Yes","150"
"55","farm4.jpg","Fence","basic","Inconsistent","No","50"
"56","farm7.jpg","Tractor","consistent","Consistent","No","150"
"57","fire_hydrant.jpg","Lighthouse","basic","Inconsistent","No","100"
"58","flowers.jpg","Buoy","super","Inconsistent","Yes","150"
"59","forest1.jpg","Toadstool Mushroom","consistent","Consistent","Yes","50"
"60","forest11.jpg","Sculpture","basic","Inconsistent","Yes","50"
"61","forest14.jpg","Soccer Ball","basic","Inconsistent","Yes","100"
"62","forest2.jpg","Plate","super","Inconsistent","No","150"
"63","forest9.jpg","Briefcase","super","Inconsistent","Yes","150"
"64","fruit_bowl.jpg","Blender","consistent","Consistent","Yes","100"
"65","glass.jpg","Toaster","consistent","Consistent","Yes","150"
"66","highway10.jpg","Billboard","consistent","Consistent","No","150"
"67","highway12.jpg","Knife","super","Inconsistent","Yes","100"
"68","highway6.jpg","Farmhouse","basic","Inconsistent","Yes","50"
"69","highway8.jpg","Speed Limit Sign","consistent","Consistent","Yes","150"
"70","highway9.jpg","Bedside Table Lamp","super","Inconsistent","Yes","150"
"71","kitchen10.jpg","Rolling Pin","consistent","Consistent","Yes","150"
"72","kitchen13.jpg","Tractor","super","Inconsistent","Yes","100"
"73","kitchen15.jpg","Public Trash Can","super","Inconsistent","No","150"
"74","kitchen16.jpg","Bench","super","Inconsistent","Yes","100"
"75","kitchen17.jpg","Baking Tray","consistent","Consistent","Yes","150"
"76","living13.jpg","Vacuum Cleaner","consistent","Consistent","Yes","50"
"77","living16.jpg","Television","consistent","Consistent","No","50"
"78","living17.jpg","Armchair Recliner","consistent","Consistent","No","50"
"79","living6.jpg","Toaster","basic","Inconsistent","No","100"
"80","living9.jpg","Newspaper Box","super","Inconsistent","No","100"
"81","MDS201.jpg","Rock","consistent","Consistent","No","50"
"82","modern_livingroom.png","Floor Lamp","consistent","Consistent","No","100"
"83","natural_fall.png","Taxi","basic","Inconsistent","Yes","150"
"84","Nature14.jpg","Wild Berries","consistent","Consistent","Yes","100"
"85","Nature22.jpg","Pencil Case","super","Inconsistent","Yes","100"
"86","Nature36.jpg","Fire Alarm","super","Inconsistent","No","150"
"87","Nature40.jpg","Laptop","super","Inconsistent","No","100"
"88","Nature47.jpg","Textbook","super","Inconsistent","Yes","150"
"89","office1.jpg","Pencil Holder","consistent","Consistent","No","100"
"90","office10.jpg","Stapler","consistent","Consistent","No","50"
"91","office4.jpg","Traffic Light","super","Inconsistent","No","150"
"92","office8.jpg","Sticky Notes","consistent","Consistent","Yes","150"
"93","office9.jpg","Alarm Clock","basic","Inconsistent","Yes","150"
"94","opencountry1.jpg","Fence","consistent","Consistent","Yes","50"
"95","opencountry2.jpg","Farmhouse","consistent","Consistent","No","100"
"96","opencountry3.jpg","Windmill","consistent","Consistent","Yes","150"
"97","opencountry5.jpg","Pitchfork","consistent","Consistent","No","100"
"98","opencountry8.jpg","Sandbox","basic","Inconsistent","No","50"
"99","plant_bathroom.png","Toadstool Mushroom","super","Inconsistent","Yes","150"
"100","play10.jpg","Wild Berries","basic","Inconsistent","No","50"
"101","play12.jpg","Vacuum Cleaner","super","Inconsistent","Yes","50"
"102","play2.jpg","Swing Set","consistent","Consistent","No","150"
"103","play3.jpg","Sandbox","consistent","Consistent","No","100"
"104","play5.jpg","Soccer Ball","consistent","Consistent","No","50"
"105","pond.png","Baking Tray","super","Inconsistent","No","150"
"106","suburb1.jpg","Drawer","super","Inconsistent","Yes","50"
"107","suburb2.jpg","Rock","basic","Inconsistent","Yes","50"
"108","suburb3.jpg","Pitchfork","basic","Inconsistent","No","50"
"109","suburb4.jpg","Shower Head","super","Inconsistent","Yes","50"
"110","suburb6.jpg","Utility Pole","consistent","Consistent","Yes","50"
"111","tan_kitchen.png","Knife","consistent","Consistent","Yes","100"
"112","Urban_Image_08.jpg","Traffic Light","consistent","Consistent","No","100"
"113","Urban10.jpg","Bicycle","consistent","Consistent","Yes","100"
"114","Urban14.jpg","Parking Meter","consistent","Consistent","No","50"
"115","urbanstreet1.jpg","Newspaper Box","consistent","Consistent","Yes","50"
"116","urbanstreet12.jpg","Crayons","super","Inconsistent","No","100"
"117","urbanstreet19.jpg","Armchair Recliner","super","Inconsistent","No","50"
"118","urbanstreet28.jpg","Printer","super","Inconsistent","No","50"
"119","urbanstreet30.jpg","Rolling Pin","super","Inconsistent","No","50"
