"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Public Trash Can","consistent","Consistent","Yes","50"
"2","bathroom2.jpg","Farmhouse","super","Inconsistent","No","100"
"3","bathroom3.jpg","Scarecrow","super","Inconsistent","Yes","100"
"4","bathroom4.jpg","Public Trash Can","super","Inconsistent","Yes","50"
"5","bathroom6.jpg","Plunger","consistent","Consistent","No","50"
"6","bathroom7.jpg","Ottoman","basic","Inconsistent","No","150"
"7","bedroom11.jpg","Spatula","basic","Inconsistent","Yes","100"
"8","bedroom12.jpg","Drawer","consistent","Consistent","No","150"
"9","bedroom13.jpg","Bedside Table Lamp","consistent","Consistent","Yes","50"
"10","bedroom5.jpg","Alarm Clock","consistent","Consistent","No","100"
"11","bedroom9.jpg","Laundry Hamper","consistent","Consistent","Yes","50"
"12","bell.jpg","Feeding Trough","super","Inconsistent","No","150"
"13","bin.jpg","Bedside Table Lamp","basic","Inconsistent","No","100"
"14","blender.jpg","Fence","super","Inconsistent","No","150"
"15","brick_apartment.png","Bird Bath","consistent","Consistent","Yes","150"
"16","briefcase.jpg","Printer","consistent","Consistent","No","50"
"17","bust.jpg","TV Remote","consistent","Consistent","No","100"
"18","child_bedroom.png","Stop Sign","super","Inconsistent","Yes","100"
"19","citycenter10.jpg","City Fountain","consistent","Consistent","No","100"
"20","citycenter11.jpg","Tractor","basic","Inconsistent","Yes","100"
"21","citycenter12.jpg","Bowl","super","Inconsistent","Yes","150"
"22","citycenter2.jpg","Newspaper Box","basic","Inconsistent","No","150"
"23","citycenter26.jpg","Laptop","super","Inconsistent","Yes","50"
"24","class11.jpg","City Fountain","super","Inconsistent","Yes","50"
"25","class3.jpg","Kayak","super","Inconsistent","No","50"
"26","class6.jpg","Plate","basic","Inconsistent","No","100"
"27","class8.jpg","Floor Lamp","basic","Inconsistent","Yes","100"
"28","class9.jpg","Crayons","consistent","Consistent","No","100"
"29","clock.jpg","Stop Sign","consistent","Consistent","Yes","100"
"30","coast10.jpg","Crayons","super","Inconsistent","No","50"
"31","coast11.jpg","Lifeguard Tower","consistent","Consistent","Yes","150"
