"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Crosswalk","basic","Inconsistent","No","50"
"2","bathroom2.jpg","Hay Bale","super","Inconsistent","Yes","50"
"3","bathroom3.jpg","Toilet Paper","consistent","Consistent","Yes","100"
"4","bathroom4.jpg","Razor","consistent","Consistent","Yes","100"
"5","bathroom6.jpg","Plunger","consistent","Consistent","Yes","100"
"6","bathroom7.jpg","Soap Bar","consistent","Consistent","No","50"
"7","bedroom11.jpg","Nightstand","consistent","Consistent","No","100"
"8","bedroom12.jpg","Broom","basic","Inconsistent","Yes","150"
"9","bedroom13.jpg","Road Work Sign","super","Inconsistent","Yes","150"
"10","bedroom5.jpg","Bathroom Sign","basic","Inconsistent","No","100"
"11","bedroom9.jpg","Laundry Hamper","consistent","Consistent","Yes","50"
"12","bell.jpg","Pedestrian Crosswalk Signal","super","Inconsistent","No","50"
"13","bin.jpg","Bird Bath","super","Inconsistent","Yes","100"
"14","blender.jpg","Pan","consistent","Consistent","No","100"
"15","brick_apartment.png","Bird Bath","consistent","Consistent","Yes","150"
"16","briefcase.jpg","Picnic Table","super","Inconsistent","No","100"
"17","bust.jpg","Calculator","basic","Inconsistent","No","150"
"18","child_bedroom.png","Teddy Bear","consistent","Consistent","Yes","100"
"19","citycenter10.jpg","City Fountain","consistent","Consistent","No","50"
"20","citycenter11.jpg","Razor","super","Inconsistent","Yes","150"
"21","citycenter12.jpg","Historical Plaque","consistent","Consistent","Yes","50"
"22","citycenter2.jpg","Tape Dispenser","super","Inconsistent","No","100"
"23","citycenter26.jpg","Stand Mixer","super","Inconsistent","No","150"
"24","class11.jpg","Backpack","consistent","Consistent","No","100"
"25","class3.jpg","Notebook","consistent","Consistent","No","150"
"26","class6.jpg","Fire Hydrant","super","Inconsistent","Yes","50"
"27","class8.jpg","Oven Mitts","basic","Inconsistent","No","50"
"28","class9.jpg","Apron","basic","Inconsistent","Yes","150"
"29","clock.jpg","Stop Sign","consistent","Consistent","Yes","100"
"30","coast10.jpg","Surfboard","consistent","Consistent","No","100"
"31","coast11.jpg","Lifeguard Tower","consistent","Consistent","No","150"
"32","coast3.jpg","Trash Bags","basic","Inconsistent","No","100"
"33","coast7.jpg","Beach Towel","consistent","Consistent","No","150"
"34","coast8.jpg","Camping Tent","basic","Inconsistent","Yes","100"
"35","conference1.jpg","Soap Bar","basic","Inconsistent","No","100"
"36","conference3.jpg","Phone Set","consistent","Consistent","Yes","150"
"37","conference5.jpg","Mail Collection Box","super","Inconsistent","Yes","50"
"38","conference7.jpg","Projector","consistent","Consistent","Yes","50"
"39","conference8.jpg","Projector Screen","consistent","Consistent","No","100"
"40","corridor1.jpg","Drinking Fountain","consistent","Consistent","Yes","150"
"41","corridor2.jpg","Bathroom Sign","consistent","Consistent","No","150"
"42","corridor3.jpg","Nightstand","basic","Inconsistent","No","50"
"43","corridor4.jpg","Kayak","super","Inconsistent","No","150"
"44","corridor5.jpg","Lily Pad","super","Inconsistent","No","50"
"45","dining3.jpg","Notebook","basic","Inconsistent","Yes","50"
"46","dining5.jpg","Drinking Fountain","basic","Inconsistent","Yes","100"
"47","dining6.jpg","Picture Frame","basic","Inconsistent","Yes","50"
"48","dining7.jpg","Lawn Mower","super","Inconsistent","Yes","100"
"49","dining8.jpg","Wood-Splitting Axe","super","Inconsistent","Yes","50"
"50","elephant.jpg","Flag Pole","super","Inconsistent","Yes","50"
"51","fan.jpg","Calculator","consistent","Consistent","Yes","50"
"52","farm1.jpg","Hay Bale","consistent","Consistent","No","150"
"53","farm2.jpg","Birdhouse","basic","Inconsistent","No","100"
"54","farm3.jpg","Historical Plaque","basic","Inconsistent","No","150"
"55","farm4.jpg","Feeding Trough","consistent","Consistent","No","50"
"56","farm7.jpg","Fishing Boat","basic","Inconsistent","Yes","50"
"57","fire_hydrant.jpg","Flag Pole","consistent","Consistent","No","100"
"58","flowers.jpg","Picture Frame","consistent","Consistent","Yes","150"
"59","forest1.jpg","Toothpaste","super","Inconsistent","No","50"
"60","forest11.jpg","Log Cabin","consistent","Consistent","Yes","50"
"61","forest14.jpg","Camping Tent","consistent","Consistent","Yes","100"
"62","forest2.jpg","Bird Nest","consistent","Consistent","No","150"
"63","forest9.jpg","Wood-Splitting Axe","consistent","Consistent","Yes","150"
"64","fruit_bowl.jpg","Projector Screen","basic","Inconsistent","No","100"
"65","glass.jpg","Teddy Bear","basic","Inconsistent","No","150"
"66","highway10.jpg","Vase","super","Inconsistent","Yes","50"
"67","highway12.jpg","Bus","consistent","Consistent","Yes","100"
"68","highway6.jpg","Road Work Sign","consistent","Consistent","Yes","50"
"69","highway8.jpg","Projector","super","Inconsistent","No","150"
"70","highway9.jpg","Highway Exit Sign","consistent","Consistent","Yes","150"
"71","kitchen10.jpg","Bus Stop Shelter","super","Inconsistent","No","150"
"72","kitchen13.jpg","Stand Mixer","consistent","Consistent","Yes","100"
"73","kitchen15.jpg","Apron","consistent","Consistent","No","150"
"74","kitchen16.jpg","Oven Mitts","consistent","Consistent","Yes","100"
"75","kitchen17.jpg","Backpack","basic","Inconsistent","No","150"
"76","living13.jpg","Laundry Hamper","basic","Inconsistent","No","50"
"77","living16.jpg","Subway Station Sign","super","Inconsistent","Yes","100"
"78","living17.jpg","Lifeguard Tower","super","Inconsistent","Yes","100"
"79","living6.jpg","Vase","consistent","Consistent","No","100"
"80","living9.jpg","Ottoman","consistent","Consistent","No","100"
"81","MDS201.jpg","Paper Shredder","super","Inconsistent","Yes","100"
"82","modern_livingroom.png","Seesaw","super","Inconsistent","Yes","150"
"83","natural_fall.png","Fishing Rod","consistent","Consistent","Yes","150"
"84","Nature14.jpg","Toilet Paper","super","Inconsistent","No","100"
"85","Nature22.jpg","Wildflower","consistent","Consistent","Yes","100"
"86","Nature36.jpg","Lily Pad","consistent","Consistent","No","150"
"87","Nature40.jpg","Kayak","consistent","Consistent","No","100"
"88","Nature47.jpg","Fishing Boat","consistent","Consistent","Yes","150"
"89","office1.jpg","Bus","super","Inconsistent","Yes","150"
"90","office10.jpg","Radio Tower","super","Inconsistent","Yes","100"
"91","office4.jpg","Tape Dispenser","consistent","Consistent","No","150"
"92","office8.jpg","Ottoman","basic","Inconsistent","No","150"
"93","office9.jpg","Paper Shredder","consistent","Consistent","Yes","150"
"94","opencountry1.jpg","Feeding Trough","basic","Inconsistent","No","50"
"95","opencountry2.jpg","Plunger","super","Inconsistent","Yes","150"
"96","opencountry3.jpg","Pan","super","Inconsistent","No","150"
"97","opencountry5.jpg","Phone Set","super","Inconsistent","Yes","150"
"98","opencountry8.jpg","Radio Tower","consistent","Consistent","No","50"
"99","plant_bathroom.png","Toothpaste","consistent","Consistent","Yes","150"
"100","play10.jpg","Picnic Table","consistent","Consistent","No","50"
"101","play12.jpg","Seesaw","consistent","Consistent","Yes","50"
"102","play2.jpg","Log Cabin","basic","Inconsistent","Yes","50"
"103","play3.jpg","Highway Exit Sign","basic","Inconsistent","Yes","150"
"104","play5.jpg","Fishing Rod","basic","Inconsistent","Yes","100"
"105","pond.png","Birdhouse","consistent","Consistent","No","150"
"106","suburb1.jpg","Lawn Mower","consistent","Consistent","Yes","50"
"107","suburb2.jpg","Trash Bags","consistent","Consistent","Yes","50"
"108","suburb3.jpg","Fire Hydrant","consistent","Consistent","No","50"
"109","suburb4.jpg","Crosswalk","consistent","Consistent","Yes","50"
"110","suburb6.jpg","City Fountain","basic","Inconsistent","No","50"
"111","tan_kitchen.png","Bird Nest","super","Inconsistent","No","100"
