"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Fire Alarm","super","Inconsistent","No","50"
"2","bathroom2.jpg","Shower Head","consistent","Consistent","Yes","50"
"3","bathroom3.jpg","Toilet Paper","consistent","Consistent","Yes","100"
"4","bathroom4.jpg","Razor","consistent","Consistent","Yes","100"
"5","bathroom6.jpg","Plunger","consistent","Consistent","Yes","100"
"6","bathroom7.jpg","Napkin","basic","Inconsistent","Yes","100"
"7","bedroom11.jpg","Television","basic","Inconsistent","Yes","150"
"8","bedroom12.jpg","Taxi","super","Inconsistent","Yes","150"
"9","bedroom13.jpg","Bedside Table Lamp","consistent","Consistent","Yes","150"
"10","bedroom5.jpg","Drinking Fountain","basic","Inconsistent","No","100"
"11","bedroom9.jpg","Laundry Hamper","consistent","Consistent","Yes","50"
"12","bell.jpg","Coffee Maker","consistent","Consistent","No","50"
"13","bin.jpg","Rocking Chair","consistent","Consistent","Yes","100"
"14","blender.jpg","Floor Lamp","basic","Inconsistent","Yes","150"
"15","brick_apartment.png","Bird Bath","consistent","Consistent","Yes","150"
"16","briefcase.jpg","Printer","consistent","Consistent","No","100"
"17","bust.jpg","Radio Tower","super","Inconsistent","No","150"
"18","child_bedroom.png","Printer","basic","Inconsistent","No","100"
"19","citycenter10.jpg","Fence","basic","Inconsistent","Yes","100"
"20","citycenter11.jpg","Bench","consistent","Consistent","Yes","150"
"21","citycenter12.jpg","Birdhouse","basic","Inconsistent","No","50"
"22","citycenter2.jpg","Taxi","consistent","Consistent","No","100"
"23","citycenter26.jpg","Sculpture","consistent","Consistent","No","150"
"24","class11.jpg","Laundry Hamper","basic","Inconsistent","Yes","150"
"25","class3.jpg","Notebook","consistent","Consistent","No","150"
"26","class6.jpg","Textbook","consistent","Consistent","Yes","50"
"27","class8.jpg","Pitchfork","super","Inconsistent","No","50"
"28","class9.jpg","Road Work Sign","super","Inconsistent","Yes","150"
"29","clock.jpg","Stop Sign","consistent","Consistent","Yes","100"
"30","coast10.jpg","Surfboard","consistent","Consistent","No","100"
"31","coast11.jpg","Speed Limit Sign","basic","Inconsistent","Yes","50"
"32","coast3.jpg","Lighthouse","consistent","Consistent","No","100"
"33","coast7.jpg","Beach Towel","consistent","Consistent","No","150"
"34","coast8.jpg","Bathroom Sign","super","Inconsistent","Yes","100"
"35","conference1.jpg","Windmill","super","Inconsistent","No","100"
"36","conference3.jpg","Phone Set","consistent","Consistent","Yes","150"
"37","conference5.jpg","Laptop","consistent","Consistent","Yes","50"
"38","conference7.jpg","Projector","consistent","Consistent","Yes","50"
"39","conference8.jpg","Projector Screen","consistent","Consistent","No","100"
"40","corridor1.jpg","Drinking Fountain","consistent","Consistent","Yes","150"
"41","corridor2.jpg","Bathroom Sign","consistent","Consistent","No","150"
"42","corridor3.jpg","Camping Tent","super","Inconsistent","No","50"
"43","corridor4.jpg","Lighthouse","super","Inconsistent","No","150"
"44","corridor5.jpg","Fire Alarm","consistent","Consistent","No","50"
"45","dining3.jpg","Scarecrow","super","Inconsistent","Yes","50"
"46","dining5.jpg","Rock","super","Inconsistent","Yes","100"
"47","dining6.jpg","Surfboard","super","Inconsistent","Yes","50"
"48","dining7.jpg","Spoon","consistent","Consistent","Yes","100"
"49","dining8.jpg","Beach Towel","super","Inconsistent","Yes","50"
"50","elephant.jpg","Napkin","consistent","Consistent","Yes","50"
"51","fan.jpg","Textbook","basic","Inconsistent","No","50"
"52","farm1.jpg","Hay Bale","consistent","Consistent","No","150"
"53","farm2.jpg","Razor","super","Inconsistent","No","100"
"54","farm3.jpg","Scarecrow","consistent","Consistent","No","150"
"55","farm4.jpg","Feeding Trough","consistent","Consistent","No","50"
"56","farm7.jpg","Toilet Paper","super","Inconsistent","Yes","50"
"57","fire_hydrant.jpg","Flag Pole","consistent","Consistent","No","100"
"58","flowers.jpg","Projector Screen","basic","Inconsistent","No","150"
"59","forest1.jpg","Toadstool Mushroom","consistent","Consistent","No","50"
"60","forest11.jpg","Log Cabin","consistent","Consistent","Yes","50"
"61","forest14.jpg","Camping Tent","consistent","Consistent","Yes","100"
"62","forest2.jpg","Trash Bags","basic","Inconsistent","Yes","50"
"63","forest9.jpg","Stop Sign","basic","Inconsistent","No","150"
"64","fruit_bowl.jpg","Sculpture","super","Inconsistent","No","100"
"65","glass.jpg","Bench","super","Inconsistent","No","150"
"66","highway10.jpg","Billboard","consistent","Consistent","Yes","50"
"67","highway12.jpg","Picnic Table","basic","Inconsistent","No","100"
"68","highway6.jpg","Road Work Sign","consistent","Consistent","Yes","50"
"69","highway8.jpg","Speed Limit Sign","consistent","Consistent","No","150"
"70","highway9.jpg","Wild Berries","basic","Inconsistent","No","150"
"71","kitchen10.jpg","Rolling Pin","consistent","Consistent","No","150"
"72","kitchen13.jpg","Laptop","basic","Inconsistent","No","100"
"73","kitchen15.jpg","Armchair Recliner","basic","Inconsistent","Yes","50"
"74","kitchen16.jpg","Coffee Maker","basic","Inconsistent","No","100"
"75","kitchen17.jpg","Toadstool Mushroom","super","Inconsistent","No","150"
"76","living13.jpg","Fishing Rod","super","Inconsistent","No","50"
"77","living16.jpg","Television","consistent","Consistent","Yes","100"
"78","living17.jpg","Armchair Recliner","consistent","Consistent","Yes","100"
"79","living6.jpg","Shower Head","basic","Inconsistent","Yes","150"
"80","living9.jpg","Rolling Pin","basic","Inconsistent","Yes","150"
"81","MDS201.jpg","Rock","consistent","Consistent","Yes","100"
"82","modern_livingroom.png","Floor Lamp","consistent","Consistent","Yes","150"
"83","natural_fall.png","Fishing Rod","consistent","Consistent","Yes","150"
"84","Nature14.jpg","Wild Berries","consistent","Consistent","No","100"
"85","Nature22.jpg","Billboard","basic","Inconsistent","No","100"
"86","Nature36.jpg","Newspaper Box","basic","Inconsistent","Yes","50"
"87","Nature40.jpg","Kayak","consistent","Consistent","No","100"
"88","Nature47.jpg","Kayak","basic","Inconsistent","No","150"
"89","office1.jpg","Farmhouse","super","Inconsistent","Yes","150"
"90","office10.jpg","Fire Hydrant","super","Inconsistent","Yes","100"
"91","office4.jpg","Bedside Table Lamp","basic","Inconsistent","Yes","50"
"92","office8.jpg","Hay Bale","super","Inconsistent","No","150"
"93","office9.jpg","Paper Shredder","consistent","Consistent","Yes","150"
"94","opencountry1.jpg","Fence","consistent","Consistent","No","50"
