"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Bench","consistent","Consistent","Yes","50"
"2","bathroom2.jpg","Wildflower","super","Inconsistent","No","150"
"3","bathroom3.jpg","Dresser","basic","Inconsistent","No","150"
"4","bathroom4.jpg","Razor","consistent","Consistent","Yes","150"
"5","bathroom6.jpg","Plunger","consistent","Consistent","No","150"
"6","bathroom7.jpg","Hay Bale","super","Inconsistent","Yes","100"
"7","bedroom11.jpg","Axe","super","Inconsistent","Yes","50"
"8","bedroom12.jpg","Dresser","consistent","Consistent","Yes","50"
"9","bedroom13.jpg","Laundry Hamper","consistent","Consistent","No","50"
"10","bedroom14.jpg","Comforter Blanket","consistent","Consistent","Yes","50"
"11","bedroom5.jpg","Alarm Clock","consistent","Consistent","No","150"
"12","bell.jpg","Crayons","basic","Inconsistent","No","50"
"13","bin.jpg","Rocking Chair","consistent","Consistent","Yes","100"
"14","blender.jpg","Pan","consistent","Consistent","Yes","50"
"15","brick_apartment.png","Bird Bath","consistent","Consistent","Yes","150"
"16","briefcase.jpg","Printer","consistent","Consistent","Yes","100"
"17","bust.jpg","Wheelbarrow","super","Inconsistent","No","100"
"18","child_bedroom.png","Teddy Bear","consistent","Consistent","Yes","150"
"19","citycenter10.jpg","Souvenir Stand","consistent","Consistent","Yes","50"
"20","citycenter11.jpg","Radio Tower","basic","Inconsistent","Yes","150"
"21","citycenter12.jpg","Historic Plaque","consistent","Consistent","Yes","150"
"22","citycenter2.jpg","Taxi","consistent","Consistent","Yes","150"
"23","citycenter26.jpg","Fire Alarm","super","Inconsistent","Yes","150"
"24","class11.jpg","Backpack","consistent","Consistent","No","150"
"25","class3.jpg","Notebook","consistent","Consistent","Yes","100"
"26","class6.jpg","Textbook","consistent","Consistent","No","50"
"27","class8.jpg","Baking Tray","basic","Inconsistent","Yes","150"
"28","class9.jpg","Crayons","consistent","Consistent","Yes","100"
"29","clock.jpg","Camping Tent","basic","Inconsistent","No","50"
"30","coast10.jpg","Exit Sign","super","Inconsistent","Yes","100"
"31","coast11.jpg","Laundry Hamper","super","Inconsistent","Yes","50"
"32","coast3.jpg","Lighthouse","consistent","Consistent","Yes","50"
"33","coast7.jpg","Beach Towel","consistent","Consistent","No","100"
"34","coast8.jpg","Subway Station Sign","basic","Inconsistent","No","100"
"35","conference1.jpg","Knife","basic","Inconsistent","No","150"
"36","conference3.jpg","Phone Set","consistent","Consistent","No","50"
"37","conference5.jpg","Fire Extinguisher","basic","Inconsistent","Yes","150"
"38","conference7.jpg","Television","basic","Inconsistent","Yes","50"
"39","conference8.jpg","Projector Screen","consistent","Consistent","Yes","100"
"40","corridor1.jpg","Drinking Fountain","consistent","Consistent","Yes","150"
"41","corridor2.jpg","Projector Screen","basic","Inconsistent","No","50"
"42","corridor3.jpg","Fire Extinguisher","consistent","Consistent","No","50"
"43","corridor4.jpg","Exit Sign","consistent","Consistent","Yes","150"
"44","corridor5.jpg","Fire Alarm","consistent","Consistent","Yes","50"
"45","dining3.jpg","Plate","consistent","Consistent","Yes","150"
"46","dining5.jpg","Bowl","consistent","Consistent","No","150"
"47","dining6.jpg","Tape Dispenser","basic","Inconsistent","No","100"
"48","dining7.jpg","Feeding Trough","super","Inconsistent","Yes","150"
"49","dining8.jpg","Seesaw","super","Inconsistent","Yes","100"
"50","elephant.jpg","Bus Stop Shelter","super","Inconsistent","Yes","100"
"51","fan.jpg","Bench","super","Inconsistent","Yes","50"
"52","farm1.jpg","Hay Bale","consistent","Consistent","Yes","100"
"53","farm2.jpg","Wheelbarrow","consistent","Consistent","Yes","150"
"54","farm3.jpg","Bowl","super","Inconsistent","Yes","150"
"55","farm4.jpg","Feeding Trough","consistent","Consistent","No","50"
