"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Bench","consistent","Consistent","Yes","100"
"2","bathroom2.jpg","Laptop","basic","Inconsistent","Yes","100"
"3","bathroom3.jpg","Textbook","basic","Inconsistent","Yes","150"
"4","bathroom4.jpg","Razor","consistent","Consistent","Yes","50"
"5","bathroom6.jpg","Billboard","super","Inconsistent","No","150"
"6","bathroom7.jpg","Soap Bar","consistent","Consistent","No","100"
"7","bedroom11.jpg","Nightstand","consistent","Consistent","Yes","50"
"8","bedroom12.jpg","Soccer Ball","super","Inconsistent","Yes","150"
"9","bedroom13.jpg","Pencil Holder","basic","Inconsistent","No","100"
"10","bedroom14.jpg","Comforter Blanket","consistent","Consistent","No","50"
"11","bedroom5.jpg","Alarm Clock","consistent","Consistent","Yes","150"
"12","bell.jpg","Coffee Maker","consistent","Consistent","Yes","100"
"13","bin.jpg","Rocking Chair","consistent","Consistent","No","100"
"14","blender.jpg","Pencil Case","basic","Inconsistent","No","150"
"15","brick_apartment.png","Coffee Maker","super","Inconsistent","No","100"
"16","briefcase.jpg","Rock","super","Inconsistent","No","100"
"17","bust.jpg","Sculpture","super","Inconsistent","No","50"
"18","child_bedroom.png","Fire Hydrant","super","Inconsistent","No","100"
"19","citycenter10.jpg","Fishing Boat","basic","Inconsistent","Yes","50"
"20","citycenter11.jpg","Parking Meter","basic","Inconsistent","No","50"
"21","citycenter12.jpg","Exit Sign","super","Inconsistent","Yes","50"
"22","citycenter2.jpg","Utility Pole","basic","Inconsistent","Yes","50"
"23","citycenter26.jpg","Sculpture","consistent","Consistent","Yes","100"
"24","class11.jpg","Backpack","consistent","Consistent","No","100"
"25","class3.jpg","Drinking Fountain","basic","Inconsistent","No","100"
"26","class6.jpg","Textbook","consistent","Consistent","Yes","100"
"27","class8.jpg","Pencil Case","consistent","Consistent","No","50"
"28","class9.jpg","Crayons","consistent","Consistent","Yes","100"
