"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Public Trash Can","consistent","Consistent","No","50"
"2","bathroom2.jpg","Shower Head","consistent","Consistent","Yes","150"
"3","bathroom3.jpg","Toilet Paper","consistent","Consistent","No","100"
"4","bathroom4.jpg","Razor","consistent","Consistent","No","50"
"5","bathroom6.jpg","Plunger","consistent","Consistent","Yes","100"
"6","bathroom7.jpg","Camping Tent","super","Inconsistent","Yes","50"
"7","bedroom11.jpg","Scarecrow","super","Inconsistent","No","100"
"8","bedroom12.jpg","Drawer","consistent","Consistent","Yes","50"
"9","bedroom13.jpg","Bedside Table Lamp","consistent","Consistent","No","50"
"10","bedroom5.jpg","Alarm Clock","consistent","Consistent","Yes","150"
"11","bedroom9.jpg","Pencil Case","basic","Inconsistent","Yes","100"
"12","bell.jpg","Coffee Maker","consistent","Consistent","Yes","50"
"13","bin.jpg","Rocking Chair","consistent","Consistent","Yes","150"
"14","blender.jpg","Frying Pan","consistent","Consistent","Yes","50"
"15","brick_apartment.png","Toadstool Mushroom","basic","Inconsistent","Yes","50"
"16","briefcase.jpg","Armchair Recliner","basic","Inconsistent","No","100"
"17","bust.jpg","Drawer","basic","Inconsistent","No","150"
"18","child_bedroom.png","Teddy Bear","consistent","Consistent","No","100"
"19","citycenter10.jpg","City Fountain","consistent","Consistent","Yes","150"
"20","citycenter11.jpg","Backpack","super","Inconsistent","No","100"
"21","citycenter12.jpg","Frying Pan","super","Inconsistent","No","150"
"22","citycenter2.jpg","Projector","super","Inconsistent","Yes","50"
"23","citycenter26.jpg","Sculpture","consistent","Consistent","No","50"
"24","class11.jpg","Backpack","consistent","Consistent","No","50"
"25","class3.jpg","Notebook","consistent","Consistent","Yes","100"
"26","class6.jpg","City Fountain","super","Inconsistent","Yes","150"
"27","class8.jpg","Pencil Case","consistent","Consistent","No","100"
"28","class9.jpg","Colander","basic","Inconsistent","No","150"
"29","clock.jpg","Stop Sign","consistent","Consistent","No","100"
"30","coast10.jpg","Surfboard","consistent","Consistent","Yes","100"
"31","coast11.jpg","Lifeguard Tower","consistent","Consistent","No","150"
"32","coast3.jpg","Lighthouse","consistent","Consistent","Yes","150"
"33","coast7.jpg","Bedside Table Lamp","super","Inconsistent","No","150"
"34","coast8.jpg","Stop Sign","basic","Inconsistent","Yes","50"
"35","conference1.jpg","Briefcase","consistent","Consistent","Yes","50"
"36","conference3.jpg","Picture Frame","basic","Inconsistent","Yes","150"
"37","conference4.jpg","Public Trash Can","super","Inconsistent","No","100"
"38","conference5.jpg","Baking Tray","basic","Inconsistent","No","50"
"39","conference7.jpg","Projector","consistent","Consistent","Yes","100"
"40","corridor1.jpg","Drinking Fountain","consistent","Consistent","Yes","50"
"41","corridor2.jpg","Teddy Bear","basic","Inconsistent","Yes","100"
"42","corridor3.jpg","Fire Extinguisher","consistent","Consistent","No","50"
"43","corridor4.jpg","Building Exit Sign","consistent","Consistent","No","150"
"44","corridor5.jpg","Bus","super","Inconsistent","Yes","100"
"45","dining3.jpg","Plate","consistent","Consistent","Yes","100"
"46","dining5.jpg","Bowl","consistent","Consistent","No","150"
"47","dining6.jpg","Sculpture","super","Inconsistent","Yes","150"
"48","dining7.jpg","Briefcase","basic","Inconsistent","No","100"
"49","dining8.jpg","Notebook","basic","Inconsistent","Yes","100"
"50","elephant.jpg","Billboard","super","Inconsistent","Yes","150"
"51","fan.jpg","Toothpaste","basic","Inconsistent","Yes","100"
"52","farm1.jpg","Hay Bale","consistent","Consistent","No","150"
"53","farm2.jpg","Drinking Fountain","super","Inconsistent","No","50"
"54","farm3.jpg","Scarecrow","consistent","Consistent","No","150"
"55","farm4.jpg","Feeding Trough","consistent","Consistent","No","50"
"56","farm7.jpg","Tractor","consistent","Consistent","No","150"
"57","fire_hydrant.jpg","Hay Bale","basic","Inconsistent","Yes","150"
"58","flowers.jpg","Picture Frame","consistent","Consistent","No","50"
"59","forest1.jpg","Toadstool Mushroom","consistent","Consistent","Yes","150"
"60","forest11.jpg","Lighthouse","basic","Inconsistent","No","100"
"61","forest14.jpg","Camping Tent","consistent","Consistent","Yes","150"
"62","forest2.jpg","Fire Hydrant","basic","Inconsistent","No","50"
"63","forest9.jpg","Plate","super","Inconsistent","Yes","100"
"64","fruit_bowl.jpg","Blender","consistent","Consistent","Yes","100"
"65","glass.jpg","Toaster","consistent","Consistent","Yes","50"
"66","highway10.jpg","Billboard","consistent","Consistent","No","150"
