"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Bench","consistent","Consistent","No","100"
"2","bathroom2.jpg","Shower Head","consistent","Consistent","Yes","100"
"3","bathroom3.jpg","Toilet Paper","consistent","Consistent","Yes","150"
"4","bathroom4.jpg","Feeding Trough","super","Inconsistent","No","50"
"5","bathroom6.jpg","Projector Screen","basic","Inconsistent","Yes","50"
"6","bathroom7.jpg","Birdhouse","super","Inconsistent","Yes","150"
"7","bedroom11.jpg","Nightstand","consistent","Consistent","No","50"
"8","bedroom12.jpg","Baking Tray","basic","Inconsistent","No","150"
"9","bedroom13.jpg","Laundry Hamper","consistent","Consistent","No","100"
"10","bedroom14.jpg","Comforter Blanket","consistent","Consistent","Yes","100"
"11","bedroom5.jpg","Alarm Clock","consistent","Consistent","No","150"
"12","bell.jpg","Coffee Maker","consistent","Consistent","No","100"
"13","bin.jpg","Rocking Chair","consistent","Consistent","Yes","150"
"14","blender.jpg","Pan","consistent","Consistent","No","150"
"15","brick_apartment.png","Beach Towel","basic","Inconsistent","Yes","150"
"16","briefcase.jpg","Coffee Maker","basic","Inconsistent","Yes","150"
"17","bust.jpg","Notebook","basic","Inconsistent","Yes","100"
"18","child_bedroom.png","Plate","basic","Inconsistent","Yes","150"
"19","citycenter10.jpg","Souvenir Stand","consistent","Consistent","Yes","50"
"20","citycenter11.jpg","Horse Carriage","consistent","Consistent","No","50"
"21","citycenter12.jpg","Camping Tent","basic","Inconsistent","No","50"
"22","citycenter2.jpg","Fork","super","Inconsistent","No","50"
"23","citycenter26.jpg","Fire Alarm","super","Inconsistent","No","100"
"24","class11.jpg","Backpack","consistent","Consistent","Yes","150"
"25","class3.jpg","Notebook","consistent","Consistent","No","100"
"26","class6.jpg","Toilet Paper","basic","Inconsistent","No","100"
"27","class8.jpg","Blender","basic","Inconsistent","Yes","100"
"28","class9.jpg","Seesaw","super","Inconsistent","No","100"
"29","clock.jpg","Alarm Clock","super","Inconsistent","No","150"
"30","coast10.jpg","Television","super","Inconsistent","Yes","150"
"31","coast11.jpg","Bird Nest","basic","Inconsistent","No","50"
"32","coast3.jpg","Lighthouse","consistent","Consistent","No","50"
"33","coast7.jpg","Beach Towel","consistent","Consistent","No","150"
"34","coast8.jpg","Stapler","super","Inconsistent","Yes","100"
"35","conference1.jpg","Briefcase","consistent","Consistent","Yes","150"
