"","SceneImage","Object","consistency_category","Consistent","Inverted","Duration"
"1","basketball_net.jpg","Bench","consistent","Consistent","No","50"
"2","bathroom2.jpg","Shower Head","consistent","Consistent","Yes","50"
"3","bathroom3.jpg","Newspaper Box","super","Inconsistent","Yes","50"
"4","bathroom4.jpg","Windmill","super","Inconsistent","Yes","50"
"5","bathroom6.jpg","Plunger","consistent","Consistent","Yes","50"
"6","bathroom7.jpg","Soap Bar","consistent","Consistent","No","100"
"7","bedroom11.jpg","Nightstand","consistent","Consistent","No","50"
"8","bedroom12.jpg","Camping Tent","super","Inconsistent","Yes","100"
"9","bedroom13.jpg","Laundry Hamper","consistent","Consistent","Yes","100"
"10","bedroom14.jpg","Shower Head","basic","Inconsistent","Yes","100"
"11","bedroom5.jpg","Tape Dispenser","basic","Inconsistent","No","50"
"12","bell.jpg","Crosswalk","super","Inconsistent","Yes","100"
"13","bin.jpg","Napkin","basic","Inconsistent","Yes","150"
"14","blender.jpg","Pan","consistent","Consistent","No","50"
"15","brick_apartment.png","Bird Bath","consistent","Consistent","No","150"
"16","briefcase.jpg","Blender","basic","Inconsistent","Yes","150"
"17","bust.jpg","Crosswalk Signal","super","Inconsistent","Yes","150"
"18","child_bedroom.png","Teddy Bear","consistent","Consistent","No","150"
"19","citycenter10.jpg","Souvenir Stand","consistent","Consistent","No","50"
"20","citycenter11.jpg","Mailbox","basic","Inconsistent","No","150"
"21","citycenter12.jpg","Scarecrow","basic","Inconsistent","Yes","50"
"22","citycenter2.jpg","Surfboard","basic","Inconsistent","Yes","50"
"23","citycenter26.jpg","Sculpture","consistent","Consistent","No","150"
"24","class11.jpg","Backpack","consistent","Consistent","Yes","50"
"25","class3.jpg","Telephone Booth","super","Inconsistent","Yes","150"
"26","class6.jpg","Plunger","basic","Inconsistent","No","100"
"27","class8.jpg","Swing Set","super","Inconsistent","No","150"
"28","class9.jpg","Crayons","consistent","Consistent","No","100"
"29","clock.jpg","Pencil Holder","super","Inconsistent","Yes","100"
"30","coast10.jpg","Surfboard","consistent","Consistent","No","100"
"31","coast11.jpg","Lifeguard Tower","consistent","Consistent","No","50"
"32","coast3.jpg","Lighthouse","consistent","Consistent","No","50"
"33","coast7.jpg","Beach Towel","consistent","Consistent","Yes","150"
"34","coast8.jpg","Armchair Recliner","super","Inconsistent","Yes","150"
"35","conference1.jpg","Traffic Light","super","Inconsistent","Yes","50"
"36","conference3.jpg","Phone Set","consistent","Consistent","Yes","100"
"37","conference5.jpg","Bench","super","Inconsistent","No","150"
"38","conference7.jpg","Axe","super","Inconsistent","No","50"
"39","conference8.jpg","Spoon","basic","Inconsistent","Yes","150"
"40","corridor1.jpg","Ottoman","basic","Inconsistent","Yes","50"
"41","corridor2.jpg","Wheelbarrow","super","Inconsistent","Yes","100"
"42","corridor3.jpg","Wild Berries","super","Inconsistent","No","100"
"43","corridor4.jpg","Stapler","basic","Inconsistent","Yes","50"
"44","corridor5.jpg","Crayons","basic","Inconsistent","Yes","100"
"45","dining3.jpg","Plate","consistent","Consistent","No","150"
"46","dining5.jpg","Backpack","basic","Inconsistent","No","50"
"47","dining6.jpg","Road Work Sign","super","Inconsistent","Yes","150"
"48","dining7.jpg","Spoon","consistent","Consistent","No","150"
"49","dining8.jpg","Fork","consistent","Consistent","No","100"
"50","elephant.jpg","Napkin","consistent","Consistent","No","100"
"51","fan.jpg","Calculator","consistent","Consistent","No","50"
"52","farm1.jpg","Hay Bale","consistent","Consistent","No","100"
"53","farm2.jpg","Wheelbarrow","consistent","Consistent","No","150"
"54","farm3.jpg","Scarecrow","consistent","Consistent","No","150"
"55","farm4.jpg","Billboard","basic","Inconsistent","No","100"
"56","farm7.jpg","Bird Nest","basic","Inconsistent","No","50"
"57","fire_hydrant.jpg","Hay Bale","basic","Inconsistent","No","100"
"58","flowers.jpg","Sculpture","super","Inconsistent","Yes","100"
"59","forest1.jpg","Toadstool Mushroom","consistent","Consistent","Yes","150"
"60","forest11.jpg","Log Cabin","consistent","Consistent","Yes","150"
"61","forest14.jpg","Camping Tent","consistent","Consistent","Yes","150"
"62","forest2.jpg","Bird Nest","consistent","Consistent","Yes","50"
"63","forest9.jpg","Axe","consistent","Consistent","No","150"
"64","fruit_bowl.jpg","Blender","consistent","Consistent","Yes","50"
"65","glass.jpg","Wildflower","super","Inconsistent","Yes","150"
"66","highway10.jpg","Billboard","consistent","Consistent","Yes","100"
"67","highway12.jpg","Pan","super","Inconsistent","No","50"
"68","highway6.jpg","Phone Set","super","Inconsistent","No","50"
"69","highway8.jpg","Souvenir Stand","basic","Inconsistent","No","50"
"70","highway9.jpg","Road Work Sign","consistent","Consistent","Yes","50"
"71","kitchen10.jpg","Soap Bar","basic","Inconsistent","No","150"
"72","kitchen13.jpg","Lighthouse","super","Inconsistent","No","100"
"73","kitchen15.jpg","Fence","super","Inconsistent","Yes","150"
"74","kitchen16.jpg","Oven Mitts","consistent","Consistent","Yes","150"
"75","kitchen17.jpg","Baking Tray","consistent","Consistent","No","100"
"76","living13.jpg","Beach Towel","super","Inconsistent","No","100"
"77","living16.jpg","Calculator","basic","Inconsistent","No","150"
"78","living17.jpg","Armchair Recliner","consistent","Consistent","Yes","50"
"79","living6.jpg","Baking Tray","basic","Inconsistent","No","50"
"80","living9.jpg","Ottoman","consistent","Consistent","No","100"
"81","MDS201.jpg","Oven Mitts","super","Inconsistent","No","150"
"82","modern_livingroom.png","Nightstand","basic","Inconsistent","Yes","100"
"83","natural_fall.png","Fork","super","Inconsistent","Yes","50"
"84","Nature14.jpg","Wild Berries","consistent","Consistent","Yes","100"
"85","Nature22.jpg","Wildflower","consistent","Consistent","Yes","50"
"86","Nature36.jpg","Lily Pad","consistent","Consistent","Yes","150"
"87","Nature40.jpg","Broom","super","Inconsistent","Yes","100"
"88","Nature47.jpg","Teddy Bear","super","Inconsistent","No","100"
"89","office1.jpg","Pencil Holder","consistent","Consistent","Yes","150"
"90","office10.jpg","Stapler","consistent","Consistent","No","150"
"91","office4.jpg","Tape Dispenser","consistent","Consistent","Yes","150"
"92","office8.jpg","Sticky Notes","consistent","Consistent","No","100"
"93","office9.jpg","Seesaw","super","Inconsistent","No","50"
"94","opencountry1.jpg","Fence","consistent","Consistent","Yes","100"
"95","opencountry2.jpg","Lifeguard Tower","basic","Inconsistent","No","100"
"96","opencountry3.jpg","Windmill","consistent","Consistent","No","50"
"97","opencountry5.jpg","Sandbox","basic","Inconsistent","No","150"
"98","opencountry8.jpg","Bird Bath","basic","Inconsistent","Yes","150"
"99","plant_bathroom.png","Lily Pad","super","Inconsistent","Yes","50"
"100","play10.jpg","Bicycle","basic","Inconsistent","No","150"
"101","play12.jpg","Seesaw","consistent","Consistent","Yes","50"
"102","play2.jpg","Swing Set","consistent","Consistent","Yes","100"
"103","play3.jpg","Sandbox","consistent","Consistent","Yes","100"
"104","play5.jpg","Soccer Ball","consistent","Consistent","Yes","100"
"105","pond.png","Toadstool Mushroom","basic","Inconsistent","Yes","50"
