"","SceneImage","Object","Basic","Superordinate","Supersuperordinate","a","A","b","B","c","C","d","D","e","E","f","F","g","G","h","H","i","I","j","J","k","K","l","L","m","M","n","N","o","O","p","P","q","Q","r","R","s","S","t","T","u","U","v","V","w","W","x","X"
"78","living16.jpg","Television","Living Room","Private","Indoors","Picnic Table","super.Inconsistent.Yes.50","Television","consistent.Consistent.Yes.50","Television","consistent.Consistent.Yes.50","Knife","basic.Inconsistent.No.50","Buoy","super.Inconsistent.No.50","Television","consistent.Consistent.No.50","Television","consistent.Consistent.No.50","Calculator","basic.Inconsistent.Yes.100","Scarecrow","super.Inconsistent.Yes.100","Television","consistent.Consistent.Yes.100","Television","consistent.Consistent.Yes.100","Calculator","basic.Inconsistent.No.100","Buoy","super.Inconsistent.No.100","Television","consistent.Consistent.No.100","Television","consistent.Consistent.No.100","Textbook","basic.Inconsistent.Yes.150","Flag Pole","super.Inconsistent.Yes.150","Television","consistent.Consistent.Yes.150","Television","consistent.Consistent.Yes.150","Broom","basic.Inconsistent.No.150","Rock","super.Inconsistent.No.150","Television","consistent.Consistent.No.150","Television","consistent.Consistent.No.150","Razor","basic.Inconsistent.Yes.50"
"33","coast7.jpg","Beach Towel","Coast","Natural","Outdoors","Pencil Case","super.Inconsistent.Yes.50","Beach Towel","consistent.Consistent.Yes.50","Beach Towel","consistent.Consistent.Yes.50","Soccer Ball","basic.Inconsistent.No.50","Paper Shredder","super.Inconsistent.No.50","Beach Towel","consistent.Consistent.No.50","Beach Towel","consistent.Consistent.No.50","Crosswalk Signal","basic.Inconsistent.Yes.100","Textbook","super.Inconsistent.Yes.100","Beach Towel","consistent.Consistent.Yes.100","Beach Towel","consistent.Consistent.Yes.100","Bench","basic.Inconsistent.No.100","Rolling Pin","super.Inconsistent.No.100","Beach Towel","consistent.Consistent.No.100","Beach Towel","consistent.Consistent.No.100","Lawn Mower","basic.Inconsistent.Yes.150","Stand Mixer","super.Inconsistent.Yes.150","Beach Towel","consistent.Consistent.Yes.150","Beach Towel","consistent.Consistent.Yes.150","Swing Set","basic.Inconsistent.No.150","Exit Sign","super.Inconsistent.No.150","Beach Towel","consistent.Consistent.No.150","Beach Towel","consistent.Consistent.No.150","Fishing Rod","basic.Inconsistent.Yes.50"
"93","office8.jpg","Sticky Notes","Office","Public","Indoors","Surfboard","super.Inconsistent.Yes.50","Sticky Notes","consistent.Consistent.Yes.50","Sticky Notes","consistent.Consistent.Yes.50","Crayons","basic.Inconsistent.No.50","Surfboard","super.Inconsistent.No.50","Sticky Notes","consistent.Consistent.No.50","Sticky Notes","consistent.Consistent.No.50","Vacuum Cleaner","basic.Inconsistent.Yes.100","Buoy","super.Inconsistent.Yes.100","Sticky Notes","consistent.Consistent.Yes.100","Sticky Notes","consistent.Consistent.Yes.100","Nightstand","basic.Inconsistent.No.100","Scarecrow","super.Inconsistent.No.100","Sticky Notes","consistent.Consistent.No.100","Sticky Notes","consistent.Consistent.No.100","Utility Pole","super.Inconsistent.Yes.150","Utility Pole","super.Inconsistent.Yes.150","Sticky Notes","consistent.Consistent.Yes.150","Sticky Notes","consistent.Consistent.Yes.150","Toaster","basic.Inconsistent.No.150","Stop Sign","super.Inconsistent.No.150","Sticky Notes","consistent.Consistent.No.150","Sticky Notes","consistent.Consistent.No.150","Bathroom Sign","basic.Inconsistent.Yes.50"
"88","Nature40.jpg","Kayak","Forest","Natural","Outdoors","Rolling Pin","super.Inconsistent.Yes.50","Kayak","consistent.Consistent.Yes.50","Kayak","consistent.Consistent.Yes.50","Swing Set","basic.Inconsistent.No.50","Floor Lamp","super.Inconsistent.No.50","Kayak","consistent.Consistent.No.50","Kayak","consistent.Consistent.No.50","Lawn Mower","basic.Inconsistent.Yes.100","Calculator","super.Inconsistent.Yes.100","Kayak","consistent.Consistent.Yes.100","Kayak","consistent.Consistent.Yes.100","Lawn Mower","basic.Inconsistent.No.100","Bird Bath","basic.Inconsistent.No.100","Kayak","consistent.Consistent.No.100","Kayak","consistent.Consistent.No.100","Soccer Ball","basic.Inconsistent.Yes.150","Razor","super.Inconsistent.Yes.150","Kayak","consistent.Consistent.Yes.150","Kayak","consistent.Consistent.Yes.150","Crosswalk Signal","basic.Inconsistent.No.150","Floor Lamp","super.Inconsistent.No.150","Kayak","consistent.Consistent.No.150","Kayak","consistent.Consistent.No.150","Yield Sign","basic.Inconsistent.Yes.50"
"14","blender.jpg","Pan","Kitchen","Private","Indoors","Rock","super.Inconsistent.Yes.50","Pan","consistent.Consistent.Yes.50","Pan","consistent.Consistent.Yes.50","Floor Lamp","basic.Inconsistent.No.50","Sculpture","super.Inconsistent.No.50","Pan","consistent.Consistent.No.50","Pan","consistent.Consistent.No.50","Exit Sign","basic.Inconsistent.Yes.100","Log Cabin","super.Inconsistent.Yes.100","Pan","consistent.Consistent.Yes.100","Pan","consistent.Consistent.Yes.100","Comforter Blanket","basic.Inconsistent.No.100","Lifeguard Tower","super.Inconsistent.No.100","Pan","consistent.Consistent.No.100","Pan","consistent.Consistent.No.100","Vacuum Cleaner","basic.Inconsistent.Yes.150","Fire Hydrant","super.Inconsistent.Yes.150","Pan","consistent.Consistent.Yes.150","Pan","consistent.Consistent.Yes.150","Pencil Case","basic.Inconsistent.No.150","Historic Plaque","super.Inconsistent.No.150","Pan","consistent.Consistent.No.150","Pan","consistent.Consistent.No.150","Drinking Fountain","basic.Inconsistent.Yes.50"
"5","bathroom6.jpg","Plunger","Bathroom","Private","Indoors","Plunger","consistent.Consistent.Yes.50","Plunger","consistent.Consistent.Yes.50","Fork","basic.Inconsistent.No.50","Bicycle","super.Inconsistent.No.50","Plunger","consistent.Consistent.No.50","Plunger","consistent.Consistent.No.50","Briefcase","basic.Inconsistent.Yes.100","Bench","super.Inconsistent.Yes.100","Plunger","consistent.Consistent.Yes.100","Plunger","consistent.Consistent.Yes.100","Projector Screen","basic.Inconsistent.No.100","Toadstool Mushroom","super.Inconsistent.No.100","Plunger","consistent.Consistent.No.100","Plunger","consistent.Consistent.No.100","Television","basic.Inconsistent.Yes.150","Surfboard","super.Inconsistent.Yes.150","Plunger","consistent.Consistent.Yes.150","Plunger","consistent.Consistent.Yes.150","Blender","basic.Inconsistent.No.150","Billboard","super.Inconsistent.No.150","Plunger","consistent.Consistent.No.150","Plunger","consistent.Consistent.No.150","Projector Screen","basic.Inconsistent.Yes.50","Utility Pole","super.Inconsistent.Yes.50"
"101","play10.jpg","Picnic Table","Playground","Human","Outdoors","Picnic Table","consistent.Consistent.Yes.50","Picnic Table","consistent.Consistent.Yes.50","Wheelbarrow","basic.Inconsistent.No.50","Toaster","super.Inconsistent.No.50","Picnic Table","consistent.Consistent.No.50","Picnic Table","consistent.Consistent.No.50","Wheelbarrow","basic.Inconsistent.Yes.100","Fire Hydrant","basic.Inconsistent.Yes.100","Picnic Table","consistent.Consistent.Yes.100","Picnic Table","consistent.Consistent.Yes.100","Lighthouse","basic.Inconsistent.No.100","Pencil Case","super.Inconsistent.No.100","Picnic Table","consistent.Consistent.No.100","Picnic Table","consistent.Consistent.No.100","Telephone Booth","basic.Inconsistent.Yes.150","Farmhouse","basic.Inconsistent.Yes.150","Picnic Table","consistent.Consistent.Yes.150","Picnic Table","consistent.Consistent.Yes.150","Windmill","basic.Inconsistent.No.150","Knife","super.Inconsistent.No.150","Picnic Table","consistent.Consistent.No.150","Picnic Table","consistent.Consistent.No.150","Lighthouse","basic.Inconsistent.Yes.50","Armchair Recliner","super.Inconsistent.Yes.50"
"57","farm7.jpg","Tractor","Farm","Natural","Outdoors","Tractor","consistent.Consistent.Yes.50","Tractor","consistent.Consistent.Yes.50","Telephone Booth","basic.Inconsistent.No.50","Coffee Maker","super.Inconsistent.No.50","Tractor","consistent.Consistent.No.50","Tractor","consistent.Consistent.No.50","Bench","basic.Inconsistent.Yes.100","Drinking Fountain","super.Inconsistent.Yes.100","Tractor","consistent.Consistent.Yes.100","Tractor","consistent.Consistent.Yes.100","Beach Towel","basic.Inconsistent.No.100","Phone Set","super.Inconsistent.No.100","Tractor","consistent.Consistent.No.100","Tractor","consistent.Consistent.No.100","Souvenir Stand","basic.Inconsistent.Yes.150","Razor","super.Inconsistent.Yes.150","Tractor","consistent.Consistent.Yes.150","Tractor","consistent.Consistent.Yes.150","Telephone Booth","basic.Inconsistent.No.150","Fire Alarm","super.Inconsistent.No.150","Tractor","consistent.Consistent.No.150","Tractor","consistent.Consistent.No.150","Bench","basic.Inconsistent.Yes.50","Pencil Holder","super.Inconsistent.Yes.50"
"118","urbanstreet19.jpg","Subway Station Sign","Urban Street","Human","Outdoors","Subway Station Sign","consistent.Consistent.Yes.50","Subway Station Sign","consistent.Consistent.Yes.50","Lawn Mower","basic.Inconsistent.No.50","Backpack","super.Inconsistent.No.50","Subway Station Sign","consistent.Consistent.No.50","Subway Station Sign","consistent.Consistent.No.50","Alarm Clock","super.Inconsistent.Yes.100","Pencil Case","super.Inconsistent.Yes.100","Subway Station Sign","consistent.Consistent.Yes.100","Subway Station Sign","consistent.Consistent.Yes.100","Birdhouse","basic.Inconsistent.No.100","Camping Tent","basic.Inconsistent.No.100","Subway Station Sign","consistent.Consistent.No.100","Subway Station Sign","consistent.Consistent.No.100","Lily Pad","basic.Inconsistent.Yes.150","Alarm Clock","super.Inconsistent.Yes.150","Subway Station Sign","consistent.Consistent.Yes.150","Subway Station Sign","consistent.Consistent.Yes.150","Motorcycle","basic.Inconsistent.No.150","Rocking Chair","super.Inconsistent.No.150","Subway Station Sign","consistent.Consistent.No.150","Subway Station Sign","consistent.Consistent.No.150","Horse Carriage","basic.Inconsistent.Yes.50","Parking Meter","basic.Inconsistent.Yes.50"
"108","suburb2.jpg","Trash Bags","Suburban","Human","Outdoors","Trash Bags","consistent.Consistent.Yes.50","Trash Bags","consistent.Consistent.Yes.50","Yield Sign","basic.Inconsistent.No.50","Paper Shredder","super.Inconsistent.No.50","Trash Bags","consistent.Consistent.No.50","Trash Bags","consistent.Consistent.No.50","Kayak","basic.Inconsistent.Yes.100","Plate","super.Inconsistent.Yes.100","Trash Bags","consistent.Consistent.Yes.100","Trash Bags","consistent.Consistent.Yes.100","Fence","basic.Inconsistent.No.100","Broom","super.Inconsistent.No.100","Trash Bags","consistent.Consistent.No.100","Trash Bags","consistent.Consistent.No.100","Wheelbarrow","basic.Inconsistent.Yes.150","Seesaw","basic.Inconsistent.Yes.150","Trash Bags","consistent.Consistent.Yes.150","Trash Bags","consistent.Consistent.Yes.150","Horse Carriage","basic.Inconsistent.No.150","Alarm Clock","super.Inconsistent.No.150","Trash Bags","consistent.Consistent.No.150","Trash Bags","consistent.Consistent.No.150","Wheelbarrow","basic.Inconsistent.Yes.50","Calculator","super.Inconsistent.Yes.50"
